数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/08,冰醋酸,华南地区,华南,2700,2800,2750,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/05,冰醋酸,华南地区,华南,2700,2800,2750,-50,-1.79%,元/吨,,Acetic_Acid_Domestic,3
2026/06/04,冰醋酸,华南地区,华南,2750,2800,2800,-25,-0.88%,元/吨,,Acetic_Acid_Domestic,3
2026/06/03,冰醋酸,华南地区,华南,2800,2850,2825,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/02,冰醋酸,华南地区,华南,2800,2850,2825,-25,-0.88%,元/吨,,Acetic_Acid_Domestic,3
2026/06/01,冰醋酸,华南地区,华南,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/29,冰醋酸,华南地区,华南,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/28,冰醋酸,华南地区,华南,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/27,冰醋酸,华南地区,华南,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/26,冰醋酸,华南地区,华南,2800,2900,2850,-75,-2.56%,元/吨,,Acetic_Acid_Domestic,3
2026/05/25,冰醋酸,华南地区,华南,2900,2950,2925,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/22,冰醋酸,华南地区,华南,2900,2950,2925,-25,-0.85%,元/吨,,Acetic_Acid_Domestic,3
2026/05/21,冰醋酸,华南地区,华南,2900,3000,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/20,冰醋酸,华南地区,华南,2900,3000,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/19,冰醋酸,华南地区,华南,2900,3000,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/18,冰醋酸,华南地区,华南,2900,3000,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/15,冰醋酸,华南地区,华南,2900,3000,2950,-100,-3.28%,元/吨,,Acetic_Acid_Domestic,3
2026/05/14,冰醋酸,华南地区,华南,3000,3100,3050,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/13,冰醋酸,华南地区,华南,3000,3100,3050,-90,-2.87%,元/吨,,Acetic_Acid_Domestic,3
2026/05/12,冰醋酸,华南地区,华南,3100,3180,3140,-10,-0.32%,元/吨,,Acetic_Acid_Domestic,3
2026/05/11,冰醋酸,华南地区,华南,3100,3200,3150,-25,-0.79%,元/吨,,Acetic_Acid_Domestic,3
2026/05/09,冰醋酸,华南地区,华南,3150,3200,3175,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/08,冰醋酸,华南地区,华南,3150,3200,3175,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/07,冰醋酸,华南地区,华南,3150,3200,3175,-25,-0.78%,元/吨,,Acetic_Acid_Domestic,3
2026/05/06,冰醋酸,华南地区,华南,3150,3250,3200,50,1.59%,元/吨,,Acetic_Acid_Domestic,3
2026/04/30,冰醋酸,华南地区,华南,3100,3200,3150,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/29,冰醋酸,华南地区,华南,3100,3200,3150,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/28,冰醋酸,华南地区,华南,3100,3200,3150,-100,-3.08%,元/吨,,Acetic_Acid_Domestic,3
2026/04/27,冰醋酸,华南地区,华南,3200,3300,3250,-150,-4.41%,元/吨,,Acetic_Acid_Domestic,3
2026/04/24,冰醋酸,华南地区,华南,3400,3400,3400,-250,-6.85%,元/吨,,Acetic_Acid_Domestic,3
2026/04/23,冰醋酸,华南地区,华南,3600,3700,3650,-100,-2.67%,元/吨,,Acetic_Acid_Domestic,3
2026/04/22,冰醋酸,华南地区,华南,3700,3800,3750,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/21,冰醋酸,华南地区,华南,3700,3800,3750,-200,-5.06%,元/吨,,Acetic_Acid_Domestic,3
2026/04/20,冰醋酸,华南地区,华南,3900,4000,3950,-225,-5.39%,元/吨,,Acetic_Acid_Domestic,3
2026/04/17,冰醋酸,华南地区,华南,4150,4200,4175,-75,-1.76%,元/吨,,Acetic_Acid_Domestic,3
2026/04/16,冰醋酸,华南地区,华南,4200,4300,4250,-200,-4.49%,元/吨,,Acetic_Acid_Domestic,3
2026/04/15,冰醋酸,华南地区,华南,4400,4500,4450,-100,-2.2%,元/吨,,Acetic_Acid_Domestic,3
2026/04/14,冰醋酸,华南地区,华南,4500,4600,4550,-50,-1.09%,元/吨,,Acetic_Acid_Domestic,3
2026/04/13,冰醋酸,华南地区,华南,4500,4700,4600,-50,-1.08%,元/吨,,Acetic_Acid_Domestic,3
2026/04/10,冰醋酸,华南地区,华南,4600,4700,4650,-50,-1.06%,元/吨,,Acetic_Acid_Domestic,3
2026/04/09,冰醋酸,华南地区,华南,4600,4800,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/08,冰醋酸,华南地区,华南,4600,4800,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/07,冰醋酸,华南地区,华南,4600,4800,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/03,冰醋酸,华南地区,华南,4600,4800,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/02,冰醋酸,华南地区,华南,4600,4800,4700,100,2.17%,元/吨,,Acetic_Acid_Domestic,3
2026/04/01,冰醋酸,华南地区,华南,4600,4600,4600,250,5.75%,元/吨,,Acetic_Acid_Domestic,3
2026/03/31,冰醋酸,华南地区,华南,4300,4400,4350,300,7.41%,元/吨,,Acetic_Acid_Domestic,3
