数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/03,冰醋酸,华东地区,山东,2950,3020,2985,20,0.67%,元/吨,,Acetic_Acid_Domestic,3
2026/07/02,冰醋酸,华东地区,山东,2930,3000,2965,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/07/01,冰醋酸,华东地区,山东,2930,3000,2965,15,0.51%,元/吨,,Acetic_Acid_Domestic,3
2026/06/30,冰醋酸,华东地区,山东,2910,2990,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/29,冰醋酸,华东地区,山东,2910,2990,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/26,冰醋酸,华东地区,山东,2910,2990,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/25,冰醋酸,华东地区,山东,2910,2990,2950,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/24,冰醋酸,华东地区,山东,2910,2990,2950,20,0.68%,元/吨,,Acetic_Acid_Domestic,3
2026/06/23,冰醋酸,华东地区,山东,2890,2970,2930,30,1.03%,元/吨,,Acetic_Acid_Domestic,3
2026/06/22,冰醋酸,华东地区,山东,2870,2930,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/18,冰醋酸,华东地区,山东,2870,2930,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/17,冰醋酸,华东地区,山东,2870,2930,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/16,冰醋酸,华东地区,山东,2870,2930,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/15,冰醋酸,华东地区,山东,2870,2930,2900,70,2.47%,元/吨,,Acetic_Acid_Domestic,3
2026/06/12,冰醋酸,华东地区,山东,2790,2870,2830,20,0.71%,元/吨,,Acetic_Acid_Domestic,3
2026/06/11,冰醋酸,华东地区,山东,2770,2850,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/10,冰醋酸,华东地区,山东,2770,2850,2810,30,1.08%,元/吨,,Acetic_Acid_Domestic,3
2026/06/09,冰醋酸,华东地区,山东,2730,2830,2780,30,1.09%,元/吨,,Acetic_Acid_Domestic,3
2026/06/08,冰醋酸,华东地区,山东,2700,2800,2750,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/05,冰醋酸,华东地区,山东,2700,2800,2750,-30,-1.08%,元/吨,,Acetic_Acid_Domestic,3
2026/06/04,冰醋酸,华东地区,山东,2730,2830,2780,-20,-0.71%,元/吨,,Acetic_Acid_Domestic,3
2026/06/03,冰醋酸,华东地区,山东,2750,2850,2800,-10,-0.36%,元/吨,,Acetic_Acid_Domestic,3
2026/06/02,冰醋酸,华东地区,山东,2770,2850,2810,-40,-1.4%,元/吨,,Acetic_Acid_Domestic,3
2026/06/01,冰醋酸,华东地区,山东,2800,2900,2850,-20,-0.7%,元/吨,,Acetic_Acid_Domestic,3
2026/05/29,冰醋酸,华东地区,山东,2840,2900,2870,-20,-0.69%,元/吨,,Acetic_Acid_Domestic,3
2026/05/28,冰醋酸,华东地区,山东,2850,2930,2890,-10,-0.34%,元/吨,,Acetic_Acid_Domestic,3
2026/05/27,冰醋酸,华东地区,山东,2850,2950,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/26,冰醋酸,华东地区,山东,2850,2950,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/25,冰醋酸,华东地区,山东,2850,2950,2900,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/22,冰醋酸,华东地区,山东,2850,2950,2900,-40,-1.36%,元/吨,,Acetic_Acid_Domestic,3
2026/05/21,冰醋酸,华东地区,山东,2900,2980,2940,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/20,冰醋酸,华东地区,山东,2900,2980,2940,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/19,冰醋酸,华东地区,山东,2900,2980,2940,30,1.03%,元/吨,,Acetic_Acid_Domestic,3
2026/05/18,冰醋酸,华东地区,山东,2870,2950,2910,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/15,冰醋酸,华东地区,山东,2870,2950,2910,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/14,冰醋酸,华东地区,山东,2870,2950,2910,-40,-1.36%,元/吨,,Acetic_Acid_Domestic,3
2026/05/13,冰醋酸,华东地区,山东,2920,2980,2950,-85,-2.8%,元/吨,,Acetic_Acid_Domestic,3
2026/05/12,冰醋酸,华东地区,山东,3000,3070,3035,-15,-0.49%,元/吨,,Acetic_Acid_Domestic,3
2026/05/11,冰醋酸,华东地区,山东,3000,3100,3050,-70,-2.24%,元/吨,,Acetic_Acid_Domestic,3
2026/05/09,冰醋酸,华东地区,山东,3080,3160,3120,0,0%,元/吨,,Acetic_Acid_Domestic,3
