数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/08,冰醋酸,华东地区,江苏,2620,2700,2660,-15,-0.56%,元/吨,,Acetic_Acid_Domestic,3
2026/06/05,冰醋酸,华东地区,江苏,2650,2700,2675,-40,-1.47%,元/吨,,Acetic_Acid_Domestic,3
2026/06/04,冰醋酸,华东地区,江苏,2680,2750,2715,-20,-0.73%,元/吨,,Acetic_Acid_Domestic,3
2026/06/03,冰醋酸,华东地区,江苏,2700,2770,2735,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/02,冰醋酸,华东地区,江苏,2700,2770,2735,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/01,冰醋酸,华东地区,江苏,2700,2770,2735,-15,-0.55%,元/吨,,Acetic_Acid_Domestic,3
2026/05/29,冰醋酸,华东地区,江苏,2700,2800,2750,-40,-1.43%,元/吨,,Acetic_Acid_Domestic,3
2026/05/28,冰醋酸,华东地区,江苏,2750,2830,2790,-15,-0.53%,元/吨,,Acetic_Acid_Domestic,3
2026/05/27,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/26,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/25,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/22,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/21,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/20,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/19,冰醋酸,华东地区,江苏,2780,2830,2805,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/18,冰醋酸,华东地区,江苏,2780,2830,2805,-20,-0.71%,元/吨,,Acetic_Acid_Domestic,3
2026/05/15,冰醋酸,华东地区,江苏,2800,2850,2825,-25,-0.88%,元/吨,,Acetic_Acid_Domestic,3
2026/05/14,冰醋酸,华东地区,江苏,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/13,冰醋酸,华东地区,江苏,2800,2900,2850,-75,-2.56%,元/吨,,Acetic_Acid_Domestic,3
2026/05/12,冰醋酸,华东地区,江苏,2900,2950,2925,-25,-0.85%,元/吨,,Acetic_Acid_Domestic,3
2026/05/11,冰醋酸,华东地区,江苏,2900,3000,2950,-50,-1.67%,元/吨,,Acetic_Acid_Domestic,3
2026/05/09,冰醋酸,华东地区,江苏,2950,3050,3000,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/08,冰醋酸,华东地区,江苏,2950,3050,3000,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/07,冰醋酸,华东地区,江苏,2950,3050,3000,-50,-1.64%,元/吨,,Acetic_Acid_Domestic,3
2026/05/06,冰醋酸,华东地区,江苏,3000,3100,3050,25,0.83%,元/吨,,Acetic_Acid_Domestic,3
2026/04/30,冰醋酸,华东地区,江苏,2950,3100,3025,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/29,冰醋酸,华东地区,江苏,2950,3100,3025,-25,-0.82%,元/吨,,Acetic_Acid_Domestic,3
2026/04/28,冰醋酸,华东地区,江苏,2950,3150,3050,-150,-4.69%,元/吨,,Acetic_Acid_Domestic,3
2026/04/27,冰醋酸,华东地区,江苏,3150,3250,3200,-150,-4.48%,元/吨,,Acetic_Acid_Domestic,3
2026/04/24,冰醋酸,华东地区,江苏,3300,3400,3350,-100,-2.9%,元/吨,,Acetic_Acid_Domestic,3
2026/04/23,冰醋酸,华东地区,江苏,3400,3500,3450,-240,-6.5%,元/吨,,Acetic_Acid_Domestic,3
2026/04/22,冰醋酸,华东地区,江苏,3580,3800,3690,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/21,冰醋酸,华东地区,江苏,3580,3800,3690,-235,-5.99%,元/吨,,Acetic_Acid_Domestic,3
2026/04/20,冰醋酸,华东地区,江苏,3900,3950,3925,-125,-3.09%,元/吨,,Acetic_Acid_Domestic,3
2026/04/17,冰醋酸,华东地区,江苏,4000,4100,4050,-100,-2.41%,元/吨,,Acetic_Acid_Domestic,3
2026/04/16,冰醋酸,华东地区,江苏,4100,4200,4150,-100,-2.35%,元/吨,,Acetic_Acid_Domestic,3
2026/04/15,冰醋酸,华东地区,江苏,4200,4300,4250,-100,-2.3%,元/吨,,Acetic_Acid_Domestic,3
2026/04/14,冰醋酸,华东地区,江苏,4300,4400,4350,-150,-3.33%,元/吨,,Acetic_Acid_Domestic,3
2026/04/13,冰醋酸,华东地区,江苏,4450,4550,4500,-50,-1.1%,元/吨,,Acetic_Acid_Domestic,3
2026/04/10,冰醋酸,华东地区,江苏,4500,4600,4550,-50,-1.09%,元/吨,,Acetic_Acid_Domestic,3
2026/04/09,冰醋酸,华东地区,江苏,4500,4700,4600,-25,-0.54%,元/吨,,Acetic_Acid_Domestic,3
2026/04/08,冰醋酸,华东地区,江苏,4500,4750,4625,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/07,冰醋酸,华东地区,江苏,4500,4750,4625,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/03,冰醋酸,华东地区,江苏,4500,4750,4625,25,0.54%,元/吨,,Acetic_Acid_Domestic,3
2026/04/02,冰醋酸,华东地区,江苏,4500,4700,4600,50,1.1%,元/吨,,Acetic_Acid_Domestic,3
2026/04/01,冰醋酸,华东地区,江苏,4500,4600,4550,300,7.06%,元/吨,,Acetic_Acid_Domestic,3
2026/03/31,冰醋酸,华东地区,江苏,4100,4400,4250,75,1.8%,元/吨,,Acetic_Acid_Domestic,3
2026/03/30,冰醋酸,华东地区,江苏,4050,4300,4175,425,11.33%,元/吨,,Acetic_Acid_Domestic,3
2026/03/27,冰醋酸,华东地区,江苏,3700,3800,3750,200,5.63%,元/吨,,Acetic_Acid_Domestic,3
2026/03/26,冰醋酸,华东地区,江苏,3500,3600,3550,175,5.19%,元/吨,,Acetic_Acid_Domestic,3
2026/03/25,冰醋酸,华东地区,江苏,3350,3400,3375,25,0.75%,元/吨,,Acetic_Acid_Domestic,3
2026/03/24,冰醋酸,华东地区,江苏,3300,3400,3350,100,3.08%,元/吨,,Acetic_Acid_Domestic,3
2026/03/23,冰醋酸,华东地区,江苏,3200,3300,3250,100,3.17%,元/吨,,Acetic_Acid_Domestic,3
2026/03/20,冰醋酸,华东地区,江苏,3100,3200,3150,100,3.28%,元/吨,,Acetic_Acid_Domestic,3
2026/03/19,冰醋酸,华东地区,江苏,3000,3100,3050,25,0.83%,元/吨,,Acetic_Acid_Domestic,3
2026/03/18,冰醋酸,华东地区,江苏,3000,3050,3025,110,3.77%,元/吨,,Acetic_Acid_Domestic,3
2026/03/17,冰醋酸,华东地区,江苏,2880,2950,2915,65,2.28%,元/吨,,Acetic_Acid_Domestic,3
2026/03/16,冰醋酸,华东地区,江苏,2800,2900,2850,10,0.35%,元/吨,,Acetic_Acid_Domestic,3
2026/03/13,冰醋酸,华东地区,江苏,2800,2880,2840,25,0.89%,元/吨,,Acetic_Acid_Domestic,3
2026/03/12,冰醋酸,华东地区,江苏,2780,2850,2815,5,0.18%,元/吨,,Acetic_Acid_Domestic,3
2026/03/11,冰醋酸,华东地区,江苏,2770,2850,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/10,冰醋酸,华东地区,江苏,2770,2850,2810,10,0.36%,元/吨,,Acetic_Acid_Domestic,3
2026/03/09,冰醋酸,华东地区,江苏,2750,2850,2800,165,6.26%,元/吨,,Acetic_Acid_Domestic,3
2026/03/06,冰醋酸,华东地区,江苏,2600,2670,2635,10,0.38%,元/吨,,Acetic_Acid_Domestic,3
2026/03/05,冰醋酸,华东地区,江苏,2600,2650,2625,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/04,冰醋酸,华东地区,江苏,2600,2650,2625,125,5%,元/吨,,Acetic_Acid_Domestic,3
2026/03/03,冰醋酸,华东地区,江苏,2450,2550,2500,0,0%,元/吨,,Acetic_Acid_Domestic,3
