数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/02,冰醋酸,华中地区,河南,2700,2800,2750,-60,-2.14%,元/吨,,Acetic_Acid_Domestic,3
2026/06/01,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/29,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/28,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/27,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/26,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/25,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/22,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/21,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/20,冰醋酸,华中地区,河南,2750,2870,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/19,冰醋酸,华中地区,河南,2750,2870,2810,-15,-0.53%,元/吨,,Acetic_Acid_Domestic,3
2026/05/18,冰醋酸,华中地区,河南,2800,2850,2825,15,0.53%,元/吨,,Acetic_Acid_Domestic,3
2026/05/15,冰醋酸,华中地区,河南,2800,2820,2810,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/14,冰醋酸,华中地区,河南,2800,2820,2810,-15,-0.53%,元/吨,,Acetic_Acid_Domestic,3
2026/05/13,冰醋酸,华中地区,河南,2800,2850,2825,-100,-3.42%,元/吨,,Acetic_Acid_Domestic,3
2026/05/12,冰醋酸,华中地区,河南,2900,2950,2925,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/11,冰醋酸,华中地区,河南,2900,2950,2925,-25,-0.85%,元/吨,,Acetic_Acid_Domestic,3
2026/05/09,冰醋酸,华中地区,河南,2900,3000,2950,-10,-0.34%,元/吨,,Acetic_Acid_Domestic,3
2026/05/08,冰醋酸,华中地区,河南,2920,3000,2960,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/07,冰醋酸,华中地区,河南,2920,3000,2960,30,1.02%,元/吨,,Acetic_Acid_Domestic,3
2026/05/06,冰醋酸,华中地区,河南,2880,2980,2930,40,1.38%,元/吨,,Acetic_Acid_Domestic,3
2026/04/30,冰醋酸,华中地区,河南,2850,2930,2890,40,1.4%,元/吨,,Acetic_Acid_Domestic,3
2026/04/29,冰醋酸,华中地区,河南,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/28,冰醋酸,华中地区,河南,2800,2900,2850,-75,-2.56%,元/吨,,Acetic_Acid_Domestic,3
2026/04/27,冰醋酸,华中地区,河南,2850,3000,2925,-225,-7.14%,元/吨,,Acetic_Acid_Domestic,3
2026/04/24,冰醋酸,华中地区,河南,3100,3200,3150,-175,-5.26%,元/吨,,Acetic_Acid_Domestic,3
2026/04/23,冰醋酸,华中地区,河南,3300,3350,3325,-325,-8.9%,元/吨,,Acetic_Acid_Domestic,3
2026/04/22,冰醋酸,华中地区,河南,3600,3700,3650,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/21,冰醋酸,华中地区,河南,3600,3700,3650,-175,-4.58%,元/吨,,Acetic_Acid_Domestic,3
