数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/18,冰醋酸,华中地区,湖北,2850,2880,2865,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/17,冰醋酸,华中地区,湖北,2850,2880,2865,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/16,冰醋酸,华中地区,湖北,2850,2880,2865,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/15,冰醋酸,华中地区,湖北,2850,2880,2865,35,1.24%,元/吨,,Acetic_Acid_Domestic,3
2026/06/12,冰醋酸,华中地区,湖北,2830,2830,2830,15,0.53%,元/吨,,Acetic_Acid_Domestic,3
2026/06/11,冰醋酸,华中地区,湖北,2800,2830,2815,10,0.36%,元/吨,,Acetic_Acid_Domestic,3
2026/06/10,冰醋酸,华中地区,湖北,2780,2830,2805,55,2%,元/吨,,Acetic_Acid_Domestic,3
2026/06/09,冰醋酸,华中地区,湖北,2700,2800,2750,75,2.8%,元/吨,,Acetic_Acid_Domestic,3
2026/06/08,冰醋酸,华中地区,湖北,2650,2700,2675,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/05,冰醋酸,华中地区,湖北,2650,2700,2675,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/04,冰醋酸,华中地区,湖北,2650,2700,2675,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/06/03,冰醋酸,华中地区,湖北,2650,2700,2675,-75,-2.73%,元/吨,,Acetic_Acid_Domestic,3
2026/06/02,冰醋酸,华中地区,湖北,2750,2750,2750,-25,-0.9%,元/吨,,Acetic_Acid_Domestic,3
2026/06/01,冰醋酸,华中地区,湖北,2750,2800,2775,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/29,冰醋酸,华中地区,湖北,2750,2800,2775,-25,-0.89%,元/吨,,Acetic_Acid_Domestic,3
2026/05/28,冰醋酸,华中地区,湖北,2750,2850,2800,-50,-1.75%,元/吨,,Acetic_Acid_Domestic,3
2026/05/27,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/26,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/25,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/22,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/21,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/20,冰醋酸,华中地区,湖北,2800,2900,2850,-25,-0.87%,元/吨,,Acetic_Acid_Domestic,3
2026/05/19,冰醋酸,华中地区,湖北,2850,2900,2875,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/18,冰醋酸,华中地区,湖北,2850,2900,2875,-50,-1.71%,元/吨,,Acetic_Acid_Domestic,3
2026/05/15,冰醋酸,华中地区,湖北,2900,2950,2925,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/14,冰醋酸,华中地区,湖北,2900,2950,2925,-25,-0.85%,元/吨,,Acetic_Acid_Domestic,3
2026/05/13,冰醋酸,华中地区,湖北,2900,3000,2950,-75,-2.48%,元/吨,,Acetic_Acid_Domestic,3
2026/05/12,冰醋酸,华中地区,湖北,3000,3050,3025,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/11,冰醋酸,华中地区,湖北,3000,3050,3025,-100,-3.2%,元/吨,,Acetic_Acid_Domestic,3
2026/05/09,冰醋酸,华中地区,湖北,3100,3150,3125,-50,-1.57%,元/吨,,Acetic_Acid_Domestic,3
2026/05/08,冰醋酸,华中地区,湖北,3150,3200,3175,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/05/07,冰醋酸,华中地区,湖北,3150,3200,3175,25,0.79%,元/吨,,Acetic_Acid_Domestic,3
2026/05/06,冰醋酸,华中地区,湖北,3100,3200,3150,100,3.28%,元/吨,,Acetic_Acid_Domestic,3
2026/04/30,冰醋酸,华中地区,湖北,3000,3100,3050,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/29,冰醋酸,华中地区,湖北,3000,3100,3050,-50,-1.61%,元/吨,,Acetic_Acid_Domestic,3
2026/04/28,冰醋酸,华中地区,湖北,3000,3200,3100,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/27,冰醋酸,华中地区,湖北,3000,3200,3100,-100,-3.13%,元/吨,,Acetic_Acid_Domestic,3
2026/04/24,冰醋酸,华中地区,湖北,3100,3300,3200,-250,-7.25%,元/吨,,Acetic_Acid_Domestic,3
2026/04/23,冰醋酸,华中地区,湖北,3400,3500,3450,-225,-6.12%,元/吨,,Acetic_Acid_Domestic,3
2026/04/22,冰醋酸,华中地区,湖北,3650,3700,3675,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/21,冰醋酸,华中地区,湖北,3650,3700,3675,-125,-3.29%,元/吨,,Acetic_Acid_Domestic,3
2026/04/20,冰醋酸,华中地区,湖北,3750,3850,3800,-350,-8.43%,元/吨,,Acetic_Acid_Domestic,3
2026/04/17,冰醋酸,华中地区,湖北,4100,4200,4150,-100,-2.35%,元/吨,,Acetic_Acid_Domestic,3
2026/04/16,冰醋酸,华中地区,湖北,4200,4300,4250,-100,-2.3%,元/吨,,Acetic_Acid_Domestic,3
2026/04/15,冰醋酸,华中地区,湖北,4300,4400,4350,-50,-1.14%,元/吨,,Acetic_Acid_Domestic,3
2026/04/14,冰醋酸,华中地区,湖北,4300,4500,4400,-300,-6.38%,元/吨,,Acetic_Acid_Domestic,3
2026/04/13,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/10,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/09,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/08,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/07,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/03,冰醋酸,华中地区,湖北,4700,4700,4700,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/04/02,冰醋酸,华中地区,湖北,4700,4700,4700,400,9.3%,元/吨,,Acetic_Acid_Domestic,3
2026/04/01,冰醋酸,华中地区,湖北,4300,4300,4300,300,7.5%,元/吨,,Acetic_Acid_Domestic,3
2026/03/31,冰醋酸,华中地区,湖北,4000,4000,4000,200,5.26%,元/吨,,Acetic_Acid_Domestic,3
2026/03/30,冰醋酸,华中地区,湖北,3800,3800,3800,300,8.57%,元/吨,,Acetic_Acid_Domestic,3
2026/03/27,冰醋酸,华中地区,湖北,3500,3500,3500,50,1.45%,元/吨,,Acetic_Acid_Domestic,3
2026/03/26,冰醋酸,华中地区,湖北,3450,3450,3450,75,2.22%,元/吨,,Acetic_Acid_Domestic,3
2026/03/25,冰醋酸,华中地区,湖北,3350,3400,3375,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/24,冰醋酸,华中地区,湖北,3350,3400,3375,125,3.85%,元/吨,,Acetic_Acid_Domestic,3
2026/03/23,冰醋酸,华中地区,湖北,3250,3250,3250,150,4.84%,元/吨,,Acetic_Acid_Domestic,3
2026/03/20,冰醋酸,华中地区,湖北,3100,3100,3100,100,3.33%,元/吨,,Acetic_Acid_Domestic,3
2026/03/19,冰醋酸,华中地区,湖北,3000,3000,3000,50,1.69%,元/吨,,Acetic_Acid_Domestic,3
2026/03/18,冰醋酸,华中地区,湖北,2950,2950,2950,25,0.85%,元/吨,,Acetic_Acid_Domestic,3
2026/03/17,冰醋酸,华中地区,湖北,2900,2950,2925,25,0.86%,元/吨,,Acetic_Acid_Domestic,3
2026/03/16,冰醋酸,华中地区,湖北,2900,2900,2900,50,1.75%,元/吨,,Acetic_Acid_Domestic,3
2026/03/13,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/12,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/11,冰醋酸,华中地区,湖北,2800,2900,2850,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/10,冰醋酸,华中地区,湖北,2800,2900,2850,100,3.64%,元/吨,,Acetic_Acid_Domestic,3
2026/03/09,冰醋酸,华中地区,湖北,2700,2800,2750,75,2.8%,元/吨,,Acetic_Acid_Domestic,3
2026/03/06,冰醋酸,华中地区,湖北,2650,2700,2675,75,2.88%,元/吨,,Acetic_Acid_Domestic,3
2026/03/05,冰醋酸,华中地区,湖北,2600,2600,2600,75,2.97%,元/吨,,Acetic_Acid_Domestic,3
2026/03/04,冰醋酸,华中地区,湖北,2500,2550,2525,35,1.41%,元/吨,,Acetic_Acid_Domestic,3
2026/03/03,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/03/02,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/28,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/27,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/26,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/25,冰醋酸,华中地区,湖北,2480,2500,2490,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/24,冰醋酸,华中地区,湖北,2480,2500,2490,5,0.2%,元/吨,,Acetic_Acid_Domestic,3
2026/02/14,冰醋酸,华中地区,湖北,2470,2500,2485,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/13,冰醋酸,华中地区,湖北,2470,2500,2485,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/12,冰醋酸,华中地区,湖北,2470,2500,2485,0,0%,元/吨,,Acetic_Acid_Domestic,3
2026/02/11,冰醋酸,华中地区,湖北,2470,2500,2485,0,0%,元/吨,,Acetic_Acid_Domestic,3
