数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/04,冰醋酸,亚洲,中国,345,350,347.5,-2.5,-0.71%,美元/吨,FOB,Acetic_Acid,4
2026/06/03,冰醋酸,亚洲,中国,345,355,350,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/06/02,冰醋酸,亚洲,中国,345,355,350,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/06/01,冰醋酸,亚洲,中国,345,355,350,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/29,冰醋酸,亚洲,中国,345,355,350,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/28,冰醋酸,亚洲,中国,345,355,350,-15,-4.11%,美元/吨,FOB,Acetic_Acid,4
2026/05/27,冰醋酸,亚洲,中国,360,370,365,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/26,冰醋酸,亚洲,中国,360,370,365,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/25,冰醋酸,亚洲,中国,360,370,365,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/22,冰醋酸,亚洲,中国,360,370,365,-8,-2.14%,美元/吨,FOB,Acetic_Acid,4
2026/05/21,冰醋酸,亚洲,中国,370,376,373,-7,-1.84%,美元/吨,FOB,Acetic_Acid,4
2026/05/20,冰醋酸,亚洲,中国,375,385,380,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/19,冰醋酸,亚洲,中国,375,385,380,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/18,冰醋酸,亚洲,中国,375,385,380,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/15,冰醋酸,亚洲,中国,375,385,380,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/14,冰醋酸,亚洲,中国,375,385,380,-20,-5%,美元/吨,FOB,Acetic_Acid,4
2026/05/13,冰醋酸,亚洲,中国,395,405,400,0,0%,美元/吨,FOB,Acetic_Acid,4
2026/05/12,冰醋酸,亚洲,中国,395,405,400,0,0%,美元/吨,FOB,Acetic_Acid,4
