数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/09,丙酮,华东地区,华东,5250,5350,5300,100,1.92%,元/吨,,Acetone_Domestic,3
2026/07/08,丙酮,华东地区,华东,5050,5350,5200,350,7.22%,元/吨,,Acetone_Domestic,3
2026/07/07,丙酮,华东地区,华东,4750,4950,4850,100,2.11%,元/吨,,Acetone_Domestic,3
2026/07/06,丙酮,华东地区,华东,4700,4800,4750,50,1.06%,元/吨,,Acetone_Domestic,3
2026/07/03,丙酮,华东地区,华东,4650,4750,4700,100,2.17%,元/吨,,Acetone_Domestic,3
2026/07/02,丙酮,华东地区,华东,4500,4700,4600,-75,-1.6%,元/吨,,Acetone_Domestic,3
2026/07/01,丙酮,华东地区,华东,4600,4750,4675,-200,-4.1%,元/吨,,Acetone_Domestic,3
2026/06/30,丙酮,华东地区,华东,4800,4950,4875,-125,-2.5%,元/吨,,Acetone_Domestic,3
2026/06/29,丙酮,华东地区,华东,4900,5100,5000,-50,-0.99%,元/吨,,Acetone_Domestic,3
2026/06/26,丙酮,华东地区,华东,5000,5100,5050,-50,-0.98%,元/吨,,Acetone_Domestic,3
2026/06/25,丙酮,华东地区,华东,5050,5150,5100,-75,-1.45%,元/吨,,Acetone_Domestic,3
2026/06/24,丙酮,华东地区,华东,5100,5250,5175,-225,-4.17%,元/吨,,Acetone_Domestic,3
2026/06/23,丙酮,华东地区,华东,5350,5450,5400,-100,-1.82%,元/吨,,Acetone_Domestic,3
2026/06/22,丙酮,华东地区,华东,5450,5550,5500,-50,-0.9%,元/吨,,Acetone_Domestic,3
2026/06/18,丙酮,华东地区,华东,5500,5600,5550,-225,-3.9%,元/吨,,Acetone_Domestic,3
2026/06/17,丙酮,华东地区,华东,5700,5850,5775,-275,-4.55%,元/吨,,Acetone_Domestic,3
2026/06/16,丙酮,华东地区,华东,6000,6100,6050,-225,-3.59%,元/吨,,Acetone_Domestic,3
2026/06/15,丙酮,华东地区,华东,6150,6400,6275,-275,-4.2%,元/吨,,Acetone_Domestic,3
2026/06/12,丙酮,华东地区,华东,6500,6600,6550,-100,-1.5%,元/吨,,Acetone_Domestic,3
2026/06/11,丙酮,华东地区,华东,6600,6700,6650,-25,-0.37%,元/吨,,Acetone_Domestic,3
2026/06/10,丙酮,华东地区,华东,6650,6700,6675,-50,-0.74%,元/吨,,Acetone_Domestic,3
2026/06/09,丙酮,华东地区,华东,6650,6800,6725,-75,-1.1%,元/吨,,Acetone_Domestic,3
2026/06/08,丙酮,华东地区,华东,6750,6850,6800,25,0.37%,元/吨,,Acetone_Domestic,3
2026/06/05,丙酮,华东地区,华东,6700,6850,6775,0,0%,元/吨,,Acetone_Domestic,3
2026/06/04,丙酮,华东地区,华东,6700,6850,6775,50,0.74%,元/吨,,Acetone_Domestic,3
2026/06/03,丙酮,华东地区,华东,6650,6800,6725,100,1.51%,元/吨,,Acetone_Domestic,3
2026/06/02,丙酮,华东地区,华东,6550,6700,6625,-225,-3.28%,元/吨,,Acetone_Domestic,3
2026/06/01,丙酮,华东地区,华东,6750,6950,6850,-225,-3.18%,元/吨,,Acetone_Domestic,3
2026/05/29,丙酮,华东地区,华东,7050,7100,7075,-50,-0.7%,元/吨,,Acetone_Domestic,3
2026/05/28,丙酮,华东地区,华东,7100,7150,7125,0,0%,元/吨,,Acetone_Domestic,3
2026/05/27,丙酮,华东地区,华东,7100,7150,7125,-150,-2.06%,元/吨,,Acetone_Domestic,3
2026/05/26,丙酮,华东地区,华东,7200,7350,7275,-175,-2.35%,元/吨,,Acetone_Domestic,3
2026/05/25,丙酮,华东地区,华东,7350,7550,7450,-125,-1.65%,元/吨,,Acetone_Domestic,3
2026/05/22,丙酮,华东地区,华东,7550,7600,7575,-50,-0.66%,元/吨,,Acetone_Domestic,3
2026/05/21,丙酮,华东地区,华东,7600,7650,7625,-50,-0.65%,元/吨,,Acetone_Domestic,3
2026/05/20,丙酮,华东地区,华东,7650,7700,7675,-25,-0.32%,元/吨,,Acetone_Domestic,3
2026/05/19,丙酮,华东地区,华东,7650,7750,7700,-50,-0.65%,元/吨,,Acetone_Domestic,3
2026/05/18,丙酮,华东地区,华东,7700,7800,7750,200,2.65%,元/吨,,Acetone_Domestic,3
2026/05/15,丙酮,华东地区,华东,7500,7600,7550,15,0.2%,元/吨,,Acetone_Domestic,3
2026/05/14,丙酮,华东地区,华东,7500,7570,7535,-115,-1.5%,元/吨,,Acetone_Domestic,3
