数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/24,丙酮,华北地区,华北,5300,5300,5300,-25,-0.47%,元/吨,,Acetone_Domestic,3
2026/06/23,丙酮,华北地区,华北,5300,5350,5325,-175,-3.18%,元/吨,,Acetone_Domestic,3
2026/06/22,丙酮,华北地区,华北,5450,5550,5500,-250,-4.35%,元/吨,,Acetone_Domestic,3
2026/06/18,丙酮,华北地区,华北,5700,5800,5750,-200,-3.36%,元/吨,,Acetone_Domestic,3
2026/06/17,丙酮,华北地区,华北,5900,6000,5950,-175,-2.86%,元/吨,,Acetone_Domestic,3
2026/06/16,丙酮,华北地区,华北,6100,6150,6125,-375,-5.77%,元/吨,,Acetone_Domestic,3
2026/06/15,丙酮,华北地区,华北,6450,6550,6500,-75,-1.14%,元/吨,,Acetone_Domestic,3
2026/06/12,丙酮,华北地区,华北,6550,6600,6575,-25,-0.38%,元/吨,,Acetone_Domestic,3
2026/06/11,丙酮,华北地区,华北,6600,6600,6600,0,0%,元/吨,,Acetone_Domestic,3
2026/06/10,丙酮,华北地区,华北,6600,6600,6600,0,0%,元/吨,,Acetone_Domestic,3
2026/06/09,丙酮,华北地区,华北,6600,6600,6600,0,0%,元/吨,,Acetone_Domestic,3
2026/06/08,丙酮,华北地区,华北,6600,6600,6600,-100,-1.49%,元/吨,,Acetone_Domestic,3
2026/06/05,丙酮,华北地区,华北,6700,6700,6700,0,0%,元/吨,,Acetone_Domestic,3
2026/06/04,丙酮,华北地区,华北,6700,6700,6700,50,0.75%,元/吨,,Acetone_Domestic,3
2026/06/03,丙酮,华北地区,华北,6600,6700,6650,-150,-2.21%,元/吨,,Acetone_Domestic,3
2026/06/02,丙酮,华北地区,华北,6750,6850,6800,-200,-2.86%,元/吨,,Acetone_Domestic,3
2026/06/01,丙酮,华北地区,华北,7000,7000,7000,-125,-1.75%,元/吨,,Acetone_Domestic,3
2026/05/29,丙酮,华北地区,华北,7100,7150,7125,-75,-1.04%,元/吨,,Acetone_Domestic,3
2026/05/28,丙酮,华北地区,华北,7150,7250,7200,-175,-2.37%,元/吨,,Acetone_Domestic,3
