数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,丙酮,华东地区,江苏,6000,6150,6075,25,0.41%,元/吨,,Acetone_Domestic,3
2026/07/20,丙酮,华东地区,江苏,6000,6100,6050,300,5.22%,元/吨,,Acetone_Domestic,3
2026/07/17,丙酮,华东地区,江苏,5700,5800,5750,-200,-3.36%,元/吨,,Acetone_Domestic,3
2026/07/16,丙酮,华东地区,江苏,5900,6000,5950,-75,-1.24%,元/吨,,Acetone_Domestic,3
2026/07/15,丙酮,华东地区,江苏,5900,6150,6025,300,5.24%,元/吨,,Acetone_Domestic,3
2026/07/14,丙酮,华东地区,江苏,5650,5800,5725,195,3.53%,元/吨,,Acetone_Domestic,3
2026/07/13,丙酮,华东地区,江苏,5500,5560,5530,180,3.36%,元/吨,,Acetone_Domestic,3
2026/07/10,丙酮,华东地区,江苏,5300,5400,5350,50,0.94%,元/吨,,Acetone_Domestic,3
2026/07/09,丙酮,华东地区,江苏,5250,5350,5300,100,1.92%,元/吨,,Acetone_Domestic,3
2026/07/08,丙酮,华东地区,江苏,5050,5350,5200,325,6.67%,元/吨,,Acetone_Domestic,3
2026/07/07,丙酮,华东地区,江苏,4800,4950,4875,125,2.63%,元/吨,,Acetone_Domestic,3
2026/07/06,丙酮,华东地区,江苏,4700,4800,4750,25,0.53%,元/吨,,Acetone_Domestic,3
2026/07/03,丙酮,华东地区,江苏,4700,4750,4725,125,2.72%,元/吨,,Acetone_Domestic,3
2026/07/02,丙酮,华东地区,江苏,4500,4700,4600,-125,-2.65%,元/吨,,Acetone_Domestic,3
2026/07/01,丙酮,华东地区,江苏,4700,4750,4725,-175,-3.57%,元/吨,,Acetone_Domestic,3
2026/06/30,丙酮,华东地区,江苏,4850,4950,4900,-150,-2.97%,元/吨,,Acetone_Domestic,3
2026/06/29,丙酮,华东地区,江苏,5000,5100,5050,-25,-0.49%,元/吨,,Acetone_Domestic,3
2026/06/26,丙酮,华东地区,江苏,5050,5100,5075,-25,-0.49%,元/吨,,Acetone_Domestic,3
2026/06/25,丙酮,华东地区,江苏,5050,5150,5100,-100,-1.92%,元/吨,,Acetone_Domestic,3
2026/06/24,丙酮,华东地区,江苏,5150,5250,5200,-200,-3.7%,元/吨,,Acetone_Domestic,3
2026/06/23,丙酮,华东地区,江苏,5350,5450,5400,-115,-2.09%,元/吨,,Acetone_Domestic,3
2026/06/22,丙酮,华东地区,江苏,5480,5550,5515,-60,-1.08%,元/吨,,Acetone_Domestic,3
2026/06/18,丙酮,华东地区,江苏,5550,5600,5575,-200,-3.46%,元/吨,,Acetone_Domestic,3
2026/06/17,丙酮,华东地区,江苏,5700,5850,5775,-275,-4.55%,元/吨,,Acetone_Domestic,3
2026/06/16,丙酮,华东地区,江苏,6000,6100,6050,-225,-3.59%,元/吨,,Acetone_Domestic,3
2026/06/15,丙酮,华东地区,江苏,6150,6400,6275,-315,-4.78%,元/吨,,Acetone_Domestic,3
2026/06/12,丙酮,华东地区,江苏,6580,6600,6590,-80,-1.2%,元/吨,,Acetone_Domestic,3
2026/06/11,丙酮,华东地区,江苏,6660,6680,6670,-30,-0.45%,元/吨,,Acetone_Domestic,3
2026/06/10,丙酮,华东地区,江苏,6700,6700,6700,-50,-0.74%,元/吨,,Acetone_Domestic,3
2026/06/09,丙酮,华东地区,江苏,6700,6800,6750,-50,-0.74%,元/吨,,Acetone_Domestic,3
2026/06/08,丙酮,华东地区,江苏,6750,6850,6800,25,0.37%,元/吨,,Acetone_Domestic,3
2026/06/05,丙酮,华东地区,江苏,6700,6850,6775,-25,-0.37%,元/吨,,Acetone_Domestic,3
2026/06/04,丙酮,华东地区,江苏,6750,6850,6800,50,0.74%,元/吨,,Acetone_Domestic,3
2026/06/03,丙酮,华东地区,江苏,6700,6800,6750,125,1.89%,元/吨,,Acetone_Domestic,3
2026/06/02,丙酮,华东地区,江苏,6550,6700,6625,-225,-3.28%,元/吨,,Acetone_Domestic,3
2026/06/01,丙酮,华东地区,江苏,6750,6950,6850,-225,-3.18%,元/吨,,Acetone_Domestic,3
2026/05/29,丙酮,华东地区,江苏,7050,7100,7075,-50,-0.7%,元/吨,,Acetone_Domestic,3
2026/05/28,丙酮,华东地区,江苏,7100,7150,7125,0,0%,元/吨,,Acetone_Domestic,3
2026/05/27,丙酮,华东地区,江苏,7100,7150,7125,-150,-2.06%,元/吨,,Acetone_Domestic,3
2026/05/26,丙酮,华东地区,江苏,7200,7350,7275,-175,-2.35%,元/吨,,Acetone_Domestic,3
2026/05/25,丙酮,华东地区,江苏,7350,7550,7450,-125,-1.65%,元/吨,,Acetone_Domestic,3
2026/05/22,丙酮,华东地区,江苏,7550,7600,7575,-50,-0.66%,元/吨,,Acetone_Domestic,3
2026/05/21,丙酮,华东地区,江苏,7600,7650,7625,-75,-0.97%,元/吨,,Acetone_Domestic,3
2026/05/20,丙酮,华东地区,江苏,7700,7700,7700,-25,-0.32%,元/吨,,Acetone_Domestic,3
2026/05/19,丙酮,华东地区,江苏,7700,7750,7725,-50,-0.64%,元/吨,,Acetone_Domestic,3
2026/05/18,丙酮,华东地区,江苏,7750,7800,7775,200,2.64%,元/吨,,Acetone_Domestic,3
2026/05/15,丙酮,华东地区,江苏,7550,7600,7575,25,0.33%,元/吨,,Acetone_Domestic,3
2026/05/14,丙酮,华东地区,江苏,7530,7570,7550,-125,-1.63%,元/吨,,Acetone_Domestic,3
2026/05/13,丙酮,华东地区,江苏,7650,7700,7675,-25,-0.32%,元/吨,,Acetone_Domestic,3
2026/05/12,丙酮,华东地区,江苏,7700,7700,7700,10,0.13%,元/吨,,Acetone_Domestic,3
