数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/09,丙酮,东北地区,黑龙江,7000,7100,7050,0,0%,元/吨,,Acetone_Domestic,3
2026/06/08,丙酮,东北地区,黑龙江,7000,7100,7050,0,0%,元/吨,,Acetone_Domestic,3
2026/06/05,丙酮,东北地区,黑龙江,7000,7100,7050,0,0%,元/吨,,Acetone_Domestic,3
2026/06/04,丙酮,东北地区,黑龙江,7000,7100,7050,0,0%,元/吨,,Acetone_Domestic,3
2026/06/03,丙酮,东北地区,黑龙江,7000,7100,7050,0,0%,元/吨,,Acetone_Domestic,3
2026/06/02,丙酮,东北地区,黑龙江,7000,7100,7050,-300,-4.08%,元/吨,,Acetone_Domestic,3
2026/06/01,丙酮,东北地区,黑龙江,7300,7400,7350,-100,-1.34%,元/吨,,Acetone_Domestic,3
2026/05/29,丙酮,东北地区,黑龙江,7400,7500,7450,0,0%,元/吨,,Acetone_Domestic,3
2026/05/28,丙酮,东北地区,黑龙江,7400,7500,7450,-400,-5.1%,元/吨,,Acetone_Domestic,3
2026/05/27,丙酮,东北地区,黑龙江,7800,7900,7850,-150,-1.88%,元/吨,,Acetone_Domestic,3
2026/05/26,丙酮,东北地区,黑龙江,7975,8125,8000,-100,-1.23%,元/吨,,Acetone_Domestic,3
2026/05/25,丙酮,东北地区,黑龙江,8075,8225,8100,-100,-1.22%,元/吨,,Acetone_Domestic,3
2026/05/22,丙酮,东北地区,黑龙江,8175,8325,8200,-200,-2.38%,元/吨,,Acetone_Domestic,3
2026/05/21,丙酮,东北地区,黑龙江,8375,8525,8400,0,0%,元/吨,,Acetone_Domestic,3
2026/05/20,丙酮,东北地区,黑龙江,8375,8525,8400,0,0%,元/吨,,Acetone_Domestic,3
2026/05/19,丙酮,东北地区,黑龙江,8375,8525,8400,0,0%,元/吨,,Acetone_Domestic,3
2026/05/18,丙酮,东北地区,黑龙江,8375,8525,8400,300,3.7%,元/吨,,Acetone_Domestic,3
2026/05/15,丙酮,东北地区,黑龙江,8075,8225,8100,0,0%,元/吨,,Acetone_Domestic,3
2026/05/14,丙酮,东北地区,黑龙江,8075,8225,8100,-200,-2.41%,元/吨,,Acetone_Domestic,3
2026/05/13,丙酮,东北地区,黑龙江,8275,8425,8300,0,0%,元/吨,,Acetone_Domestic,3
