数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/08,丙烯酸,华北地区,华北,7550,7650,7600,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/05,丙烯酸,华北地区,华北,7550,7650,7600,-100,-1.3%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/04,丙烯酸,华北地区,华北,7650,7750,7700,-50,-0.65%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/03,丙烯酸,华北地区,华北,7700,7800,7750,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/02,丙烯酸,华北地区,华北,7700,7800,7750,-50,-0.64%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/01,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/29,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/28,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/27,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/26,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/25,丙烯酸,华北地区,华北,7700,7900,7800,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/22,丙烯酸,华北地区,华北,7700,7900,7800,-100,-1.27%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/21,丙烯酸,华北地区,华北,7800,8000,7900,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/20,丙烯酸,华北地区,华北,7800,8000,7900,-100,-1.25%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/19,丙烯酸,华北地区,华北,7950,8050,8000,0,0%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/18,丙烯酸,华北地区,华北,7950,8050,8000,-50,-0.62%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/15,丙烯酸,华北地区,华北,8000,8100,8050,-100,-1.23%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/14,丙烯酸,华北地区,华北,8100,8200,8150,-100,-1.21%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/13,丙烯酸,华北地区,华北,8200,8300,8250,-200,-2.37%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/12,丙烯酸,华北地区,华北,8400,8500,8450,0,0%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/11,丙烯酸,华北地区,华北,8400,8500,8450,-150,-1.74%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/09,丙烯酸,华北地区,华北,8500,8700,8600,-200,-2.27%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/08,丙烯酸,华北地区,华北,8700,8900,8800,-150,-1.68%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/07,丙烯酸,华北地区,华北,8800,9100,8950,-150,-1.65%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/05/06,丙烯酸,华北地区,华北,9000,9200,9100,-250,-2.67%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/04/30,丙烯酸,华北地区,华北,9300,9400,9350,-100,-1.06%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/04/29,丙烯酸,华北地区,华北,9400,9500,9450,-50,-0.53%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/04/28,丙烯酸,华北地区,华北,9400,9600,9500,-250,-2.56%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
2026/04/27,丙烯酸,华北地区,华北,9700,9800,9750,-250,-2.5%,元/吨,承兑送到,Acrylic_Acid_Domestic,3
