数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/08,丙烯酸,华南地区,华南,7650,7750,7700,-50,-0.65%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/05,丙烯酸,华南地区,华南,7700,7800,7750,-100,-1.27%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/04,丙烯酸,华南地区,华南,7800,7900,7850,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/03,丙烯酸,华南地区,华南,7800,7900,7850,-50,-0.63%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/02,丙烯酸,华南地区,华南,7800,8000,7900,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/06/01,丙烯酸,华南地区,华南,7800,8000,7900,-100,-1.25%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/29,丙烯酸,华南地区,华南,7900,8100,8000,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/28,丙烯酸,华南地区,华南,7900,8100,8000,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/27,丙烯酸,华南地区,华南,7900,8100,8000,-50,-0.62%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/26,丙烯酸,华南地区,华南,8000,8100,8050,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/25,丙烯酸,华南地区,华南,8000,8100,8050,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/22,丙烯酸,华南地区,华南,8000,8100,8050,-100,-1.23%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/21,丙烯酸,华南地区,华南,8100,8200,8150,0,0%,元/吨,,Acrylic_Acid_Domestic,3
2026/05/20,丙烯酸,华南地区,华南,8100,8200,8150,0,0%,元/吨,现汇送到,Acrylic_Acid_Domestic,3
2026/05/19,丙烯酸,华南地区,华南,8100,8200,8150,-50,-0.61%,元/吨,现汇送到,Acrylic_Acid_Domestic,3
2026/05/18,丙烯酸,华南地区,华南,8150,8250,8200,-50,-0.61%,元/吨,现汇送到,Acrylic_Acid_Domestic,3
2026/05/15,丙烯酸,华南地区,华南,8200,8300,8250,0,0%,元/吨,现汇送到,Acrylic_Acid_Domestic,3
