数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/16,纯苯,东北地区,东北,7180,7203,7191,-105,-1.44%,元/吨,自提价,Benzene_Domestic,3
2026/06/15,纯苯,东北地区,东北,7280,7313,7296,-160,-2.15%,元/吨,自提价,Benzene_Domestic,3
2026/06/12,纯苯,东北地区,东北,7450,7463,7456,-25,-0.33%,元/吨,自提价,Benzene_Domestic,3
2026/06/11,纯苯,东北地区,东北,7455,7507,7481,9,0.12%,元/吨,自提价,Benzene_Domestic,3
2026/06/10,纯苯,东北地区,东北,7455,7490,7472,-79,-1.05%,元/吨,自提价,Benzene_Domestic,3
2026/06/09,纯苯,东北地区,东北,7520,7583,7551,20,0.27%,元/吨,自提价,Benzene_Domestic,3
2026/06/08,纯苯,东北地区,东北,7500,7563,7531,45,0.6%,元/吨,自提价,Benzene_Domestic,3
2026/06/05,纯苯,东北地区,东北,7473,7500,7486,-80,-1.06%,元/吨,自提价,Benzene_Domestic,3
2026/06/04,纯苯,东北地区,东北,7550,7583,7566,5,0.07%,元/吨,自提价,Benzene_Domestic,3
2026/06/03,纯苯,东北地区,东北,7523,7600,7561,43,0.57%,元/吨,自提价,Benzene_Domestic,3
2026/06/02,纯苯,东北地区,东北,7503,7533,7518,-15,-0.2%,元/吨,自提价,Benzene_Domestic,3
2026/06/01,纯苯,东北地区,东北,7503,7563,7533,-68,-0.89%,元/吨,自提价,Benzene_Domestic,3
2026/05/29,纯苯,东北地区,东北,7600,7603,7601,-26,-0.34%,元/吨,自提价,Benzene_Domestic,3
2026/05/28,纯苯,东北地区,东北,7600,7655,7627,-76,-0.99%,元/吨,自提价,Benzene_Domestic,3
2026/05/27,纯苯,东北地区,东北,7700,7707,7703,-177,-2.25%,元/吨,自提价,Benzene_Domestic,3
2026/05/26,纯苯,东北地区,东北,7853,7907,7880,-221,-2.73%,元/吨,自提价,Benzene_Domestic,3
2026/05/25,纯苯,东北地区,东北,8100,8103,8101,-237,-2.84%,元/吨,自提价,Benzene_Domestic,3
