数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/10,纯苯,山东省,东营,7455,7490,7472,-79,-1.05%,元/吨,市场价,Benzene_Domestic,3
2026/06/09,纯苯,山东省,东营,7520,7583,7551,20,0.27%,元/吨,市场价,Benzene_Domestic,3
2026/06/08,纯苯,山东省,东营,7500,7563,7531,45,0.6%,元/吨,市场价,Benzene_Domestic,3
2026/06/05,纯苯,山东省,东营,7473,7500,7486,-80,-1.06%,元/吨,市场价,Benzene_Domestic,3
2026/06/04,纯苯,山东省,东营,7550,7583,7566,10,0.13%,元/吨,市场价,Benzene_Domestic,3
2026/06/03,纯苯,山东省,东营,7523,7590,7556,40,0.53%,元/吨,市场价,Benzene_Domestic,3
2026/06/02,纯苯,山东省,东营,7503,7530,7516,-10,-0.13%,元/吨,市场价,Benzene_Domestic,3
2026/06/01,纯苯,山东省,东营,7503,7550,7526,-74,-0.97%,元/吨,市场价,Benzene_Domestic,3
2026/05/29,纯苯,山东省,东营,7600,7600,7600,-27,-0.35%,元/吨,市场价,Benzene_Domestic,3
2026/05/28,纯苯,山东省,东营,7600,7655,7627,-76,-0.99%,元/吨,市场价,Benzene_Domestic,3
2026/05/27,纯苯,山东省,东营,7700,7707,7703,-177,-2.25%,元/吨,市场价,Benzene_Domestic,3
2026/05/26,纯苯,山东省,东营,7853,7907,7880,-220,-2.72%,元/吨,市场价,Benzene_Domestic,3
2026/05/25,纯苯,山东省,东营,8100,8100,8100,-251,-3.01%,元/吨,市场价,Benzene_Domestic,3
2026/05/22,纯苯,山东省,东营,8350,8353,8351,-4,-0.05%,元/吨,市场价,Benzene_Domestic,3
2026/05/21,纯苯,山东省,东营,8350,8360,8355,5,0.06%,元/吨,市场价,Benzene_Domestic,3
2026/05/20,纯苯,山东省,东营,8340,8360,8350,11,0.13%,元/吨,市场价,Benzene_Domestic,3
2026/05/19,纯苯,山东省,东营,8323,8355,8339,24,0.29%,元/吨,市场价,Benzene_Domestic,3
2026/05/18,纯苯,山东省,东营,8280,8350,8315,95,1.16%,元/吨,市场价,Benzene_Domestic,3
2026/05/15,纯苯,山东省,东营,8200,8240,8220,-16,-0.19%,元/吨,市场价,Benzene_Domestic,3
2026/05/14,纯苯,山东省,东营,8220,8253,8236,-55,-0.66%,元/吨,市场价,Benzene_Domestic,3
2026/05/13,纯苯,山东省,东营,8280,8303,8291,-10,-0.12%,元/吨,市场价,Benzene_Domestic,3
2026/05/12,纯苯,山东省,东营,8300,8303,8301,-24,-0.29%,元/吨,市场价,Benzene_Domestic,3
2026/05/11,纯苯,山东省,东营,8300,8350,8325,17,0.2%,元/吨,市场价,Benzene_Domestic,3
2026/05/09,纯苯,山东省,东营,8300,8317,8308,-118,-1.4%,元/吨,市场价,Benzene_Domestic,3
2026/05/08,纯苯,山东省,东营,8400,8453,8426,-154,-1.79%,元/吨,市场价,Benzene_Domestic,3
2026/05/07,纯苯,山东省,东营,8580,8580,8580,-66,-0.76%,元/吨,市场价,Benzene_Domestic,3
2026/05/06,纯苯,山东省,东营,8630,8663,8646,1,0.01%,元/吨,市场价,Benzene_Domestic,3
2026/04/30,纯苯,山东省,东营,8610,8680,8645,79,0.92%,元/吨,市场价,Benzene_Domestic,3
2026/04/29,纯苯,山东省,东营,8553,8580,8566,40,0.47%,元/吨,市场价,Benzene_Domestic,3
2026/04/28,纯苯,山东省,东营,8503,8550,8526,56,0.66%,元/吨,市场价,Benzene_Domestic,3
2026/04/27,纯苯,山东省,东营,8450,8490,8470,55,0.65%,元/吨,市场价,Benzene_Domestic,3
2026/04/24,纯苯,山东省,东营,8400,8430,8415,20,0.24%,元/吨,市场价,Benzene_Domestic,3
2026/04/23,纯苯,山东省,东营,8370,8420,8395,14,0.17%,元/吨,市场价,Benzene_Domestic,3
2026/04/22,纯苯,山东省,东营,8363,8400,8381,-69,-0.82%,元/吨,市场价,Benzene_Domestic,3
2026/04/21,纯苯,山东省,东营,8450,8450,8450,-15,-0.18%,元/吨,市场价,Benzene_Domestic,3
2026/04/20,纯苯,山东省,东营,8450,8480,8465,-90,-1.05%,元/吨,市场价,Benzene_Domestic,3
2026/04/17,纯苯,山东省,东营,8500,8610,8555,0,0%,元/吨,市场价,Benzene_Domestic,3
2026/04/16,纯苯,山东省,东营,8500,8610,8555,68,0.8%,元/吨,市场价,Benzene_Domestic,3
2026/04/15,纯苯,山东省,东营,8415,8560,8487,162,1.95%,元/吨,市场价,Benzene_Domestic,3
2026/04/14,纯苯,山东省,东营,8300,8350,8325,5,0.06%,元/吨,市场价,Benzene_Domestic,3
2026/04/13,纯苯,山东省,东营,8300,8340,8320,72,0.87%,元/吨,市场价,Benzene_Domestic,3
2026/04/10,纯苯,山东省,东营,8233,8263,8248,-138,-1.65%,元/吨,市场价,Benzene_Domestic,3
2026/04/09,纯苯,山东省,东营,8300,8473,8386,-167,-1.95%,元/吨,市场价,Benzene_Domestic,3
2026/04/08,纯苯,山东省,东营,8553,8553,8553,-98,-1.13%,元/吨,市场价,Benzene_Domestic,3
2026/04/07,纯苯,山东省,东营,8590,8713,8651,148,1.74%,元/吨,市场价,Benzene_Domestic,3
2026/04/03,纯苯,山东省,东营,8453,8553,8503,-3,-0.04%,元/吨,市场价,Benzene_Domestic,3
2026/04/02,纯苯,山东省,东营,8500,8513,8506,-44,-0.51%,元/吨,市场价,Benzene_Domestic,3
2026/04/01,纯苯,山东省,东营,8550,8550,8550,9,0.11%,元/吨,市场价,Benzene_Domestic,3
2026/03/31,纯苯,山东省,东营,8503,8580,8541,-9,-0.11%,元/吨,市场价,Benzene_Domestic,3
2026/03/30,纯苯,山东省,东营,8450,8650,8550,374,4.57%,元/吨,市场价,Benzene_Domestic,3
2026/03/27,纯苯,山东省,东营,8090,8263,8176,211,2.65%,元/吨,市场价,Benzene_Domestic,3
2026/03/26,纯苯,山东省,东营,7907,8023,7965,62,0.78%,元/吨,市场价,Benzene_Domestic,3
2026/03/25,纯苯,山东省,东营,7903,7903,7903,-400,-4.82%,元/吨,市场价,Benzene_Domestic,3
2026/03/24,纯苯,山东省,东营,8303,8303,8303,-105,-1.25%,元/吨,市场价,Benzene_Domestic,3
2026/03/23,纯苯,山东省,东营,8313,8503,8408,608,7.79%,元/吨,市场价,Benzene_Domestic,3
2026/03/20,纯苯,山东省,东营,7800,7800,7800,-15,-0.19%,元/吨,市场价,Benzene_Domestic,3
2026/03/19,纯苯,山东省,东营,7800,7830,7815,112,1.45%,元/吨,市场价,Benzene_Domestic,3
2026/03/18,纯苯,山东省,东营,7703,7703,7703,-152,-1.94%,元/吨,市场价,Benzene_Domestic,3
2026/03/17,纯苯,山东省,东营,7855,7855,7855,-31,-0.39%,元/吨,市场价,Benzene_Domestic,3
2026/03/16,纯苯,山东省,东营,7827,7945,7886,-54,-0.68%,元/吨,市场价,Benzene_Domestic,3
2026/03/13,纯苯,山东省,东营,7935,7945,7940,-269,-3.28%,元/吨,市场价,Benzene_Domestic,3
2026/03/12,纯苯,山东省,东营,8200,8217,8209,806,10.89%,元/吨,市场价,Benzene_Domestic,3
2026/03/11,纯苯,山东省,东营,7300,7505,7403,-849,-10.29%,元/吨,市场价,Benzene_Domestic,3
2026/03/10,纯苯,山东省,东营,8000,8505,8252,-2751,-25%,元/吨,市场价,Benzene_Domestic,3
2026/03/09,纯苯,山东省,东营,11003,11003,11003,3401,44.74%,元/吨,市场价,Benzene_Domestic,3
2026/03/06,纯苯,山东省,东营,7600,7605,7602,344,4.74%,元/吨,市场价,Benzene_Domestic,3
2026/03/05,纯苯,山东省,东营,7200,7317,7258,601,9.03%,元/吨,市场价,Benzene_Domestic,3
2026/03/04,纯苯,山东省,东营,6650,6665,6657,57,0.86%,元/吨,市场价,Benzene_Domestic,3
2026/03/03,纯苯,山东省,东营,6590,6610,6600,310,4.93%,元/吨,市场价,Benzene_Domestic,3
2026/03/02,纯苯,山东省,东营,6275,6305,6290,197,3.23%,元/吨,市场价,Benzene_Domestic,3
2026/02/28,纯苯,山东省,东营,6070,6117,6093,-22,-0.36%,元/吨,市场价,Benzene_Domestic,3
2026/02/27,纯苯,山东省,东营,6105,6125,6115,-69,-1.12%,元/吨,市场价,Benzene_Domestic,3
2026/02/26,纯苯,山东省,东营,6183,6185,6184,-6,-0.1%,元/吨,市场价,Benzene_Domestic,3
2026/02/25,纯苯,山东省,东营,6180,6200,6190,6,0.1%,元/吨,市场价,Benzene_Domestic,3
2026/02/24,纯苯,山东省,东营,6175,6193,6184,76,1.24%,元/吨,市场价,Benzene_Domestic,3
2026/02/14,纯苯,山东省,东营,6100,6117,6108,-3,-0.05%,元/吨,市场价,Benzene_Domestic,3
2026/02/13,纯苯,山东省,东营,6105,6117,6111,8,0.13%,元/吨,市场价,Benzene_Domestic,3
2026/02/12,纯苯,山东省,东营,6100,6107,6103,28,0.46%,元/吨,市场价,Benzene_Domestic,3
2026/02/11,纯苯,山东省,东营,6070,6080,6075,15,0.25%,元/吨,市场价,Benzene_Domestic,3
2026/02/10,纯苯,山东省,东营,6050,6070,6060,-6,-0.1%,元/吨,市场价,Benzene_Domestic,3
2026/02/09,纯苯,山东省,东营,6050,6083,6066,-89,-1.45%,元/吨,市场价,Benzene_Domestic,3
2026/02/06,纯苯,山东省,东营,6155,6155,6155,-10,-0.16%,元/吨,市场价,Benzene_Domestic,3
2026/02/05,纯苯,山东省,东营,6150,6180,6165,-13,-0.21%,元/吨,市场价,Benzene_Domestic,3
2026/02/04,纯苯,山东省,东营,6157,6200,6178,60,0.98%,元/吨,市场价,Benzene_Domestic,3
2026/02/03,纯苯,山东省,东营,6100,6137,6118,-17,-0.28%,元/吨,市场价,Benzene_Domestic,3
2026/02/02,纯苯,山东省,东营,6110,6160,6135,-65,-1.05%,元/吨,市场价,Benzene_Domestic,3
2026/01/30,纯苯,山东省,东营,6200,6200,6200,117,1.92%,元/吨,市场价,Benzene_Domestic,3
2026/01/29,纯苯,山东省,东营,6053,6113,6083,126,2.12%,元/吨,市场价,Benzene_Domestic,3
2026/01/28,纯苯,山东省,东营,5950,5965,5957,7,0.12%,元/吨,市场价,Benzene_Domestic,3
2026/01/27,纯苯,山东省,东营,5950,5950,5950,-2,-0.03%,元/吨,市场价,Benzene_Domestic,3
2026/01/26,纯苯,山东省,东营,5950,5955,5952,-2,-0.03%,元/吨,市场价,Benzene_Domestic,3
2026/01/23,纯苯,山东省,东营,5953,5955,5954,138,2.37%,元/吨,市场价,Benzene_Domestic,3
2026/01/22,纯苯,山东省,东营,5780,5853,5816,79,1.38%,元/吨,市场价,Benzene_Domestic,3
2026/01/21,纯苯,山东省,东营,5700,5773,5737,169,3.04%,元/吨,市场价,Benzene_Domestic,3
