数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/09,纯苯,华东地区,华东,7600,7730,7705,-20,-0.26%,元/吨,自提价,Benzene_Domestic,3
2026/06/08,纯苯,华东地区,华东,7630,7820,7725,70,0.91%,元/吨,自提价,Benzene_Domestic,3
2026/06/05,纯苯,华东地区,华东,7610,7700,7655,-60,-0.78%,元/吨,自提价,Benzene_Domestic,3
2026/06/04,纯苯,华东地区,华东,7670,7760,7715,-55,-0.71%,元/吨,自提价,Benzene_Domestic,3
2026/06/03,纯苯,华东地区,华东,7740,7800,7770,125,1.64%,元/吨,自提价,Benzene_Domestic,3
2026/06/02,纯苯,华东地区,华东,7600,7690,7645,15,0.2%,元/吨,自提价,Benzene_Domestic,3
2026/06/01,纯苯,华东地区,华东,7600,7660,7630,20,0.26%,元/吨,自提价,Benzene_Domestic,3
2026/05/29,纯苯,华东地区,华东,7590,7630,7610,-180,-2.31%,元/吨,自提价,Benzene_Domestic,3
2026/05/28,纯苯,华东地区,华东,7750,7830,7790,35,0.45%,元/吨,自提价,Benzene_Domestic,3
2026/05/27,纯苯,华东地区,华东,7700,7810,7755,-75,-0.96%,元/吨,自提价,Benzene_Domestic,3
2026/05/26,纯苯,华东地区,华东,7770,7890,7830,-140,-1.76%,元/吨,自提价,Benzene_Domestic,3
2026/05/25,纯苯,华东地区,华东,7850,8090,7970,-265,-3.22%,元/吨,自提价,Benzene_Domestic,3
2026/05/22,纯苯,华东地区,华东,8180,8290,8235,-115,-1.38%,元/吨,自提价,Benzene_Domestic,3
2026/05/21,纯苯,华东地区,华东,8280,8420,8350,-50,-0.6%,元/吨,自提价,Benzene_Domestic,3
2026/05/20,纯苯,华东地区,华东,8370,8430,8400,40,0.48%,元/吨,自提价,Benzene_Domestic,3
2026/05/19,纯苯,华东地区,华东,8340,8380,8360,5,0.06%,元/吨,自提价,Benzene_Domestic,3
2026/05/18,纯苯,华东地区,华东,8310,8400,8355,130,1.58%,元/吨,自提价,Benzene_Domestic,3
2026/05/15,纯苯,华东地区,华东,8200,8250,8225,65,0.8%,元/吨,自提价,Benzene_Domestic,3
2026/05/14,纯苯,华东地区,华东,8120,8200,8160,-100,-1.21%,元/吨,自提价,Benzene_Domestic,3
2026/05/13,纯苯,华东地区,华东,8230,8290,8260,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/05/12,纯苯,华东地区,华东,8210,8310,8260,-75,-0.9%,元/吨,换月,Benzene_Domestic,3
2026/05/11,纯苯,华东地区,华东,8290,8380,8335,115,1.4%,元/吨,换月,Benzene_Domestic,3
2026/05/09,纯苯,华东地区,华东,8210,8230,8220,0,0%,元/吨,换月,Benzene_Domestic,3
2026/05/08,纯苯,华东地区,华东,8110,8330,8220,-245,-2.89%,元/吨,换月,Benzene_Domestic,3
2026/05/07,纯苯,华东地区,华东,8360,8570,8465,-275,-3.15%,元/吨,换月,Benzene_Domestic,3
2026/05/06,纯苯,华东地区,华东,8700,8780,8740,-175,-1.96%,元/吨,换月,Benzene_Domestic,3
2026/04/30,纯苯,华东地区,华东,8880,8950,8915,160,1.83%,元/吨,自提价,Benzene_Domestic,3
2026/04/29,纯苯,华东地区,华东,8740,8770,8755,25,0.29%,元/吨,自提价,Benzene_Domestic,3
2026/04/28,纯苯,华东地区,华东,8700,8760,8730,20,0.23%,元/吨,自提价,Benzene_Domestic,3
2026/04/27,纯苯,华东地区,华东,8670,8750,8710,15,0.17%,元/吨,自提价,Benzene_Domestic,3
2026/04/24,纯苯,华东地区,华东,8620,8770,8695,40,0.46%,元/吨,自提价,Benzene_Domestic,3
2026/04/23,纯苯,华东地区,华东,8610,8700,8655,120,1.41%,元/吨,自提价,Benzene_Domestic,3
2026/04/22,纯苯,华东地区,华东,8490,8580,8535,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/04/21,纯苯,华东地区,华东,8480,8590,8535,-230,-2.62%,元/吨,自提价,Benzene_Domestic,3
2026/04/20,纯苯,华东地区,华东,8670,8860,8765,-90,-1.02%,元/吨,自提价,Benzene_Domestic,3
2026/04/17,纯苯,华东地区,华东,8830,8880,8855,-35,-0.39%,元/吨,自提价,Benzene_Domestic,3
2026/04/16,纯苯,华东地区,华东,8840,8940,8890,5,0.06%,元/吨,自提价,Benzene_Domestic,3
2026/04/15,纯苯,华东地区,华东,8750,9020,8885,240,2.78%,元/吨,自提价,Benzene_Domestic,3
2026/04/14,纯苯,华东地区,华东,8530,8760,8645,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/04/13,纯苯,华东地区,华东,8630,8660,8645,135,1.59%,元/吨,自提价,Benzene_Domestic,3
2026/04/10,纯苯,华东地区,华东,8450,8570,8510,-115,-1.33%,元/吨,自提价,Benzene_Domestic,3
2026/04/09,纯苯,华东地区,华东,8550,8700,8625,275,3.29%,元/吨,自提价,Benzene_Domestic,3
2026/04/08,纯苯,华东地区,华东,8250,8450,8350,-705,-7.79%,元/吨,自提价,Benzene_Domestic,3
2026/04/07,纯苯,华东地区,华东,9020,9090,9055,265,3.01%,元/吨,自提价,Benzene_Domestic,3
2026/04/03,纯苯,华东地区,华东,8610,8970,8790,230,2.69%,元/吨,自提价,Benzene_Domestic,3
2026/04/02,纯苯,华东地区,华东,8370,8750,8560,45,0.53%,元/吨,自提价,Benzene_Domestic,3
2026/04/01,纯苯,华东地区,华东,8280,8750,8515,-310,-3.51%,元/吨,自提价,Benzene_Domestic,3
2026/03/31,纯苯,华东地区,华东,8790,8860,8825,-200,-2.22%,元/吨,自提价,Benzene_Domestic,3
2026/03/30,纯苯,华东地区,华东,8940,9110,9025,225,2.56%,元/吨,自提价,Benzene_Domestic,3
2026/03/27,纯苯,华东地区,华东,8740,8860,8800,455,5.45%,元/吨,自提价,Benzene_Domestic,3
2026/03/26,纯苯,华东地区,华东,8290,8400,8345,185,2.27%,元/吨,自提价,Benzene_Domestic,3
2026/03/25,纯苯,华东地区,华东,7980,8340,8160,-350,-4.11%,元/吨,自提价,Benzene_Domestic,3
2026/03/24,纯苯,华东地区,华东,8400,8620,8510,-345,-3.9%,元/吨,自提价,Benzene_Domestic,3
2026/03/23,纯苯,华东地区,华东,8570,9140,8855,650,7.92%,元/吨,自提价,Benzene_Domestic,3
2026/03/20,纯苯,华东地区,华东,8070,8340,8205,-210,-2.5%,元/吨,自提价,Benzene_Domestic,3
2026/03/19,纯苯,华东地区,华东,8320,8510,8415,140,1.69%,元/吨,自提价,Benzene_Domestic,3
2026/03/18,纯苯,华东地区,华东,8140,8410,8275,-80,-0.96%,元/吨,自提价,Benzene_Domestic,3
2026/03/17,纯苯,华东地区,华东,8240,8470,8355,-115,-1.36%,元/吨,自提价,Benzene_Domestic,3
2026/03/16,纯苯,华东地区,华东,8420,8520,8470,165,1.99%,元/吨,自提价,Benzene_Domestic,3
2026/03/13,纯苯,华东地区,华东,8180,8430,8305,-180,-2.12%,元/吨,自提价,Benzene_Domestic,3
2026/03/12,纯苯,华东地区,华东,8310,8660,8485,500,6.26%,元/吨,自提价,Benzene_Domestic,3
2026/03/11,纯苯,华东地区,华东,7740,8230,7985,175,2.24%,元/吨,自提价,Benzene_Domestic,3
2026/03/10,纯苯,华东地区,华东,7550,8070,7810,-2190,-21.9%,元/吨,收盘价,Benzene_Domestic,3
2026/03/09,纯苯,华东地区,华东,9000,11000,10000,2450,32.45%,元/吨,收盘价格,Benzene_Domestic,3
2026/03/06,纯苯,华东地区,华东,7350,7750,7550,270,3.71%,元/吨,自提价,Benzene_Domestic,3
2026/03/05,纯苯,华东地区,华东,7090,7470,7280,455,6.67%,元/吨,自提价,Benzene_Domestic,3
