数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,纯苯,山东省,山东,7400,7400,7400,480,6.94%,元/吨,送到价,Benzene_Domestic,3
2026/07/10,纯苯,山东省,山东,6920,6920,6920,-230,-3.22%,元/吨,送到价,Benzene_Domestic,3
2026/07/09,纯苯,山东省,山东,7150,7150,7150,0,0%,元/吨,送到价,Benzene_Domestic,3
2026/07/08,纯苯,山东省,山东,7150,7150,7150,280,4.08%,元/吨,送到价,Benzene_Domestic,3
2026/07/07,纯苯,山东省,山东,6870,6870,6870,120,1.78%,元/吨,送到价,Benzene_Domestic,3
2026/07/06,纯苯,山东省,山东,6750,6750,6750,50,0.75%,元/吨,送到价,Benzene_Domestic,3
2026/07/03,纯苯,山东省,山东,6700,6700,6700,180,2.76%,元/吨,送到价,Benzene_Domestic,3
2026/07/02,纯苯,山东省,山东,6520,6520,6520,-150,-2.25%,元/吨,送到价,Benzene_Domestic,3
2026/07/01,纯苯,山东省,山东,6670,6670,6670,-30,-0.45%,元/吨,送到价,Benzene_Domestic,3
2026/06/30,纯苯,山东省,山东,6700,6700,6700,80,1.21%,元/吨,送到价,Benzene_Domestic,3
2026/06/29,纯苯,山东省,山东,6620,6620,6620,140,2.16%,元/吨,送到价,Benzene_Domestic,3
2026/06/26,纯苯,山东省,山东,6480,6480,6480,-80,-1.22%,元/吨,送到价,Benzene_Domestic,3
2026/06/25,纯苯,山东省,山东,6560,6560,6560,-180,-2.67%,元/吨,送到价,Benzene_Domestic,3
2026/06/24,纯苯,山东省,山东,6740,6740,6740,-160,-2.32%,元/吨,送到价,Benzene_Domestic,3
2026/06/23,纯苯,山东省,山东,6900,6900,6900,-50,-0.72%,元/吨,送到价,Benzene_Domestic,3
2026/06/22,纯苯,山东省,山东,6950,6950,6950,50,0.72%,元/吨,送到价,Benzene_Domestic,3
2026/06/18,纯苯,山东省,山东,6900,6900,6900,30,0.44%,元/吨,送到价,Benzene_Domestic,3
2026/06/17,纯苯,山东省,山东,6870,6870,6870,-280,-3.92%,元/吨,送到价,Benzene_Domestic,3
2026/06/16,纯苯,山东省,山东,7150,7150,7150,-50,-0.69%,元/吨,送到价,Benzene_Domestic,3
2026/06/15,纯苯,山东省,山东,7200,7200,7200,-300,-4%,元/吨,送到价,Benzene_Domestic,3
2026/06/12,纯苯,山东省,山东,7500,7500,7500,-40,-0.53%,元/吨,送到价,Benzene_Domestic,3
2026/06/11,纯苯,山东省,山东,7540,7540,7540,0,0%,元/吨,送到价,Benzene_Domestic,3
2026/06/10,纯苯,山东省,山东,7540,7540,7540,0,0%,元/吨,送到价,Benzene_Domestic,3
2026/06/09,纯苯,山东省,山东,7540,7540,7540,-80,-1.05%,元/吨,送到价,Benzene_Domestic,3
2026/06/08,纯苯,山东省,山东,7620,7620,7620,120,1.6%,元/吨,送到价,Benzene_Domestic,3
2026/06/05,纯苯,山东省,山东,7500,7500,7500,-50,-0.66%,元/吨,送到价,Benzene_Domestic,3
2026/06/04,纯苯,山东省,山东,7550,7550,7550,-80,-1.05%,元/吨,送到价,Benzene_Domestic,3
2026/06/03,纯苯,山东省,山东,7630,7630,7630,60,0.79%,元/吨,送到价,Benzene_Domestic,3
2026/06/02,纯苯,山东省,山东,7570,7570,7570,-30,-0.39%,元/吨,送到价,Benzene_Domestic,3
2026/06/01,纯苯,山东省,山东,7600,7600,7600,0,0%,元/吨,送到价,Benzene_Domestic,3
2026/05/29,纯苯,山东省,山东,7600,7600,7600,-80,-1.04%,元/吨,送到价,Benzene_Domestic,3
2026/05/28,纯苯,山东省,山东,7680,7680,7680,-20,-0.26%,元/吨,送到价,Benzene_Domestic,3
2026/05/27,纯苯,山东省,山东,7700,7700,7700,-150,-1.91%,元/吨,送到价,Benzene_Domestic,3
2026/05/26,纯苯,山东省,山东,7850,7850,7850,-130,-1.63%,元/吨,送到价,Benzene_Domestic,3
2026/05/25,纯苯,山东省,山东,7980,7980,7980,-340,-4.09%,元/吨,送到价,Benzene_Domestic,3
2026/05/22,纯苯,山东省,山东,8320,8320,8320,-80,-0.95%,元/吨,送到价,Benzene_Domestic,3
2026/05/21,纯苯,山东省,山东,8400,8400,8400,-20,-0.24%,元/吨,送到价,Benzene_Domestic,3
2026/05/20,纯苯,山东省,山东,8420,8420,8420,0,0%,元/吨,送到价,Benzene_Domestic,3
2026/05/19,纯苯,山东省,山东,8420,8420,8420,20,0.24%,元/吨,送到价,Benzene_Domestic,3
2026/05/18,纯苯,山东省,山东,8400,8400,8400,120,1.45%,元/吨,送到价,Benzene_Domestic,3
2026/05/15,纯苯,山东省,山东,8280,8280,8280,40,0.49%,元/吨,送到价,Benzene_Domestic,3
2026/05/14,纯苯,山东省,山东,8240,8240,8240,-30,-0.36%,元/吨,送到价,Benzene_Domestic,3
2026/05/13,纯苯,山东省,山东,8270,8270,8270,-80,-0.96%,元/吨,送到价,Benzene_Domestic,3
2026/05/12,纯苯,山东省,山东,8350,8350,8350,-30,-0.36%,元/吨,送到价,Benzene_Domestic,3
2026/05/11,纯苯,山东省,山东,8380,8380,8380,5,0.06%,元/吨,送到价,Benzene_Domestic,3
2026/05/09,纯苯,山东省,山东,8350,8400,8375,-15,-0.18%,元/吨,送到价,Benzene_Domestic,3
2026/05/08,纯苯,山东省,山东,8380,8400,8390,-125,-1.47%,元/吨,送到价,Benzene_Domestic,3
2026/05/07,纯苯,山东省,山东,8500,8530,8515,-220,-2.52%,元/吨,送到价,Benzene_Domestic,3
2026/05/06,纯苯,山东省,山东,8700,8770,8735,10,0.11%,元/吨,送到价,Benzene_Domestic,3
2026/04/30,纯苯,山东省,山东,8700,8750,8725,90,1.04%,元/吨,送到价,Benzene_Domestic,3
