数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,纯苯,山东省,山东鲁中,7700,7763,7731,170,2.25%,元/吨,市场价,Benzene_Domestic,3
2026/07/14,纯苯,山东省,山东鲁中,7550,7573,7561,203,2.76%,元/吨,市场价,Benzene_Domestic,3
2026/07/13,纯苯,山东省,山东鲁中,7353,7363,7358,155,2.15%,元/吨,市场价,Benzene_Domestic,3
2026/07/10,纯苯,山东省,山东鲁中,7203,7203,7203,-150,-2.04%,元/吨,市场价,Benzene_Domestic,3
2026/07/09,纯苯,山东省,山东鲁中,7353,7353,7353,72,0.99%,元/吨,市场价,Benzene_Domestic,3
2026/07/08,纯苯,山东省,山东鲁中,7150,7413,7281,440,6.43%,元/吨,市场价,Benzene_Domestic,3
2026/07/07,纯苯,山东省,山东鲁中,6800,6883,6841,125,1.86%,元/吨,市场价,Benzene_Domestic,3
2026/07/06,纯苯,山东省,山东鲁中,6700,6733,6716,138,2.1%,元/吨,市场价,Benzene_Domestic,3
2026/07/03,纯苯,山东省,山东鲁中,6573,6583,6578,25,0.38%,元/吨,市场价,Benzene_Domestic,3
2026/07/02,纯苯,山东省,山东鲁中,6553,6553,6553,-98,-1.47%,元/吨,市场价,Benzene_Domestic,3
2026/07/01,纯苯,山东省,山东鲁中,6650,6653,6651,-15,-0.23%,元/吨,市场价,Benzene_Domestic,3
2026/06/30,纯苯,山东省,山东鲁中,6650,6683,6666,58,0.88%,元/吨,市场价,Benzene_Domestic,3
2026/06/29,纯苯,山东省,山东鲁中,6603,6613,6608,105,1.61%,元/吨,市场价,Benzene_Domestic,3
2026/06/26,纯苯,山东省,山东鲁中,6503,6503,6503,-35,-0.54%,元/吨,市场价,Benzene_Domestic,3
2026/06/25,纯苯,山东省,山东鲁中,6533,6543,6538,-265,-3.9%,元/吨,市场价,Benzene_Domestic,3
2026/06/24,纯苯,山东省,山东鲁中,6803,6803,6803,-200,-2.86%,元/吨,市场价,Benzene_Domestic,3
2026/06/23,纯苯,山东省,山东鲁中,7003,7003,7003,0,0%,元/吨,市场价,Benzene_Domestic,3
2026/06/22,纯苯,山东省,山东鲁中,7003,7003,7003,50,0.72%,元/吨,市场价,Benzene_Domestic,3
2026/06/18,纯苯,山东省,山东鲁中,6953,6953,6953,0,0%,元/吨,市场价,Benzene_Domestic,3
2026/06/17,纯苯,山东省,山东鲁中,6953,6953,6953,-250,-3.47%,元/吨,市场价,Benzene_Domestic,3
2026/06/16,纯苯,山东省,山东鲁中,7203,7203,7203,-98,-1.34%,元/吨,市场价,Benzene_Domestic,3
2026/06/15,纯苯,山东省,山东鲁中,7300,7303,7301,-157,-2.11%,元/吨,市场价,Benzene_Domestic,3
2026/06/12,纯苯,山东省,山东鲁中,7453,7463,7458,-23,-0.31%,元/吨,市场价,Benzene_Domestic,3
2026/06/11,纯苯,山东省,山东鲁中,7455,7507,7481,8,0.11%,元/吨,市场价,Benzene_Domestic,3
2026/06/10,纯苯,山东省,山东鲁中,7473,7473,7473,-77,-1.02%,元/吨,市场价,Benzene_Domestic,3
2026/06/09,纯苯,山东省,山东鲁中,7550,7550,7550,19,0.25%,元/吨,市场价,Benzene_Domestic,3
2026/06/08,纯苯,山东省,山东鲁中,7500,7563,7531,43,0.57%,元/吨,市场价,Benzene_Domestic,3
2026/06/05,纯苯,山东省,山东鲁中,7483,7493,7488,-65,-0.86%,元/吨,市场价,Benzene_Domestic,3
2026/06/04,纯苯,山东省,山东鲁中,7553,7553,7553,-8,-0.11%,元/吨,市场价,Benzene_Domestic,3
2026/06/03,纯苯,山东省,山东鲁中,7523,7600,7561,43,0.57%,元/吨,市场价,Benzene_Domestic,3
2026/06/02,纯苯,山东省,山东鲁中,7503,7533,7518,-25,-0.33%,元/吨,市场价,Benzene_Domestic,3
2026/06/01,纯苯,山东省,山东鲁中,7523,7563,7543,-60,-0.79%,元/吨,市场价,Benzene_Domestic,3
2026/05/29,纯苯,山东省,山东鲁中,7603,7603,7603,-3,-0.04%,元/吨,市场价,Benzene_Domestic,3
2026/05/28,纯苯,山东省,山东鲁中,7600,7613,7606,-97,-1.26%,元/吨,市场价,Benzene_Domestic,3
2026/05/27,纯苯,山东省,山东鲁中,7703,7703,7703,-150,-1.91%,元/吨,市场价,Benzene_Domestic,3
2026/05/26,纯苯,山东省,山东鲁中,7853,7853,7853,-250,-3.09%,元/吨,市场价,Benzene_Domestic,3
2026/05/25,纯苯,山东省,山东鲁中,8103,8103,8103,-220,-2.64%,元/吨,市场价,Benzene_Domestic,3
2026/05/22,纯苯,山东省,山东鲁中,8323,8323,8323,-33,-0.39%,元/吨,市场价,Benzene_Domestic,3
2026/05/21,纯苯,山东省,山东鲁中,8333,8380,8356,-15,-0.18%,元/吨,市场价,Benzene_Domestic,3
2026/05/20,纯苯,山东省,山东鲁中,8363,8380,8371,18,0.22%,元/吨,市场价,Benzene_Domestic,3
2026/05/19,纯苯,山东省,山东鲁中,8353,8353,8353,15,0.18%,元/吨,市场价,Benzene_Domestic,3
2026/05/18,纯苯,山东省,山东鲁中,8323,8353,8338,117,1.42%,元/吨,市场价,Benzene_Domestic,3
2026/05/15,纯苯,山东省,山东鲁中,8200,8243,8221,-15,-0.18%,元/吨,市场价,Benzene_Domestic,3
2026/05/14,纯苯,山东省,山东鲁中,8220,8253,8236,-67,-0.81%,元/吨,市场价,Benzene_Domestic,3
2026/05/13,纯苯,山东省,山东鲁中,8303,8303,8303,-5,-0.06%,元/吨,市场价,Benzene_Domestic,3
2026/05/12,纯苯,山东省,山东鲁中,8303,8313,8308,0,0%,元/吨,市场价,Benzene_Domestic,3
2026/05/11,纯苯,山东省,山东鲁中,8303,8313,8308,-15,-0.18%,元/吨,市场价,Benzene_Domestic,3
2026/05/09,纯苯,山东省,山东鲁中,8323,8323,8323,-130,-1.54%,元/吨,市场价,Benzene_Domestic,3
2026/05/08,纯苯,山东省,山东鲁中,8453,8453,8453,-110,-1.28%,元/吨,市场价,Benzene_Domestic,3
2026/05/07,纯苯,山东省,山东鲁中,8563,8563,8563,-95,-1.1%,元/吨,市场价,Benzene_Domestic,3
