数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/24,纯苯,西南地区,西南,7140,7210,7175,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/06/23,纯苯,西南地区,西南,7140,7210,7175,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/06/22,纯苯,西南地区,西南,7120,7230,7175,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/06/18,纯苯,西南地区,西南,7120,7230,7175,85,1.2%,元/吨,自提价,Benzene_Domestic,3
2026/06/17,纯苯,西南地区,西南,7050,7130,7090,-100,-1.39%,元/吨,自提价,Benzene_Domestic,3
2026/06/16,纯苯,西南地区,西南,7110,7270,7190,-120,-1.64%,元/吨,自提价,Benzene_Domestic,3
2026/06/15,纯苯,西南地区,西南,7270,7350,7310,-270,-3.56%,元/吨,自提价,Benzene_Domestic,3
2026/06/12,纯苯,西南地区,西南,7520,7640,7580,-80,-1.04%,元/吨,自提价,Benzene_Domestic,3
2026/06/11,纯苯,西南地区,西南,7620,7700,7660,-10,-0.13%,元/吨,自提价,Benzene_Domestic,3
2026/06/10,纯苯,西南地区,西南,7610,7730,7670,-35,-0.45%,元/吨,自提价,Benzene_Domestic,3
2026/06/09,纯苯,西南地区,西南,7600,7730,7705,50,0.65%,元/吨,自提价,Benzene_Domestic,3
2026/06/08,纯苯,西南地区,西南,7610,7700,7655,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/06/05,纯苯,西南地区,西南,7610,7700,7655,-35,-0.46%,元/吨,自提价,Benzene_Domestic,3
2026/06/04,纯苯,西南地区,西南,7650,7730,7690,-65,-0.84%,元/吨,自提价,Benzene_Domestic,3
2026/06/03,纯苯,西南地区,西南,7730,7780,7755,105,1.37%,元/吨,自提价,Benzene_Domestic,3
2026/06/02,纯苯,西南地区,西南,7600,7700,7650,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/06/01,纯苯,西南地区,西南,7620,7680,7650,-5,-0.07%,元/吨,自提价,Benzene_Domestic,3
2026/05/29,纯苯,西南地区,西南,7600,7710,7655,-95,-1.23%,元/吨,自提价,Benzene_Domestic,3
2026/05/28,纯苯,西南地区,西南,7710,7790,7750,45,0.58%,元/吨,自提价,Benzene_Domestic,3
2026/05/27,纯苯,西南地区,西南,7630,7780,7705,-80,-1.03%,元/吨,自提价,Benzene_Domestic,3
2026/05/26,纯苯,西南地区,西南,7720,7850,7785,-140,-1.77%,元/吨,自提价,Benzene_Domestic,3
2026/05/25,纯苯,西南地区,西南,7820,8030,7925,-255,-3.12%,元/吨,自提价,Benzene_Domestic,3
2026/05/22,纯苯,西南地区,西南,8130,8230,8180,-120,-1.45%,元/吨,自提价,Benzene_Domestic,3
2026/05/21,纯苯,西南地区,西南,8250,8350,8300,-70,-0.84%,元/吨,自提价,Benzene_Domestic,3
2026/05/20,纯苯,西南地区,西南,8240,8400,8370,45,0.54%,元/吨,自提价,Benzene_Domestic,3
2026/05/19,纯苯,西南地区,西南,8290,8360,8325,0,0%,元/吨,自提价,Benzene_Domestic,3
2026/05/18,纯苯,西南地区,西南,8300,8350,8325,95,1.15%,元/吨,自提价,Benzene_Domestic,3
2026/05/15,纯苯,西南地区,西南,8210,8250,8230,70,0.86%,元/吨,自提价,Benzene_Domestic,3
2026/05/14,纯苯,西南地区,西南,8120,8200,8160,-110,-1.33%,元/吨,自提价,Benzene_Domestic,3
2026/05/13,纯苯,西南地区,西南,8230,8310,8270,-10,-0.12%,元/吨,自提价,Benzene_Domestic,3
