数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,醋酸丁酯,华南地区,华南,6550,6600,6575,-50,-0.75%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/20,醋酸丁酯,华南地区,华南,6600,6650,6625,75,1.15%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/17,醋酸丁酯,华南地区,华南,6500,6600,6550,-25,-0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/16,醋酸丁酯,华南地区,华南,6550,6600,6575,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/15,醋酸丁酯,华南地区,华南,6550,6600,6575,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/14,醋酸丁酯,华南地区,华南,6550,6600,6575,25,0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/13,醋酸丁酯,华南地区,华南,6500,6600,6550,-25,-0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/10,醋酸丁酯,华南地区,华南,6550,6600,6575,150,2.33%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/09,醋酸丁酯,华南地区,华南,6400,6450,6425,200,3.21%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/08,醋酸丁酯,华南地区,华南,6200,6250,6225,50,0.81%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/07,醋酸丁酯,华南地区,华南,6150,6200,6175,25,0.41%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/06,醋酸丁酯,华南地区,华南,6100,6200,6150,50,0.82%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/03,醋酸丁酯,华南地区,华南,6050,6150,6100,25,0.41%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/02,醋酸丁酯,华南地区,华南,6050,6100,6075,-50,-0.82%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/07/01,醋酸丁酯,华南地区,华南,6100,6150,6125,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/30,醋酸丁酯,华南地区,华南,6100,6150,6125,-100,-1.61%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/29,醋酸丁酯,华南地区,华南,6200,6250,6225,-50,-0.8%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/26,醋酸丁酯,华南地区,华南,6250,6300,6275,-25,-0.4%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/25,醋酸丁酯,华南地区,华南,6250,6350,6300,-25,-0.4%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/24,醋酸丁酯,华南地区,华南,6300,6350,6325,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/23,醋酸丁酯,华南地区,华南,6300,6350,6325,-75,-1.17%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/22,醋酸丁酯,华南地区,华南,6350,6450,6400,-75,-1.16%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/18,醋酸丁酯,华南地区,华南,6450,6500,6475,-50,-0.77%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/17,醋酸丁酯,华南地区,华南,6500,6550,6525,-25,-0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/16,醋酸丁酯,华南地区,华南,6500,6600,6550,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/15,醋酸丁酯,华南地区,华南,6500,6600,6550,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/12,醋酸丁酯,华南地区,华南,6500,6600,6550,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/11,醋酸丁酯,华南地区,华南,6500,6600,6550,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/10,醋酸丁酯,华南地区,华南,6500,6600,6550,25,0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/09,醋酸丁酯,华南地区,华南,6500,6550,6525,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/08,醋酸丁酯,华南地区,华南,6500,6550,6525,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/05,醋酸丁酯,华南地区,华南,6500,6550,6525,-25,-0.38%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/04,醋酸丁酯,华南地区,华南,6550,6550,6550,75,1.16%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/03,醋酸丁酯,华南地区,华南,6450,6500,6475,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/02,醋酸丁酯,华南地区,华南,6450,6500,6475,-50,-0.77%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/06/01,醋酸丁酯,华南地区,华南,6500,6550,6525,-100,-1.51%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/29,醋酸丁酯,华南地区,华南,6600,6650,6625,-75,-1.12%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/28,醋酸丁酯,华南地区,华南,6650,6750,6700,-50,-0.74%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/27,醋酸丁酯,华南地区,华南,6700,6800,6750,-50,-0.74%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/26,醋酸丁酯,华南地区,华南,6750,6850,6800,-25,-0.37%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/25,醋酸丁酯,华南地区,华南,6800,6850,6825,-50,-0.73%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/22,醋酸丁酯,华南地区,华南,6850,6900,6875,-225,-3.17%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/21,醋酸丁酯,华南地区,华南,7050,7150,7100,-175,-2.41%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/20,醋酸丁酯,华南地区,华南,7250,7300,7275,-100,-1.36%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/19,醋酸丁酯,华南地区,华南,7350,7400,7375,0,0%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/18,醋酸丁酯,华南地区,华南,7350,7400,7375,-100,-1.34%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/15,醋酸丁酯,华南地区,华南,7450,7500,7475,-50,-0.66%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/14,醋酸丁酯,华南地区,华南,7500,7550,7525,-50,-0.66%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/13,醋酸丁酯,华南地区,华南,7550,7600,7575,-50,-0.66%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/12,醋酸丁酯,华南地区,华南,7600,7650,7625,-50,-0.65%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/11,醋酸丁酯,华南地区,华南,7650,7700,7675,-50,-0.65%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
2026/05/09,醋酸丁酯,华南地区,华南,7700,7750,7725,-75,-0.96%,元/吨,厂提现汇,Butyl_Acetate_Domestic,3
