数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/04,醋酸丁酯,欧洲,西北欧,1849.75,1850.25,1850,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/06/03,醋酸丁酯,欧洲,西北欧,1849.75,1850.25,1850,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/06/02,醋酸丁酯,欧洲,西北欧,1849.75,1850.25,1850,-50,-2.63%,欧元/吨,CFR,Butyl_Acetate,4
2026/06/01,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/29,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/28,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/27,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/26,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/25,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/22,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/21,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/20,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,0,0%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/19,醋酸丁酯,欧洲,西北欧,1899.75,1900.25,1900,-40,-2.06%,欧元/吨,CFR,Butyl_Acetate,4
2026/05/18,醋酸丁酯,欧洲,西北欧,1939.75,1940.25,1940,0,0%,欧元/吨,CFR,Butyl_Acetate,4
