数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/04,醋酸丁酯,欧洲,西北欧（鹿特丹）,2044.75,2045.25,2045,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/06/03,醋酸丁酯,欧洲,西北欧（鹿特丹）,2044.75,2045.25,2045,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/06/02,醋酸丁酯,欧洲,西北欧（鹿特丹）,2044.75,2045.25,2045,-55,-2.62%,美元/吨,FOB,Butyl_Acetate,4
2026/06/01,醋酸丁酯,欧洲,西北欧（鹿特丹）,2099.75,2100.25,2100,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/29,醋酸丁酯,欧洲,西北欧（鹿特丹）,2099.75,2100.25,2100,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/28,醋酸丁酯,欧洲,西北欧（鹿特丹）,2099.75,2100.25,2100,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/27,醋酸丁酯,欧洲,西北欧（鹿特丹）,2099.75,2100.25,2100,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/26,醋酸丁酯,欧洲,西北欧（鹿特丹）,2099.75,2100.25,2100,5,0.24%,美元/吨,FOB,Butyl_Acetate,4
2026/05/25,醋酸丁酯,欧洲,西北欧（鹿特丹）,2094.75,2095.25,2095,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/22,醋酸丁酯,欧洲,西北欧（鹿特丹）,2094.75,2095.25,2095,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/21,醋酸丁酯,欧洲,西北欧（鹿特丹）,2094.75,2095.25,2095,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/20,醋酸丁酯,欧洲,西北欧（鹿特丹）,2094.75,2095.25,2095,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/19,醋酸丁酯,欧洲,西北欧（鹿特丹）,2094.75,2095.25,2095,-70,-3.23%,美元/吨,FOB,Butyl_Acetate,4
2026/05/18,醋酸丁酯,欧洲,西北欧（鹿特丹）,2164.75,2165.25,2165,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/15,醋酸丁酯,欧洲,西北欧（鹿特丹）,2164.75,2165.25,2165,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/14,醋酸丁酯,欧洲,西北欧（鹿特丹）,2164.75,2165.25,2165,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/13,醋酸丁酯,欧洲,西北欧（鹿特丹）,2164.75,2165.25,2165,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/12,醋酸丁酯,欧洲,西北欧（鹿特丹）,2164.75,2165.25,2165,-55,-2.48%,美元/吨,FOB,Butyl_Acetate,4
2026/05/11,醋酸丁酯,欧洲,西北欧（鹿特丹）,2219.75,2220.25,2220,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/08,醋酸丁酯,欧洲,西北欧（鹿特丹）,2219.75,2220.25,2220,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/07,醋酸丁酯,欧洲,西北欧（鹿特丹）,2219.75,2220.25,2220,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/06,醋酸丁酯,欧洲,西北欧（鹿特丹）,2219.75,2220.25,2220,0,0%,美元/吨,FOB,Butyl_Acetate,4
2026/05/05,醋酸丁酯,欧洲,西北欧（鹿特丹）,2219.75,2220.25,2220,-15,-0.67%,美元/吨,FOB,Butyl_Acetate,4
