数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,丙烯酸丁酯,华北地区,华北,7900,7900,7900,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/16,丙烯酸丁酯,华北地区,华北,7900,7900,7900,300,3.95%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/15,丙烯酸丁酯,华北地区,华北,7600,7600,7600,400,5.56%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/14,丙烯酸丁酯,华北地区,华北,7200,7200,7200,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/13,丙烯酸丁酯,华北地区,华北,7200,7200,7200,200,2.86%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/10,丙烯酸丁酯,华北地区,华北,7000,7000,7000,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/09,丙烯酸丁酯,华北地区,华北,7000,7000,7000,250,3.7%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/08,丙烯酸丁酯,华北地区,华北,6750,6750,6750,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/07,丙烯酸丁酯,华北地区,华北,6750,6750,6750,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/06,丙烯酸丁酯,华北地区,华北,6750,6750,6750,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/03,丙烯酸丁酯,华北地区,华北,6750,6750,6750,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/02,丙烯酸丁酯,华北地区,华北,6750,6750,6750,-350,-4.93%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/01,丙烯酸丁酯,华北地区,华北,7100,7100,7100,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/30,丙烯酸丁酯,华北地区,华北,7100,7100,7100,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/29,丙烯酸丁酯,华北地区,华北,7100,7100,7100,-600,-7.79%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/26,丙烯酸丁酯,华北地区,华北,7700,7700,7700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/25,丙烯酸丁酯,华北地区,华北,7700,7700,7700,-700,-8.33%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/24,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/23,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/22,丙烯酸丁酯,华北地区,华北,8400,8400,8400,-300,-3.45%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/18,丙烯酸丁酯,华北地区,华北,8700,8700,8700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/17,丙烯酸丁酯,华北地区,华北,8700,8700,8700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/16,丙烯酸丁酯,华北地区,华北,8700,8700,8700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/15,丙烯酸丁酯,华北地区,华北,8700,8700,8700,150,1.75%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/12,丙烯酸丁酯,华北地区,华北,8550,8550,8550,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/11,丙烯酸丁酯,华北地区,华北,8550,8550,8550,250,3.01%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/10,丙烯酸丁酯,华北地区,华北,8300,8300,8300,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/09,丙烯酸丁酯,华北地区,华北,8300,8300,8300,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/08,丙烯酸丁酯,华北地区,华北,8300,8300,8300,-150,-1.78%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/05,丙烯酸丁酯,华北地区,华北,8450,8450,8450,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/04,丙烯酸丁酯,华北地区,华北,8450,8450,8450,-200,-2.31%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/03,丙烯酸丁酯,华北地区,华北,8650,8650,8650,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/02,丙烯酸丁酯,华北地区,华北,8650,8650,8650,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/01,丙烯酸丁酯,华北地区,华北,8650,8650,8650,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/29,丙烯酸丁酯,华北地区,华北,8650,8650,8650,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/28,丙烯酸丁酯,华北地区,华北,8650,8650,8650,50,0.58%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/27,丙烯酸丁酯,华北地区,华北,8600,8600,8600,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/26,丙烯酸丁酯,华北地区,华北,8600,8600,8600,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/25,丙烯酸丁酯,华北地区,华北,8600,8600,8600,200,2.38%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/22,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/05/21,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/20,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/19,丙烯酸丁酯,华北地区,华北,8400,8400,8400,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/18,丙烯酸丁酯,华北地区,华北,8400,8400,8400,-50,-0.59%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/15,丙烯酸丁酯,华北地区,华北,8450,8450,8450,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/14,丙烯酸丁酯,华北地区,华北,8450,8450,8450,-500,-5.59%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/13,丙烯酸丁酯,华北地区,华北,8950,8950,8950,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/12,丙烯酸丁酯,华北地区,华北,8950,8950,8950,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/11,丙烯酸丁酯,华北地区,华北,8950,8950,8950,-250,-2.72%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/09,丙烯酸丁酯,华北地区,华北,9200,9200,9200,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/08,丙烯酸丁酯,华北地区,华北,9200,9200,9200,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/07,丙烯酸丁酯,华北地区,华北,9200,9200,9200,-100,-1.08%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/05/06,丙烯酸丁酯,华北地区,华北,9300,9300,9300,-200,-2.11%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/30,丙烯酸丁酯,华北地区,华北,9500,9500,9500,-700,-6.86%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/29,丙烯酸丁酯,华北地区,华北,10200,10200,10200,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/28,丙烯酸丁酯,华北地区,华北,10200,10200,10200,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/27,丙烯酸丁酯,华北地区,华北,10200,10200,10200,-1100,-9.73%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/24,丙烯酸丁酯,华北地区,华北,11300,11300,11300,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/23,丙烯酸丁酯,华北地区,华北,11300,11300,11300,-700,-5.83%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/22,丙烯酸丁酯,华北地区,华北,12000,12000,12000,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/21,丙烯酸丁酯,华北地区,华北,12000,12000,12000,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/20,丙烯酸丁酯,华北地区,华北,12000,12000,12000,-700,-5.51%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/17,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/16,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/15,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/14,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/13,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/10,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/09,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/08,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/07,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/03,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/02,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/04/01,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/03/31,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/03/30,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/03/27,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
2026/03/26,丙烯酸丁酯,华北地区,华北,12700,12700,12700,0,0%,元/吨,直销价,Butyl_Acrylate_Domestic,3
