数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,丙烯酸丁酯,华南地区,华南,7900,8100,8000,-100,-1.23%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/22,丙烯酸丁酯,华南地区,华南,8000,8200,8100,-100,-1.22%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/21,丙烯酸丁酯,华南地区,华南,8100,8300,8200,-200,-2.38%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/20,丙烯酸丁酯,华南地区,华南,8300,8500,8400,-100,-1.18%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/17,丙烯酸丁酯,华南地区,华南,8400,8600,8500,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/16,丙烯酸丁酯,华南地区,华南,8400,8600,8500,600,7.59%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/15,丙烯酸丁酯,华南地区,华南,7800,8000,7900,450,6.04%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/14,丙烯酸丁酯,华南地区,华南,7400,7500,7450,200,2.76%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/13,丙烯酸丁酯,华南地区,华南,7200,7300,7250,200,2.84%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/10,丙烯酸丁酯,华南地区,华南,7000,7100,7050,150,2.17%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/09,丙烯酸丁酯,华南地区,华南,6850,6950,6900,150,2.22%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/08,丙烯酸丁酯,华南地区,华南,6700,6800,6750,50,0.75%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/07,丙烯酸丁酯,华南地区,华南,6600,6800,6700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/06,丙烯酸丁酯,华南地区,华南,6600,6800,6700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/03,丙烯酸丁酯,华南地区,华南,6600,6800,6700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/02,丙烯酸丁酯,华南地区,华南,6600,6800,6700,0,0%,元/吨,,Butyl_Acrylate_Domestic,3
2026/07/01,丙烯酸丁酯,华南地区,华南,6600,6800,6700,-150,-2.19%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/30,丙烯酸丁酯,华南地区,华南,6800,6900,6850,-100,-1.44%,元/吨,,Butyl_Acrylate_Domestic,3
2026/06/29,丙烯酸丁酯,华南地区,华南,6900,7000,6950,-250,-3.47%,元/吨,,Butyl_Acrylate_Domestic,3
