数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/06,二乙二醇,华南地区,东莞,,,7450,0,0%,元/吨,,DEG_Domestic,3
2026/07/03,二乙二醇,华南地区,东莞,,,7450,0,0%,元/吨,,DEG_Domestic,3
2026/07/02,二乙二醇,华南地区,东莞,,,7450,-50,-0.67%,元/吨,,DEG_Domestic,3
2026/07/01,二乙二醇,华南地区,东莞,,,7500,-50,-0.66%,元/吨,,DEG_Domestic,3
2026/06/30,二乙二醇,华南地区,东莞,,,7550,0,0%,元/吨,,DEG_Domestic,3
2026/06/29,二乙二醇,华南地区,东莞,,,7550,0,0%,元/吨,,DEG_Domestic,3
2026/06/26,二乙二醇,华南地区,东莞,,,7550,0,0%,元/吨,,DEG_Domestic,3
2026/06/25,二乙二醇,华南地区,东莞,,,7550,50,0.67%,元/吨,,DEG_Domestic,3
2026/06/24,二乙二醇,华南地区,东莞,,,7500,100,1.35%,元/吨,,DEG_Domestic,3
2026/06/23,二乙二醇,华南地区,东莞,,,7400,100,1.37%,元/吨,,DEG_Domestic,3
2026/06/22,二乙二醇,华南地区,东莞,,,7300,0,0%,元/吨,,DEG_Domestic,3
2026/06/18,二乙二醇,华南地区,东莞,,,7300,100,1.39%,元/吨,,DEG_Domestic,3
2026/06/17,二乙二醇,华南地区,东莞,,,7200,-100,-1.37%,元/吨,,DEG_Domestic,3
2026/06/16,二乙二醇,华南地区,东莞,,,7300,-100,-1.35%,元/吨,,DEG_Domestic,3
2026/06/15,二乙二醇,华南地区,东莞,,,7400,-100,-1.33%,元/吨,,DEG_Domestic,3
2026/06/12,二乙二醇,华南地区,东莞,,,7500,100,1.35%,元/吨,,DEG_Domestic,3
2026/06/11,二乙二醇,华南地区,东莞,,,7400,100,1.37%,元/吨,,DEG_Domestic,3
2026/06/10,二乙二醇,华南地区,东莞,,,7300,50,0.69%,元/吨,,DEG_Domestic,3
2026/06/09,二乙二醇,华南地区,东莞,,,7250,150,2.11%,元/吨,,DEG_Domestic,3
2026/06/08,二乙二醇,华南地区,东莞,,,7100,100,1.43%,元/吨,,DEG_Domestic,3
2026/06/05,二乙二醇,华南地区,东莞,,,7000,0,0%,元/吨,,DEG_Domestic,3
2026/06/04,二乙二醇,华南地区,东莞,,,7000,0,0%,元/吨,,DEG_Domestic,3
2026/06/03,二乙二醇,华南地区,东莞,,,7000,0,0%,元/吨,,DEG_Domestic,3
2026/06/02,二乙二醇,华南地区,东莞,,,7000,150,2.19%,元/吨,,DEG_Domestic,3
2026/06/01,二乙二醇,华南地区,东莞,,,6850,0,0%,元/吨,,DEG_Domestic,3
2026/05/29,二乙二醇,华南地区,东莞,,,6850,-50,-0.72%,元/吨,,DEG_Domestic,3
2026/05/28,二乙二醇,华南地区,东莞,,,6900,0,0%,元/吨,,DEG_Domestic,3
2026/05/27,二乙二醇,华南地区,东莞,,,6900,0,0%,元/吨,,DEG_Domestic,3
2026/05/26,二乙二醇,华南地区,东莞,,,6900,-50,-0.72%,元/吨,,DEG_Domestic,3
2026/05/25,二乙二醇,华南地区,东莞,,,6950,-100,-1.42%,元/吨,,DEG_Domestic,3
2026/05/22,二乙二醇,华南地区,东莞,,,7050,-100,-1.4%,元/吨,,DEG_Domestic,3
2026/05/21,二乙二醇,华南地区,东莞,,,7150,0,0%,元/吨,,DEG_Domestic,3
2026/05/20,二乙二醇,华南地区,东莞,,,7150,50,0.7%,元/吨,,DEG_Domestic,3
2026/05/19,二乙二醇,华南地区,东莞,,,7100,-200,-2.74%,元/吨,,DEG_Domestic,3
2026/05/18,二乙二醇,华南地区,东莞,,,7300,250,3.55%,元/吨,,DEG_Domestic,3
