数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/06,二乙二醇,华东地区,张家港,,,8250,170,2.1%,元/吨,,DEG_Domestic,3
2026/07/03,二乙二醇,华东地区,张家港,,,8080,90,1.13%,元/吨,,DEG_Domestic,3
2026/07/02,二乙二醇,华东地区,张家港,,,7990,-70,-0.87%,元/吨,,DEG_Domestic,3
2026/07/01,二乙二醇,华东地区,张家港,,,8060,-90,-1.1%,元/吨,,DEG_Domestic,3
2026/06/30,二乙二醇,华东地区,张家港,,,8150,90,1.12%,元/吨,,DEG_Domestic,3
2026/06/29,二乙二醇,华东地区,张家港,,,8060,40,0.5%,元/吨,,DEG_Domestic,3
2026/06/26,二乙二醇,华东地区,张家港,,,8020,60,0.75%,元/吨,,DEG_Domestic,3
2026/06/25,二乙二醇,华东地区,张家港,,,7960,0,0%,元/吨,,DEG_Domestic,3
2026/06/24,二乙二醇,华东地区,张家港,,,7960,10,0.13%,元/吨,,DEG_Domestic,3
2026/06/23,二乙二醇,华东地区,张家港,,,7950,190,2.45%,元/吨,,DEG_Domestic,3
2026/06/22,二乙二醇,华东地区,张家港,,,7760,210,2.78%,元/吨,,DEG_Domestic,3
2026/06/18,二乙二醇,华东地区,张家港,,,7550,350,4.86%,元/吨,,DEG_Domestic,3
2026/06/17,二乙二醇,华东地区,张家港,,,7200,235,3.37%,元/吨,,DEG_Domestic,3
2026/06/16,二乙二醇,华东地区,张家港,,,6965,-205,-2.86%,元/吨,,DEG_Domestic,3
2026/06/15,二乙二醇,华东地区,张家港,,,7170,-250,-3.37%,元/吨,,DEG_Domestic,3
2026/06/12,二乙二醇,华东地区,张家港,,,7420,120,1.64%,元/吨,,DEG_Domestic,3
2026/06/11,二乙二醇,华东地区,张家港,,,7300,140,1.96%,元/吨,,DEG_Domestic,3
2026/06/10,二乙二醇,华东地区,张家港,,,7160,40,0.56%,元/吨,,DEG_Domestic,3
2026/06/09,二乙二醇,华东地区,张家港,,,7120,40,0.56%,元/吨,,DEG_Domestic,3
2026/06/08,二乙二醇,华东地区,张家港,,,7080,130,1.87%,元/吨,,DEG_Domestic,3
2026/06/05,二乙二醇,华东地区,张家港,,,6950,30,0.43%,元/吨,,DEG_Domestic,3
2026/06/04,二乙二醇,华东地区,张家港,,,6920,40,0.58%,元/吨,,DEG_Domestic,3
2026/06/03,二乙二醇,华东地区,张家港,,,6880,110,1.62%,元/吨,,DEG_Domestic,3
2026/06/02,二乙二醇,华东地区,张家港,,,6770,30,0.45%,元/吨,,DEG_Domestic,3
2026/06/01,二乙二醇,华东地区,张家港,,,6740,70,1.05%,元/吨,,DEG_Domestic,3
2026/05/29,二乙二醇,华东地区,张家港,,,6670,-185,-2.7%,元/吨,,DEG_Domestic,3
2026/05/28,二乙二醇,华东地区,张家港,,,6855,-25,-0.36%,元/吨,,DEG_Domestic,3
2026/05/27,二乙二醇,华东地区,张家港,,,6880,30,0.44%,元/吨,,DEG_Domestic,3
2026/05/26,二乙二醇,华东地区,张家港,,,6850,30,0.44%,元/吨,,DEG_Domestic,3
