数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/10,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/09,乙醇,华东地区,山东,5550,5700,5550,-50,-0.89%,元/吨,,Ethanol_Domestic,3
2026/07/08,乙醇,华东地区,山东,5600,5700,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/07,乙醇,华东地区,山东,5600,5700,5600,50,0.9%,元/吨,,Ethanol_Domestic,3
2026/07/06,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/03,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/02,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/01,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/30,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/29,乙醇,华东地区,山东,5550,5700,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/26,乙醇,华东地区,山东,5550,5650,5550,-30,-0.54%,元/吨,,Ethanol_Domestic,3
2026/06/25,乙醇,华东地区,山东,5580,5650,5580,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/24,乙醇,华东地区,山东,5580,5650,5580,30,0.54%,元/吨,,Ethanol_Domestic,3
2026/06/23,乙醇,华东地区,山东,5550,5600,5550,50,0.91%,元/吨,,Ethanol_Domestic,3
2026/06/22,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/18,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/17,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/16,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/15,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/12,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/11,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/10,乙醇,华东地区,山东,5500,5550,5500,-50,-0.9%,元/吨,,Ethanol_Domestic,3
2026/06/09,乙醇,华东地区,山东,5500,5550,5550,50,0.91%,元/吨,,Ethanol_Domestic,3
2026/06/08,乙醇,华东地区,山东,5500,5640,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/05,乙醇,华东地区,山东,5500,5640,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/04,乙醇,华东地区,山东,5500,5640,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/03,乙醇,华东地区,山东,5500,5550,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/02,乙醇,华东地区,山东,5500,5550,5500,-50,-0.9%,元/吨,,Ethanol_Domestic,3
2026/06/01,乙醇,华东地区,山东,5550,5580,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/29,乙醇,华东地区,山东,5550,5580,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/28,乙醇,华东地区,山东,5550,5580,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/27,乙醇,华东地区,山东,5550,5580,5550,-50,-0.89%,元/吨,,Ethanol_Domestic,3
2026/05/26,乙醇,华东地区,山东,5600,5600,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/25,乙醇,华东地区,山东,5600,5600,5600,-50,-0.88%,元/吨,,Ethanol_Domestic,3
2026/05/22,乙醇,华东地区,山东,5650,5650,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/21,乙醇,华东地区,山东,5650,5650,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/20,乙醇,华东地区,山东,5650,5690,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/19,乙醇,华东地区,山东,5650,5720,5650,-50,-0.88%,元/吨,优级乙醇送到鲁北价格,Ethanol_Domestic,3
2026/05/18,乙醇,华东地区,山东,5700,5740,5700,0,0%,元/吨,优级乙醇送到鲁北价格,Ethanol_Domestic,3
2026/05/15,乙醇,华东地区,山东,5700,5740,5700,0,0%,元/吨,优级乙醇送到鲁北价格,Ethanol_Domestic,3
2026/05/14,乙醇,华东地区,山东,5700,5740,5700,0,0%,元/吨,鲁北优级乙醇送到,Ethanol_Domestic,3
2026/05/13,乙醇,华东地区,山东,5700,5770,5700,0,0%,元/吨,鲁北优级乙醇 送到,Ethanol_Domestic,3
2026/05/12,乙醇,华东地区,山东,5700,5730,5700,-50,-0.87%,元/吨,,Ethanol_Domestic,3
2026/05/11,乙醇,华东地区,山东,5750,5800,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/09,乙醇,华东地区,山东,5750,5800,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/08,乙醇,华东地区,山东,5750,5800,5750,-50,-0.86%,元/吨,送到鲁北优级价格,Ethanol_Domestic,3
2026/05/07,乙醇,华东地区,山东,5800,5850,5800,-20,-0.34%,元/吨,鲁北地区优级送到,Ethanol_Domestic,3
2026/05/06,乙醇,华东地区,山东,5820,5850,5820,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/30,乙醇,华东地区,山东,5820,5850,5820,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/29,乙醇,华东地区,山东,5820,5850,5820,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/28,乙醇,华东地区,山东,5820,5850,5820,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/27,乙醇,华东地区,山东,5820,5850,5820,-30,-0.51%,元/吨,,Ethanol_Domestic,3
2026/04/24,乙醇,华东地区,山东,5850,5900,5850,0,0%,元/吨,鲁北送到,Ethanol_Domestic,3
2026/04/23,乙醇,华东地区,山东,5850,5900,5850,-30,-0.51%,元/吨,鲁北送到,Ethanol_Domestic,3
2026/04/22,乙醇,华东地区,山东,5880,5900,5880,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/21,乙醇,华东地区,山东,5880,5900,5880,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/20,乙醇,华东地区,山东,5880,5950,5880,,,元/吨,鲁北送到,Ethanol_Domestic,3
