数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,乙醇,华中地区,河南,5600,5600,5600,-30,-0.53%,元/吨,,Ethanol_Domestic,3
2026/07/09,乙醇,华中地区,河南,5630,5630,5630,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/08,乙醇,华中地区,河南,5630,5650,5630,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/07,乙醇,华中地区,河南,5630,5650,5630,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/06,乙醇,华中地区,河南,5630,5650,5630,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/03,乙醇,华中地区,河南,5630,5650,5630,30,0.54%,元/吨,,Ethanol_Domestic,3
2026/07/02,乙醇,华中地区,河南,5600,5650,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/07/01,乙醇,华中地区,河南,5600,5650,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/30,乙醇,华中地区,河南,5600,5600,5600,100,1.82%,元/吨,,Ethanol_Domestic,3
2026/06/29,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/26,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/25,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/24,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/23,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/22,乙醇,华中地区,河南,5500,5500,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/18,乙醇,华中地区,河南,5500,5510,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/17,乙醇,华中地区,河南,5500,5510,5500,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/16,乙醇,华中地区,河南,5500,5510,5500,-30,-0.54%,元/吨,,Ethanol_Domestic,3
2026/06/15,乙醇,华中地区,河南,5530,5530,5530,-20,-0.36%,元/吨,,Ethanol_Domestic,3
2026/06/12,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/11,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/10,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/09,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/08,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/05,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/04,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/03,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/02,乙醇,华中地区,河南,5550,5550,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/06/01,乙醇,华中地区,河南,5550,5560,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/29,乙醇,华中地区,河南,5550,5560,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/28,乙醇,华中地区,河南,5550,5560,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/27,乙醇,华中地区,河南,5550,5560,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/26,乙醇,华中地区,河南,5550,5560,5550,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/25,乙醇,华中地区,河南,5550,5560,5550,-50,-0.89%,元/吨,,Ethanol_Domestic,3
2026/05/22,乙醇,华中地区,河南,5600,5600,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/21,乙醇,华中地区,河南,5600,5600,5600,-30,-0.53%,元/吨,,Ethanol_Domestic,3
2026/05/20,乙醇,华中地区,河南,5630,5630,5630,-20,-0.35%,元/吨,,Ethanol_Domestic,3
2026/05/19,乙醇,华中地区,河南,5650,5650,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/18,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/15,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/14,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/13,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/12,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/11,乙醇,华中地区,河南,5650,5660,5650,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/09,乙醇,华中地区,河南,5650,5660,5650,-20,-0.35%,元/吨,,Ethanol_Domestic,3
2026/05/08,乙醇,华中地区,河南,5670,5680,5670,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/07,乙醇,华中地区,河南,5670,5680,5670,0,0%,元/吨,,Ethanol_Domestic,3
2026/05/06,乙醇,华中地区,河南,5670,5680,5670,-30,-0.53%,元/吨,,Ethanol_Domestic,3
2026/04/30,乙醇,华中地区,河南,5700,5700,5700,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/29,乙醇,华中地区,河南,5700,5700,5700,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/28,乙醇,华中地区,河南,5700,5700,5700,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/27,乙醇,华中地区,河南,5700,5700,5700,-80,-1.38%,元/吨,,Ethanol_Domestic,3
2026/04/24,乙醇,华中地区,河南,5780,5780,5780,-20,-0.34%,元/吨,,Ethanol_Domestic,3
2026/04/23,乙醇,华中地区,河南,5800,5800,5800,20,0.35%,元/吨,,Ethanol_Domestic,3
2026/04/22,乙醇,华中地区,河南,5780,5800,5780,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/21,乙醇,华中地区,河南,5780,5800,5780,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/20,乙醇,华中地区,河南,5780,5800,5780,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/17,乙醇,华中地区,河南,5780,5800,5780,-20,-0.34%,元/吨,,Ethanol_Domestic,3
2026/04/16,乙醇,华中地区,河南,5800,5800,5800,20,0.35%,元/吨,,Ethanol_Domestic,3
2026/04/15,乙醇,华中地区,河南,5750,5800,5780,80,1.4%,元/吨,,Ethanol_Domestic,3
2026/04/14,乙醇,华中地区,河南,5700,5730,5700,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/13,乙醇,华中地区,河南,5700,5730,5700,-50,-0.87%,元/吨,,Ethanol_Domestic,3
2026/04/10,乙醇,华中地区,河南,5750,5750,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/09,乙醇,华中地区,河南,5750,5750,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/08,乙醇,华中地区,河南,5750,5800,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/07,乙醇,华中地区,河南,5750,5800,5750,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/03,乙醇,华中地区,河南,5750,5800,5750,-50,-0.86%,元/吨,,Ethanol_Domestic,3
2026/04/02,乙醇,华中地区,河南,5800,5850,5800,0,0%,元/吨,,Ethanol_Domestic,3
2026/04/01,乙醇,华中地区,河南,5800,5850,5800,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/31,乙醇,华中地区,河南,5800,5850,5800,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/30,乙醇,华中地区,河南,5800,5850,5800,-100,-1.69%,元/吨,,Ethanol_Domestic,3
2026/03/27,乙醇,华中地区,河南,5890,5900,5900,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/26,乙醇,华中地区,河南,5890,5900,5900,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/25,乙醇,华中地区,河南,5900,5900,5900,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/24,乙醇,华中地区,河南,5900,5900,5900,50,0.85%,元/吨,,Ethanol_Domestic,3
2026/03/23,乙醇,华中地区,河南,5850,5900,5850,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/20,乙醇,华中地区,河南,5850,5850,5850,120,2.09%,元/吨,,Ethanol_Domestic,3
2026/03/19,乙醇,华中地区,河南,5730,5730,5730,50,0.88%,元/吨,,Ethanol_Domestic,3
2026/03/18,乙醇,华中地区,河南,5630,5700,5680,80,1.43%,元/吨,,Ethanol_Domestic,3
2026/03/17,乙醇,华中地区,河南,5600,5650,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/16,乙醇,华中地区,河南,5600,5650,5600,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/13,乙醇,华中地区,河南,5600,5600,5600,70,1.27%,元/吨,,Ethanol_Domestic,3
2026/03/12,乙醇,华中地区,河南,5530,5550,5530,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/11,乙醇,华中地区,河南,5530,5550,5530,0,0%,元/吨,,Ethanol_Domestic,3
2026/03/10,乙醇,华中地区,河南,5530,5550,5530,0,0%,元/吨,,Ethanol_Domestic,3
