数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,醋酸乙酯,华东地区,华东,5400,5530,5465,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/07,醋酸乙酯,华东地区,华东,5400,5530,5465,50,0.92%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/06,醋酸乙酯,华东地区,华东,5350,5480,5415,70,1.31%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/03,醋酸乙酯,华东地区,华东,5280,5410,5345,40,0.75%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/02,醋酸乙酯,华东地区,华东,5250,5360,5305,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/01,醋酸乙酯,华东地区,华东,5250,5360,5305,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/30,醋酸乙酯,华东地区,华东,5250,5360,5305,-25,-0.47%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/29,醋酸乙酯,华东地区,华东,5250,5410,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/26,醋酸乙酯,华东地区,华东,5250,5410,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/25,醋酸乙酯,华东地区,华东,5250,5410,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/24,醋酸乙酯,华东地区,华东,5250,5410,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/23,醋酸乙酯,华东地区,华东,5250,5410,5330,-75,-1.39%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/22,醋酸乙酯,华东地区,华东,5300,5510,5405,-25,-0.46%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/18,醋酸乙酯,华东地区,华东,5350,5510,5430,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/17,醋酸乙酯,华东地区,华东,5350,5510,5430,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/16,醋酸乙酯,华东地区,华东,5350,5510,5430,50,0.93%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/15,醋酸乙酯,华东地区,华东,5300,5460,5380,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/12,醋酸乙酯,华东地区,华东,5300,5460,5380,50,0.94%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/11,醋酸乙酯,华东地区,华东,5250,5410,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/10,醋酸乙酯,华东地区,华东,5250,5410,5330,50,0.95%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/09,醋酸乙酯,华东地区,华东,5200,5360,5280,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/08,醋酸乙酯,华东地区,华东,5200,5360,5280,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/05,醋酸乙酯,华东地区,华东,5200,5360,5280,75,1.44%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/04,醋酸乙酯,华东地区,华东,5150,5260,5205,-25,-0.48%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/03,醋酸乙酯,华东地区,华东,5200,5260,5230,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/02,醋酸乙酯,华东地区,华东,5200,5260,5230,5,0.1%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/01,醋酸乙酯,华东地区,华东,5200,5250,5225,-50,-0.95%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/29,醋酸乙酯,华东地区,华东,5240,5310,5275,-55,-1.03%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/28,醋酸乙酯,华东地区,华东,5300,5360,5330,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
