数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,醋酸乙酯,华南地区,华南,5700,5750,5725,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/10,醋酸乙酯,华南地区,华南,5700,5750,5725,150,2.69%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/09,醋酸乙酯,华南地区,华南,5550,5600,5575,85,1.55%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/08,醋酸乙酯,华南地区,华南,5450,5530,5490,15,0.27%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/07,醋酸乙酯,华南地区,华南,5450,5500,5475,50,0.92%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/06,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/03,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/02,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/07/01,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/30,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/29,醋酸乙酯,华南地区,华南,5400,5450,5425,75,1.4%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/26,醋酸乙酯,华南地区,华南,5300,5400,5350,25,0.47%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/25,醋酸乙酯,华南地区,华南,5300,5350,5325,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/24,醋酸乙酯,华南地区,华南,5300,5350,5325,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/23,醋酸乙酯,华南地区,华南,5300,5350,5325,-25,-0.47%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/22,醋酸乙酯,华南地区,华南,5300,5400,5350,-75,-1.38%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/18,醋酸乙酯,华南地区,华南,5400,5450,5425,-25,-0.46%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/17,醋酸乙酯,华南地区,华南,5400,5500,5450,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/16,醋酸乙酯,华南地区,华南,5400,5500,5450,-25,-0.46%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/15,醋酸乙酯,华南地区,华南,5450,5500,5475,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/12,醋酸乙酯,华南地区,华南,5450,5500,5475,25,0.46%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/11,醋酸乙酯,华南地区,华南,5400,5500,5450,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/10,醋酸乙酯,华南地区,华南,5400,5500,5450,25,0.46%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/09,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/08,醋酸乙酯,华南地区,华南,5400,5450,5425,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/05,醋酸乙酯,华南地区,华南,5400,5450,5425,50,0.93%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/04,醋酸乙酯,华南地区,华南,5350,5400,5375,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/03,醋酸乙酯,华南地区,华南,5350,5400,5375,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/02,醋酸乙酯,华南地区,华南,5350,5400,5375,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/06/01,醋酸乙酯,华南地区,华南,5350,5400,5375,25,0.47%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/29,醋酸乙酯,华南地区,华南,5300,5400,5350,-50,-0.93%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/28,醋酸乙酯,华南地区,华南,5350,5450,5400,-50,-0.92%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/27,醋酸乙酯,华南地区,华南,5400,5500,5450,-50,-0.91%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/26,醋酸乙酯,华南地区,华南,5450,5550,5500,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/25,醋酸乙酯,华南地区,华南,5450,5550,5500,-50,-0.9%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/22,醋酸乙酯,华南地区,华南,5500,5600,5550,-25,-0.45%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/21,醋酸乙酯,华南地区,华南,5550,5600,5575,-50,-0.89%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
2026/05/20,醋酸乙酯,华南地区,华南,5600,5650,5625,0,0%,元/吨,厂提现汇,Ethyl_Acetate_Domestic,3
