数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/03,丙烯酸乙酯,华东地区,华东,9300,9500,9400,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/07/02,丙烯酸乙酯,华东地区,华东,9300,9500,9400,-100,-1.05%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/07/01,丙烯酸乙酯,华东地区,华东,9400,9600,9500,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/30,丙烯酸乙酯,华东地区,华东,9400,9600,9500,-100,-1.04%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/29,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/26,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/25,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/24,丙烯酸乙酯,华东地区,华东,9500,9700,9600,-50,-0.52%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/23,丙烯酸乙酯,华东地区,华东,9600,9700,9650,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/22,丙烯酸乙酯,华东地区,华东,9600,9700,9650,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/18,丙烯酸乙酯,华东地区,华东,9600,9700,9650,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/17,丙烯酸乙酯,华东地区,华东,9600,9700,9650,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/16,丙烯酸乙酯,华东地区,华东,9600,9700,9650,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/15,丙烯酸乙酯,华东地区,华东,9600,9700,9650,50,0.52%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/12,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/11,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/10,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/09,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/08,丙烯酸乙酯,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/05,丙烯酸乙酯,华东地区,华东,9500,9700,9600,-100,-1.03%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/04,丙烯酸乙酯,华东地区,华东,9600,9800,9700,-50,-0.51%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/03,丙烯酸乙酯,华东地区,华东,9700,9800,9750,-50,-0.51%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/02,丙烯酸乙酯,华东地区,华东,9700,9900,9800,-100,-1.01%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/06/01,丙烯酸乙酯,华东地区,华东,9800,10000,9900,-150,-1.49%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/29,丙烯酸乙酯,华东地区,华东,10000,10100,10050,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/28,丙烯酸乙酯,华东地区,华东,10000,10100,10050,-50,-0.5%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/27,丙烯酸乙酯,华东地区,华东,10000,10200,10100,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/26,丙烯酸乙酯,华东地区,华东,10000,10200,10100,0,0%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/25,丙烯酸乙酯,华东地区,华东,10000,10200,10100,-100,-0.98%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/22,丙烯酸乙酯,华东地区,华东,10100,10300,10200,-200,-1.92%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/21,丙烯酸乙酯,华东地区,华东,10300,10500,10400,-100,-0.95%,元/吨,,Ethyl_Acrylate_Domestic,3
2026/05/20,丙烯酸乙酯,华东地区,华东,10400,10600,10500,-200,-1.87%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/19,丙烯酸乙酯,华东地区,华东,10600,10800,10700,-100,-0.93%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/18,丙烯酸乙酯,华东地区,华东,10700,10900,10800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/15,丙烯酸乙酯,华东地区,华东,10700,10900,10800,-200,-1.82%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/14,丙烯酸乙酯,华东地区,华东,10900,11100,11000,-200,-1.79%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/13,丙烯酸乙酯,华东地区,华东,11100,11300,11200,-100,-0.88%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/12,丙烯酸乙酯,华东地区,华东,11100,11500,11300,-200,-1.74%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/11,丙烯酸乙酯,华东地区,华东,11300,11700,11500,-300,-2.54%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/09,丙烯酸乙酯,华东地区,华东,11600,12000,11800,-200,-1.67%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/08,丙烯酸乙酯,华东地区,华东,11800,12200,12000,-300,-2.44%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/07,丙烯酸乙酯,华东地区,华东,12100,12500,12300,-50,-0.4%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/05/06,丙烯酸乙酯,华东地区,华东,12200,12500,12350,-200,-1.59%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/30,丙烯酸乙酯,华东地区,华东,12400,12700,12550,-250,-1.95%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/29,丙烯酸乙酯,华东地区,华东,12600,13000,12800,-50,-0.39%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/28,丙烯酸乙酯,华东地区,华东,12700,13000,12850,-50,-0.39%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/27,丙烯酸乙酯,华东地区,华东,12800,13000,12900,-250,-1.9%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/24,丙烯酸乙酯,华东地区,华东,13000,13300,13150,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/23,丙烯酸乙酯,华东地区,华东,13000,13300,13150,-150,-1.13%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/22,丙烯酸乙酯,华东地区,华东,13100,13500,13300,-500,-3.62%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/21,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/20,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/17,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/16,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/15,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/14,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/13,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/10,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/09,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/08,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/07,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/03,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/02,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/04/01,丙烯酸乙酯,华东地区,华东,13600,14000,13800,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/31,丙烯酸乙酯,华东地区,华东,13600,14000,13800,200,1.47%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/30,丙烯酸乙酯,华东地区,华东,13500,13700,13600,350,2.64%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/27,丙烯酸乙酯,华东地区,华东,13000,13500,13250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/26,丙烯酸乙酯,华东地区,华东,13000,13500,13250,150,1.15%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/25,丙烯酸乙酯,华东地区,华东,12700,13500,13100,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/24,丙烯酸乙酯,华东地区,华东,12700,13500,13100,350,2.75%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/23,丙烯酸乙酯,华东地区,华东,12500,13000,12750,500,4.08%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/20,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/19,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/18,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/17,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/16,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
2026/03/13,丙烯酸乙酯,华东地区,华东,12000,12500,12250,0,0%,元/吨,承兑送到,Ethyl_Acrylate_Domestic,3
