数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/20,乙烯,山东省,山东,,,7850,0,0%,元/吨,,Ethylene_Domestic,3
2026/07/17,乙烯,山东省,山东,,,7850,0,0%,元/吨,,Ethylene_Domestic,3
2026/07/16,乙烯,山东省,山东,,,7850,50,0.64%,元/吨,,Ethylene_Domestic,3
2026/07/15,乙烯,山东省,山东,,,7800,150,1.96%,元/吨,,Ethylene_Domestic,3
2026/07/14,乙烯,山东省,山东,,,7650,50,0.66%,元/吨,,Ethylene_Domestic,3
2026/07/13,乙烯,山东省,山东,,,7600,400,5.56%,元/吨,,Ethylene_Domestic,3
2026/07/10,乙烯,山东省,山东,,,7200,200,2.86%,元/吨,,Ethylene_Domestic,3
2026/07/09,乙烯,山东省,山东,,,7000,125,1.82%,元/吨,,Ethylene_Domestic,3
2026/07/08,乙烯,山东省,山东,,,6875,0,0%,元/吨,,Ethylene_Domestic,3
2026/07/07,乙烯,山东省,山东,,,6875,25,0.36%,元/吨,,Ethylene_Domestic,3
2026/07/06,乙烯,山东省,山东,,,6850,100,1.48%,元/吨,,Ethylene_Domestic,3
2026/07/03,乙烯,山东省,山东,,,6750,50,0.75%,元/吨,,Ethylene_Domestic,3
2026/07/02,乙烯,山东省,山东,,,6700,-50,-0.74%,元/吨,,Ethylene_Domestic,3
2026/07/01,乙烯,山东省,山东,,,6750,-50,-0.74%,元/吨,,Ethylene_Domestic,3
2026/06/30,乙烯,山东省,山东,,,6800,-100,-1.45%,元/吨,,Ethylene_Domestic,3
2026/06/29,乙烯,山东省,山东,,,6900,-50,-0.72%,元/吨,,Ethylene_Domestic,3
2026/06/26,乙烯,山东省,山东,,,6950,-50,-0.71%,元/吨,,Ethylene_Domestic,3
2026/06/25,乙烯,山东省,山东,,,7000,-275,-3.78%,元/吨,,Ethylene_Domestic,3
2026/06/24,乙烯,山东省,山东,,,7275,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/23,乙烯,山东省,山东,,,7275,-225,-3%,元/吨,,Ethylene_Domestic,3
2026/06/22,乙烯,山东省,山东,,,7500,-75,-0.99%,元/吨,,Ethylene_Domestic,3
2026/06/18,乙烯,山东省,山东,,,7575,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/17,乙烯,山东省,山东,,,7575,-100,-1.3%,元/吨,,Ethylene_Domestic,3
2026/06/16,乙烯,山东省,山东,,,7675,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/15,乙烯,山东省,山东,,,7675,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/12,乙烯,山东省,山东,,,7675,25,0.33%,元/吨,,Ethylene_Domestic,3
2026/06/11,乙烯,山东省,山东,,,7650,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/10,乙烯,山东省,山东,,,7650,-100,-1.29%,元/吨,,Ethylene_Domestic,3
2026/06/09,乙烯,山东省,山东,,,7750,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/08,乙烯,山东省,山东,,,7750,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/05,乙烯,山东省,山东,,,7750,50,0.65%,元/吨,,Ethylene_Domestic,3
2026/06/04,乙烯,山东省,山东,,,7700,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/03,乙烯,山东省,山东,,,7700,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/02,乙烯,山东省,山东,,,7700,0,0%,元/吨,,Ethylene_Domestic,3
2026/06/01,乙烯,山东省,山东,,,7700,-100,-1.28%,元/吨,,Ethylene_Domestic,3
2026/05/29,乙烯,山东省,山东,,,7800,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/28,乙烯,山东省,山东,,,7800,200,2.63%,元/吨,,Ethylene_Domestic,3
2026/05/27,乙烯,山东省,山东,,,7600,-200,-2.56%,元/吨,,Ethylene_Domestic,3
2026/05/26,乙烯,山东省,山东,,,7800,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/25,乙烯,山东省,山东,,,7800,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/22,乙烯,山东省,山东,,,7800,-100,-1.27%,元/吨,,Ethylene_Domestic,3
2026/05/21,乙烯,山东省,山东,,,7900,-75,-0.94%,元/吨,,Ethylene_Domestic,3
2026/05/20,乙烯,山东省,山东,,,7975,-50,-0.62%,元/吨,,Ethylene_Domestic,3
2026/05/19,乙烯,山东省,山东,,,8025,-100,-1.23%,元/吨,,Ethylene_Domestic,3
2026/05/18,乙烯,山东省,山东,,,8125,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/15,乙烯,山东省,山东,,,8125,-25,-0.31%,元/吨,,Ethylene_Domestic,3
2026/05/14,乙烯,山东省,山东,,,8150,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/13,乙烯,山东省,山东,,,8150,-50,-0.61%,元/吨,,Ethylene_Domestic,3
2026/05/12,乙烯,山东省,山东,,,8200,-100,-1.2%,元/吨,,Ethylene_Domestic,3
2026/05/11,乙烯,山东省,山东,,,8300,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/09,乙烯,山东省,山东,,,8300,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/08,乙烯,山东省,山东,,,8300,0,0%,元/吨,,Ethylene_Domestic,3
2026/05/07,乙烯,山东省,山东,,,8300,-75,-0.9%,元/吨,,Ethylene_Domestic,3
2026/05/06,乙烯,山东省,山东,,,8375,,,元/吨,,Ethylene_Domestic,3
