数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/05,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/06/04,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/06/03,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/06/02,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/06/01,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/29,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/28,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/27,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/26,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/25,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/22,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/21,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/20,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/19,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/18,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/15,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/14,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/13,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/12,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/11,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/09,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/08,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/07,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/05/06,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/30,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/29,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/28,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/27,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/24,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/23,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/22,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/21,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/20,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/17,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/16,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/15,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/14,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/13,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/10,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/09,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/08,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/07,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/03,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/02,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/04/01,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/31,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/30,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/27,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/26,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/25,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/24,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/23,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/20,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/19,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/18,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
2026/03/17,管道天然气,广东省,珠海,,,,无权限,,元/立方米,,Gas_Natural_Domestic,3
