数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/07,异丁醇,华北地区,华北,6100,6100,6100,30,0.49%,元/吨,,Isobutanol_Domestic,3
2026/07/06,异丁醇,华北地区,华北,6070,6070,6070,70,1.17%,元/吨,,Isobutanol_Domestic,3
2026/07/03,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/07/02,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/07/01,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/30,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/29,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/26,异丁醇,华北地区,华北,6000,6000,6000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/25,异丁醇,华北地区,华北,6000,6000,6000,-10,-0.17%,元/吨,,Isobutanol_Domestic,3
2026/06/24,异丁醇,华北地区,华北,6010,6010,6010,-10,-0.17%,元/吨,,Isobutanol_Domestic,3
2026/06/23,异丁醇,华北地区,华北,6020,6020,6020,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/22,异丁醇,华北地区,华北,6020,6020,6020,-280,-4.44%,元/吨,,Isobutanol_Domestic,3
2026/06/18,异丁醇,华北地区,华北,6300,6300,6300,-100,-1.56%,元/吨,,Isobutanol_Domestic,3
2026/06/17,异丁醇,华北地区,华北,6400,6400,6400,-50,-0.78%,元/吨,,Isobutanol_Domestic,3
2026/06/16,异丁醇,华北地区,华北,6450,6450,6450,40,0.62%,元/吨,,Isobutanol_Domestic,3
2026/06/15,异丁醇,华北地区,华北,6410,6410,6410,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/12,异丁醇,华北地区,华北,6410,6410,6410,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/11,异丁醇,华北地区,华北,6410,6410,6410,10,0.16%,元/吨,,Isobutanol_Domestic,3
2026/06/10,异丁醇,华北地区,华北,6400,6400,6400,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/09,异丁醇,华北地区,华北,6400,6400,6400,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/08,异丁醇,华北地区,华北,6400,6400,6400,-35,-0.54%,元/吨,,Isobutanol_Domestic,3
2026/06/05,异丁醇,华北地区,华北,6400,6470,6435,35,0.55%,元/吨,,Isobutanol_Domestic,3
2026/06/04,异丁醇,华北地区,华北,6400,6400,6400,80,1.27%,元/吨,,Isobutanol_Domestic,3
2026/06/03,异丁醇,华北地区,华北,6300,6340,6320,0,0%,元/吨,,Isobutanol_Domestic,3
