数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/14,异丁醇,华南地区,华南,6500,6500,6500,0,0%,元/吨,,Isobutanol_Domestic,3
2026/07/13,异丁醇,华南地区,华南,6500,6500,6500,-300,-4.41%,元/吨,,Isobutanol_Domestic,3
2026/07/10,异丁醇,华南地区,华南,6800,6800,6800,400,6.25%,元/吨,,Isobutanol_Domestic,3
2026/07/09,异丁醇,华南地区,华南,6400,6400,6400,200,3.23%,元/吨,,Isobutanol_Domestic,3
2026/07/08,异丁醇,华南地区,华南,6200,6200,6200,200,3.33%,元/吨,,Isobutanol_Domestic,3
2026/07/07,异丁醇,华南地区,华南,6000,6000,6000,50,0.84%,元/吨,,Isobutanol_Domestic,3
2026/07/06,异丁醇,华南地区,华南,5900,6000,5950,50,0.85%,元/吨,,Isobutanol_Domestic,3
2026/07/03,异丁醇,华南地区,华南,5900,5900,5900,0,0%,元/吨,,Isobutanol_Domestic,3
2026/07/02,异丁醇,华南地区,华南,5900,5900,5900,0,0%,元/吨,,Isobutanol_Domestic,3
2026/07/01,异丁醇,华南地区,华南,5900,5900,5900,-50,-0.84%,元/吨,,Isobutanol_Domestic,3
2026/06/30,异丁醇,华南地区,华南,5900,6000,5950,-50,-0.83%,元/吨,,Isobutanol_Domestic,3
2026/06/29,异丁醇,华南地区,华南,6000,6000,6000,-100,-1.64%,元/吨,,Isobutanol_Domestic,3
2026/06/26,异丁醇,华南地区,华南,6100,6100,6100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/25,异丁醇,华南地区,华南,6100,6100,6100,-100,-1.61%,元/吨,,Isobutanol_Domestic,3
2026/06/24,异丁醇,华南地区,华南,6200,6200,6200,-50,-0.8%,元/吨,,Isobutanol_Domestic,3
2026/06/23,异丁醇,华南地区,华南,6200,6300,6250,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/22,异丁醇,华南地区,华南,6200,6300,6250,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/18,异丁醇,华南地区,华南,6200,6300,6250,-200,-3.1%,元/吨,,Isobutanol_Domestic,3
2026/06/17,异丁醇,华南地区,华南,6400,6500,6450,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/16,异丁醇,华南地区,华南,6400,6500,6450,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/15,异丁醇,华南地区,华南,6400,6500,6450,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/12,异丁醇,华南地区,华南,6400,6500,6450,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/11,异丁醇,华南地区,华南,6400,6500,6450,100,1.57%,元/吨,,Isobutanol_Domestic,3
2026/06/10,异丁醇,华南地区,华南,6300,6400,6350,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/09,异丁醇,华南地区,华南,6300,6400,6350,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/08,异丁醇,华南地区,华南,6300,6400,6350,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/05,异丁醇,华南地区,华南,6300,6400,6350,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/04,异丁醇,华南地区,华南,6300,6400,6350,50,0.79%,元/吨,,Isobutanol_Domestic,3
2026/06/03,异丁醇,华南地区,华南,6300,6300,6300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/02,异丁醇,华南地区,华南,6300,6300,6300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/06/01,异丁醇,华南地区,华南,6300,6300,6300,-100,-1.56%,元/吨,,Isobutanol_Domestic,3
2026/05/29,异丁醇,华南地区,华南,6400,6400,6400,-100,-1.54%,元/吨,,Isobutanol_Domestic,3
2026/05/28,异丁醇,华南地区,华南,6500,6500,6500,-100,-1.52%,元/吨,,Isobutanol_Domestic,3
2026/05/27,异丁醇,华南地区,华南,6600,6600,6600,-200,-2.94%,元/吨,,Isobutanol_Domestic,3
2026/05/26,异丁醇,华南地区,华南,6800,6800,6800,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/25,异丁醇,华南地区,华南,6800,6800,6800,-100,-1.45%,元/吨,,Isobutanol_Domestic,3
2026/05/22,异丁醇,华南地区,华南,6900,6900,6900,-100,-1.43%,元/吨,,Isobutanol_Domestic,3
2026/05/21,异丁醇,华南地区,华南,7000,7000,7000,-100,-1.41%,元/吨,,Isobutanol_Domestic,3
2026/05/20,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/19,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/18,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/15,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/14,异丁醇,华南地区,华南,7100,7100,7100,-100,-1.39%,元/吨,,Isobutanol_Domestic,3
2026/05/13,异丁醇,华南地区,华南,7200,7200,7200,-100,-1.37%,元/吨,,Isobutanol_Domestic,3
2026/05/12,异丁醇,华南地区,华南,7300,7300,7300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/11,异丁醇,华南地区,华南,7300,7300,7300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/09,异丁醇,华南地区,华南,7300,7300,7300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/08,异丁醇,华南地区,华南,7300,7300,7300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/07,异丁醇,华南地区,华南,7300,7300,7300,0,0%,元/吨,,Isobutanol_Domestic,3
2026/05/06,异丁醇,华南地区,华南,7300,7300,7300,200,2.82%,元/吨,,Isobutanol_Domestic,3
2026/04/30,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/29,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/28,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/27,异丁醇,华南地区,华南,7100,7100,7100,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/24,异丁醇,华南地区,华南,7100,7100,7100,-100,-1.39%,元/吨,,Isobutanol_Domestic,3
2026/04/23,异丁醇,华南地区,华南,7200,7200,7200,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/22,异丁醇,华南地区,华南,7200,7200,7200,-100,-1.37%,元/吨,,Isobutanol_Domestic,3
2026/04/21,异丁醇,华南地区,华南,7300,7300,7300,-200,-2.67%,元/吨,,Isobutanol_Domestic,3
2026/04/20,异丁醇,华南地区,华南,7500,7500,7500,-500,-6.25%,元/吨,,Isobutanol_Domestic,3
2026/04/17,异丁醇,华南地区,华南,8000,8000,8000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/16,异丁醇,华南地区,华南,8000,8000,8000,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/15,异丁醇,华南地区,华南,8000,8000,8000,0,0%,元/吨,预估,Isobutanol_Domestic,3
2026/04/14,异丁醇,华南地区,华南,8000,8000,8000,-175,-2.14%,元/吨,,Isobutanol_Domestic,3
2026/04/13,异丁醇,华南地区,华南,8150,8200,8175,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/10,异丁醇,华南地区,华南,8150,8200,8175,-25,-0.3%,元/吨,,Isobutanol_Domestic,3
2026/04/09,异丁醇,华南地区,华南,8200,8200,8200,-100,-1.2%,元/吨,,Isobutanol_Domestic,3
2026/04/08,异丁醇,华南地区,华南,8300,8300,8300,-175,-2.06%,元/吨,,Isobutanol_Domestic,3
2026/04/07,异丁醇,华南地区,华南,8450,8500,8475,75,0.89%,元/吨,,Isobutanol_Domestic,3
2026/04/03,异丁醇,华南地区,华南,8400,8400,8400,0,0%,元/吨,,Isobutanol_Domestic,3
2026/04/02,异丁醇,华南地区,华南,8400,8400,8400,-50,-0.59%,元/吨,,Isobutanol_Domestic,3
2026/04/01,异丁醇,华南地区,华南,8400,8500,8450,-100,-1.17%,元/吨,,Isobutanol_Domestic,3
2026/03/31,异丁醇,华南地区,华南,8500,8600,8550,50,0.59%,元/吨,,Isobutanol_Domestic,3
2026/03/30,异丁醇,华南地区,华南,8500,8550,8500,0,0%,元/吨,,Isobutanol_Domestic,3
2026/03/27,异丁醇,华南地区,华南,8450,8550,8500,0,0%,元/吨,评估,Isobutanol_Domestic,3
2026/03/26,异丁醇,华南地区,华南,8450,8550,8500,-100,-1.16%,元/吨,,Isobutanol_Domestic,3
2026/03/25,异丁醇,华南地区,华南,8450,8750,8600,-50,-0.58%,元/吨,,Isobutanol_Domestic,3
2026/03/24,异丁醇,华南地区,华南,8500,8800,8650,-150,-1.7%,元/吨,,Isobutanol_Domestic,3
2026/03/23,异丁醇,华南地区,华南,8800,8800,8800,1150,15.03%,元/吨,货紧,Isobutanol_Domestic,3
2026/03/20,异丁醇,华南地区,华南,7600,7700,7650,150,2%,元/吨,,Isobutanol_Domestic,3
2026/03/19,异丁醇,华南地区,华南,7500,7500,7500,100,1.35%,元/吨,,Isobutanol_Domestic,3
2026/03/18,异丁醇,华南地区,华南,7400,7400,7400,100,1.37%,元/吨,,Isobutanol_Domestic,3
2026/03/17,异丁醇,华南地区,华南,7300,7300,7300,-275,-3.63%,元/吨,,Isobutanol_Domestic,3
