数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/22,间苯二甲酸,华东地区,华东,9050,9200,9125,-25,-0.27%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/21,间苯二甲酸,华东地区,华东,9100,9200,9150,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/20,间苯二甲酸,华东地区,华东,9100,9200,9150,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/17,间苯二甲酸,华东地区,华东,9100,9200,9150,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/16,间苯二甲酸,华东地区,华东,9100,9200,9150,-100,-1.08%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/15,间苯二甲酸,华东地区,华东,9200,9300,9250,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/14,间苯二甲酸,华东地区,华东,9200,9300,9250,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/13,间苯二甲酸,华东地区,华东,9200,9300,9250,-50,-0.54%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/10,间苯二甲酸,华东地区,华东,9250,9350,9300,-50,-0.53%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/09,间苯二甲酸,华东地区,华东,9300,9400,9350,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/08,间苯二甲酸,华东地区,华东,9300,9400,9350,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/07,间苯二甲酸,华东地区,华东,9300,9400,9350,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/06,间苯二甲酸,华东地区,华东,9300,9400,9350,-50,-0.53%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/03,间苯二甲酸,华东地区,华东,9350,9450,9400,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/02,间苯二甲酸,华东地区,华东,9350,9450,9400,-25,-0.27%,元/吨,,Isophthalic_Acid_Domestic,3
2026/07/01,间苯二甲酸,华东地区,华东,9350,9500,9425,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/30,间苯二甲酸,华东地区,华东,9350,9500,9425,-50,-0.53%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/29,间苯二甲酸,华东地区,华东,9400,9550,9475,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/26,间苯二甲酸,华东地区,华东,9400,9550,9475,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/25,间苯二甲酸,华东地区,华东,9400,9550,9475,-25,-0.26%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/24,间苯二甲酸,华东地区,华东,9450,9550,9500,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/23,间苯二甲酸,华东地区,华东,9450,9550,9500,-25,-0.26%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/22,间苯二甲酸,华东地区,华东,9450,9600,9525,-25,-0.26%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/18,间苯二甲酸,华东地区,华东,9500,9600,9550,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/17,间苯二甲酸,华东地区,华东,9500,9600,9550,-50,-0.52%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/16,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/15,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/12,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/11,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/10,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/09,间苯二甲酸,华东地区,华东,9500,9700,9600,0,0%,元/吨,,Isophthalic_Acid_Domestic,3
2026/06/08,间苯二甲酸,华东地区,华东,9500,9700,9600,-100,-1.03%,元/吨,,Isophthalic_Acid_Domestic,3
