数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/24,异丙醇,华南地区,华南,7300,7400,7350,150,2.08%,元/吨,,Isopropanol_Domestic,3
2026/07/23,异丙醇,华南地区,华南,7100,7300,7200,150,2.13%,元/吨,,Isopropanol_Domestic,3
2026/07/22,异丙醇,华南地区,华南,7000,7100,7050,100,1.44%,元/吨,,Isopropanol_Domestic,3
2026/07/21,异丙醇,华南地区,华南,6900,7000,6950,50,0.72%,元/吨,,Isopropanol_Domestic,3
2026/07/20,异丙醇,华南地区,华南,6850,6950,6900,75,1.1%,元/吨,,Isopropanol_Domestic,3
2026/07/17,异丙醇,华南地区,华南,6800,6850,6825,-25,-0.36%,元/吨,,Isopropanol_Domestic,3
2026/07/16,异丙醇,华南地区,华南,6800,6900,6850,-100,-1.44%,元/吨,,Isopropanol_Domestic,3
2026/07/15,异丙醇,华南地区,华南,6900,7000,6950,400,6.11%,元/吨,,Isopropanol_Domestic,3
2026/07/14,异丙醇,华南地区,华南,6500,6600,6550,125,1.95%,元/吨,,Isopropanol_Domestic,3
2026/07/13,异丙醇,华南地区,华南,6400,6450,6425,75,1.18%,元/吨,,Isopropanol_Domestic,3
2026/07/10,异丙醇,华南地区,华南,6300,6400,6350,25,0.4%,元/吨,,Isopropanol_Domestic,3
2026/07/09,异丙醇,华南地区,华南,6300,6350,6325,175,2.85%,元/吨,,Isopropanol_Domestic,3
2026/07/08,异丙醇,华南地区,华南,6100,6200,6150,-50,-0.81%,元/吨,,Isopropanol_Domestic,3
2026/07/07,异丙醇,华南地区,华南,6100,6300,6200,75,1.22%,元/吨,,Isopropanol_Domestic,3
2026/07/06,异丙醇,华南地区,华南,6100,6150,6125,25,0.41%,元/吨,,Isopropanol_Domestic,3
2026/07/03,异丙醇,华南地区,华南,6100,6100,6100,-25,-0.41%,元/吨,,Isopropanol_Domestic,3
2026/07/02,异丙醇,华南地区,华南,6100,6150,6125,-25,-0.41%,元/吨,,Isopropanol_Domestic,3
2026/07/01,异丙醇,华南地区,华南,6100,6200,6150,25,0.41%,元/吨,,Isopropanol_Domestic,3
2026/06/30,异丙醇,华南地区,华南,6100,6150,6125,0,0%,元/吨,,Isopropanol_Domestic,3
2026/06/29,异丙醇,华南地区,华南,6100,6150,6125,50,0.82%,元/吨,,Isopropanol_Domestic,3
2026/06/26,异丙醇,华南地区,华南,6050,6100,6075,-25,-0.41%,元/吨,,Isopropanol_Domestic,3
2026/06/25,异丙醇,华南地区,华南,6050,6150,6100,-100,-1.61%,元/吨,,Isopropanol_Domestic,3
2026/06/24,异丙醇,华南地区,华南,6150,6250,6200,-175,-2.75%,元/吨,,Isopropanol_Domestic,3
2026/06/23,异丙醇,华南地区,华南,6350,6400,6375,-125,-1.92%,元/吨,,Isopropanol_Domestic,3
2026/06/22,异丙醇,华南地区,华南,6450,6550,6500,-350,-5.11%,元/吨,,Isopropanol_Domestic,3
2026/06/18,异丙醇,华南地区,华南,6800,6900,6850,-175,-2.49%,元/吨,,Isopropanol_Domestic,3
2026/06/17,异丙醇,华南地区,华南,7000,7050,7025,-125,-1.75%,元/吨,,Isopropanol_Domestic,3
