数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,异丙醇,华东地区,江苏,6800,6800,6800,450,7.09%,元/吨,,Isopropanol_Domestic,3
2026/07/14,异丙醇,华东地区,江苏,6300,6400,6350,100,1.6%,元/吨,,Isopropanol_Domestic,3
2026/07/13,异丙醇,华东地区,江苏,6200,6300,6250,50,0.81%,元/吨,,Isopropanol_Domestic,3
2026/07/10,异丙醇,华东地区,江苏,6200,6200,6200,75,1.22%,元/吨,,Isopropanol_Domestic,3
2026/07/09,异丙醇,华东地区,江苏,6100,6150,6125,275,4.7%,元/吨,,Isopropanol_Domestic,3
2026/07/08,异丙醇,华东地区,江苏,5800,5900,5850,75,1.3%,元/吨,,Isopropanol_Domestic,3
2026/07/07,异丙醇,华东地区,江苏,5750,5800,5775,-50,-0.86%,元/吨,,Isopropanol_Domestic,3
2026/07/06,异丙醇,华东地区,江苏,5800,5850,5825,-200,-3.32%,元/吨,,Isopropanol_Domestic,3
2026/07/03,异丙醇,华东地区,江苏,6000,6050,6025,-125,-2.03%,元/吨,,Isopropanol_Domestic,3
2026/07/02,异丙醇,华东地区,江苏,6100,6200,6150,25,0.41%,元/吨,,Isopropanol_Domestic,3
2026/07/01,异丙醇,华东地区,江苏,6100,6150,6125,75,1.24%,元/吨,,Isopropanol_Domestic,3
2026/06/30,异丙醇,华东地区,江苏,6050,6050,6050,25,0.41%,元/吨,,Isopropanol_Domestic,3
2026/06/29,异丙醇,华东地区,江苏,6000,6050,6025,50,0.84%,元/吨,,Isopropanol_Domestic,3
2026/06/26,异丙醇,华东地区,江苏,5950,6000,5975,-50,-0.83%,元/吨,,Isopropanol_Domestic,3
2026/06/25,异丙醇,华东地区,江苏,6000,6050,6025,-100,-1.63%,元/吨,,Isopropanol_Domestic,3
2026/06/24,异丙醇,华东地区,江苏,6100,6150,6125,-25,-0.41%,元/吨,,Isopropanol_Domestic,3
2026/06/23,异丙醇,华东地区,江苏,6100,6200,6150,-75,-1.2%,元/吨,,Isopropanol_Domestic,3
