数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/12,异丙醇,华东地区,浙江,7150,7200,7175,-50,-0.69%,元/吨,,Isopropanol_Domestic,3
2026/06/11,异丙醇,华东地区,浙江,7200,7250,7225,-150,-2.03%,元/吨,,Isopropanol_Domestic,3
2026/06/10,异丙醇,华东地区,浙江,7350,7400,7375,-100,-1.34%,元/吨,,Isopropanol_Domestic,3
2026/06/09,异丙醇,华东地区,浙江,7450,7500,7475,50,0.67%,元/吨,,Isopropanol_Domestic,3
2026/06/08,异丙醇,华东地区,浙江,7400,7450,7425,-50,-0.67%,元/吨,,Isopropanol_Domestic,3
2026/06/05,异丙醇,华东地区,浙江,7450,7500,7475,50,0.67%,元/吨,,Isopropanol_Domestic,3
2026/06/04,异丙醇,华东地区,浙江,7400,7450,7425,50,0.68%,元/吨,,Isopropanol_Domestic,3
2026/06/03,异丙醇,华东地区,浙江,7350,7400,7375,-100,-1.34%,元/吨,,Isopropanol_Domestic,3
2026/06/02,异丙醇,华东地区,浙江,7450,7500,7475,-100,-1.32%,元/吨,,Isopropanol_Domestic,3
2026/06/01,异丙醇,华东地区,浙江,7550,7600,7575,-25,-0.33%,元/吨,,Isopropanol_Domestic,3
2026/05/29,异丙醇,华东地区,浙江,7550,7650,7600,-125,-1.62%,元/吨,,Isopropanol_Domestic,3
2026/05/28,异丙醇,华东地区,浙江,7700,7750,7725,-100,-1.28%,元/吨,,Isopropanol_Domestic,3
2026/05/27,异丙醇,华东地区,浙江,7800,7850,7825,-100,-1.26%,元/吨,,Isopropanol_Domestic,3
2026/05/26,异丙醇,华东地区,浙江,7900,7950,7925,-100,-1.25%,元/吨,,Isopropanol_Domestic,3
2026/05/25,异丙醇,华东地区,浙江,8000,8050,8025,-150,-1.83%,元/吨,,Isopropanol_Domestic,3
2026/05/22,异丙醇,华东地区,浙江,8150,8200,8175,-50,-0.61%,元/吨,,Isopropanol_Domestic,3
