数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/06,乙二醇,山东省,山东,,,3800,20,0.53%,元/吨,,MEG_Domestic,3
2026/07/03,乙二醇,山东省,山东,,,3780,-30,-0.79%,元/吨,,MEG_Domestic,3
2026/07/02,乙二醇,山东省,山东,,,3810,-50,-1.3%,元/吨,,MEG_Domestic,3
2026/07/01,乙二醇,山东省,山东,,,3860,-40,-1.03%,元/吨,,MEG_Domestic,3
2026/06/30,乙二醇,山东省,山东,,,3900,-20,-0.51%,元/吨,,MEG_Domestic,3
2026/06/29,乙二醇,山东省,山东,,,3920,-40,-1.01%,元/吨,,MEG_Domestic,3
2026/06/26,乙二醇,山东省,山东,,,3960,-40,-1%,元/吨,,MEG_Domestic,3
2026/06/25,乙二醇,山东省,山东,,,4000,-20,-0.5%,元/吨,,MEG_Domestic,3
2026/06/24,乙二醇,山东省,山东,,,4020,-60,-1.47%,元/吨,,MEG_Domestic,3
2026/06/23,乙二醇,山东省,山东,,,4080,115,2.9%,元/吨,,MEG_Domestic,3
2026/06/22,乙二醇,山东省,山东,,,3965,0,0%,元/吨,,MEG_Domestic,3
2026/06/18,乙二醇,山东省,山东,,,3965,0,0%,元/吨,,MEG_Domestic,3
2026/06/17,乙二醇,山东省,山东,,,3965,-15,-0.38%,元/吨,,MEG_Domestic,3
2026/06/16,乙二醇,山东省,山东,,,3980,-30,-0.75%,元/吨,,MEG_Domestic,3
2026/06/15,乙二醇,山东省,山东,,,4010,-415,-9.38%,元/吨,,MEG_Domestic,3
2026/06/12,乙二醇,山东省,山东,,,4425,0,0%,元/吨,,MEG_Domestic,3
2026/06/11,乙二醇,山东省,山东,,,4425,95,2.19%,元/吨,,MEG_Domestic,3
2026/06/10,乙二醇,山东省,山东,,,4330,10,0.23%,元/吨,,MEG_Domestic,3
2026/06/09,乙二醇,山东省,山东,,,4320,20,0.47%,元/吨,,MEG_Domestic,3
2026/06/08,乙二醇,山东省,山东,,,4300,0,0%,元/吨,,MEG_Domestic,3
2026/06/05,乙二醇,山东省,山东,,,4300,0,0%,元/吨,,MEG_Domestic,3
2026/06/04,乙二醇,山东省,山东,,,4300,0,0%,元/吨,,MEG_Domestic,3
2026/06/03,乙二醇,山东省,山东,,,4300,0,0%,元/吨,,MEG_Domestic,3
2026/06/02,乙二醇,山东省,山东,,,4300,20,0.47%,元/吨,,MEG_Domestic,3
2026/06/01,乙二醇,山东省,山东,,,4280,-20,-0.47%,元/吨,,MEG_Domestic,3
2026/05/29,乙二醇,山东省,山东,,,4300,-20,-0.46%,元/吨,,MEG_Domestic,3
2026/05/28,乙二醇,山东省,山东,,,4320,0,0%,元/吨,,MEG_Domestic,3
2026/05/27,乙二醇,山东省,山东,,,4320,0,0%,元/吨,,MEG_Domestic,3
2026/05/26,乙二醇,山东省,山东,,,4320,-30,-0.69%,元/吨,,MEG_Domestic,3
2026/05/25,乙二醇,山东省,山东,,,4350,-50,-1.14%,元/吨,,MEG_Domestic,3
2026/05/22,乙二醇,山东省,山东,,,4400,-30,-0.68%,元/吨,,MEG_Domestic,3
2026/05/21,乙二醇,山东省,山东,,,4430,-20,-0.45%,元/吨,,MEG_Domestic,3
2026/05/20,乙二醇,山东省,山东,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/05/19,乙二醇,山东省,山东,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/05/18,乙二醇,山东省,山东,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/05/15,乙二醇,山东省,山东,,,4450,-30,-0.67%,元/吨,,MEG_Domestic,3
2026/05/14,乙二醇,山东省,山东,,,4480,0,0%,元/吨,,MEG_Domestic,3
2026/05/13,乙二醇,山东省,山东,,,4480,-20,-0.44%,元/吨,,MEG_Domestic,3
2026/05/12,乙二醇,山东省,山东,,,4500,10,0.22%,元/吨,,MEG_Domestic,3
2026/05/11,乙二醇,山东省,山东,,,4490,0,0%,元/吨,,MEG_Domestic,3
2026/05/09,乙二醇,山东省,山东,,,4490,0,0%,元/吨,,MEG_Domestic,3
2026/05/08,乙二醇,山东省,山东,,,4490,-360,-7.42%,元/吨,,MEG_Domestic,3
2026/05/07,乙二醇,山东省,山东,,,4850,-30,-0.61%,元/吨,,MEG_Domestic,3
2026/05/06,乙二醇,山东省,山东,,,4880,0,0%,元/吨,,MEG_Domestic,3
2026/04/30,乙二醇,山东省,山东,,,4880,0,0%,元/吨,,MEG_Domestic,3
2026/04/29,乙二醇,山东省,山东,,,4880,50,1.04%,元/吨,,MEG_Domestic,3
2026/04/28,乙二醇,山东省,山东,,,4830,30,0.63%,元/吨,,MEG_Domestic,3
2026/04/27,乙二醇,山东省,山东,,,4800,50,1.05%,元/吨,,MEG_Domestic,3
2026/04/24,乙二醇,山东省,山东,,,4750,0,0%,元/吨,,MEG_Domestic,3
2026/04/23,乙二醇,山东省,山东,,,4750,0,0%,元/吨,,MEG_Domestic,3
2026/04/22,乙二醇,山东省,山东,,,4750,-90,-1.86%,元/吨,,MEG_Domestic,3
2026/04/21,乙二醇,山东省,山东,,,4840,0,0%,元/吨,,MEG_Domestic,3
2026/04/20,乙二醇,山东省,山东,,,4840,-60,-1.22%,元/吨,,MEG_Domestic,3
2026/04/17,乙二醇,山东省,山东,,,4900,-20,-0.41%,元/吨,,MEG_Domestic,3
2026/04/16,乙二醇,山东省,山东,,,4920,100,2.07%,元/吨,,MEG_Domestic,3
2026/04/15,乙二醇,山东省,山东,,,4820,-40,-0.82%,元/吨,,MEG_Domestic,3
2026/04/14,乙二醇,山东省,山东,,,4860,0,0%,元/吨,,MEG_Domestic,3
2026/04/13,乙二醇,山东省,山东,,,4860,0,0%,元/吨,,MEG_Domestic,3
2026/04/10,乙二醇,山东省,山东,,,4860,0,0%,元/吨,,MEG_Domestic,3
2026/04/09,乙二醇,山东省,山东,,,4860,-90,-1.82%,元/吨,,MEG_Domestic,3
2026/04/08,乙二醇,山东省,山东,,,4950,-210,-4.07%,元/吨,,MEG_Domestic,3
2026/04/07,乙二醇,山东省,山东,,,5160,250,5.09%,元/吨,,MEG_Domestic,3
2026/04/03,乙二醇,山东省,山东,,,4910,0,0%,元/吨,,MEG_Domestic,3
2026/04/02,乙二醇,山东省,山东,,,4910,20,0.41%,元/吨,,MEG_Domestic,3
2026/04/01,乙二醇,山东省,山东,,,4890,-150,-2.98%,元/吨,,MEG_Domestic,3
2026/03/31,乙二醇,山东省,山东,,,5040,-120,-2.33%,元/吨,,MEG_Domestic,3
2026/03/30,乙二醇,山东省,山东,,,5160,270,5.52%,元/吨,,MEG_Domestic,3
2026/03/27,乙二醇,山东省,山东,,,4890,130,2.73%,元/吨,,MEG_Domestic,3
2026/03/26,乙二醇,山东省,山东,,,4760,0,0%,元/吨,,MEG_Domestic,3
2026/03/25,乙二醇,山东省,山东,,,4760,-300,-5.93%,元/吨,,MEG_Domestic,3
2026/03/24,乙二醇,山东省,山东,,,5060,90,1.81%,元/吨,,MEG_Domestic,3
2026/03/23,乙二醇,山东省,山东,,,4970,430,9.47%,元/吨,,MEG_Domestic,3
2026/03/20,乙二醇,山东省,山东,,,4540,-120,-2.58%,元/吨,,MEG_Domestic,3
2026/03/19,乙二醇,山东省,山东,,,4660,200,4.48%,元/吨,,MEG_Domestic,3
2026/03/18,乙二醇,山东省,山东,,,4460,40,0.9%,元/吨,,MEG_Domestic,3
2026/03/17,乙二醇,山东省,山东,,,4420,0,0%,元/吨,,MEG_Domestic,3
2026/03/16,乙二醇,山东省,山东,,,4420,0,0%,元/吨,,MEG_Domestic,3
2026/03/13,乙二醇,山东省,山东,,,4420,-150,-3.28%,元/吨,,MEG_Domestic,3
2026/03/12,乙二醇,山东省,山东,,,4570,280,6.53%,元/吨,,MEG_Domestic,3
2026/03/11,乙二醇,山东省,山东,,,4290,-260,-5.71%,元/吨,,MEG_Domestic,3
2026/03/10,乙二醇,山东省,山东,,,4550,-50,-1.09%,元/吨,,MEG_Domestic,3
2026/03/09,乙二醇,山东省,山东,,,4600,440,10.58%,元/吨,,MEG_Domestic,3
2026/03/06,乙二醇,山东省,山东,,,4160,200,5.05%,元/吨,,MEG_Domestic,3
2026/03/05,乙二醇,山东省,山东,,,3960,70,1.8%,元/吨,,MEG_Domestic,3
2026/03/04,乙二醇,山东省,山东,,,3890,70,1.83%,元/吨,,MEG_Domestic,3
2026/03/03,乙二醇,山东省,山东,,,3820,220,6.11%,元/吨,,MEG_Domestic,3
2026/03/02,乙二醇,山东省,山东,,,3600,0,0%,元/吨,,MEG_Domestic,3
2026/02/28,乙二醇,山东省,山东,,,3600,0,0%,元/吨,,MEG_Domestic,3
2026/02/27,乙二醇,山东省,山东,,,3600,0,0%,元/吨,,MEG_Domestic,3
2026/02/26,乙二醇,山东省,山东,,,3600,-20,-0.55%,元/吨,,MEG_Domestic,3
