数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/09,乙二醇,华东地区,福建,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/07/08,乙二醇,华东地区,福建,,,4450,100,2.3%,元/吨,,MEG_Domestic,3
2026/07/07,乙二醇,华东地区,福建,,,4350,0,0%,元/吨,,MEG_Domestic,3
2026/07/06,乙二醇,华东地区,福建,,,4350,100,2.35%,元/吨,,MEG_Domestic,3
2026/07/03,乙二醇,华东地区,福建,,,4250,-50,-1.16%,元/吨,,MEG_Domestic,3
2026/07/02,乙二醇,华东地区,福建,,,4300,-150,-3.37%,元/吨,,MEG_Domestic,3
2026/07/01,乙二醇,华东地区,福建,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/06/30,乙二醇,华东地区,福建,,,4450,0,0%,元/吨,,MEG_Domestic,3
2026/06/29,乙二醇,华东地区,福建,,,4450,-20,-0.45%,元/吨,,MEG_Domestic,3
2026/06/26,乙二醇,华东地区,福建,,,4470,-80,-1.76%,元/吨,,MEG_Domestic,3
2026/06/25,乙二醇,华东地区,福建,,,4550,-100,-2.15%,元/吨,,MEG_Domestic,3
2026/06/24,乙二醇,华东地区,福建,,,4650,-100,-2.11%,元/吨,,MEG_Domestic,3
2026/06/23,乙二醇,华东地区,福建,,,4750,100,2.15%,元/吨,,MEG_Domestic,3
2026/06/22,乙二醇,华东地区,福建,,,4650,0,0%,元/吨,,MEG_Domestic,3
2026/06/18,乙二醇,华东地区,福建,,,4650,-50,-1.06%,元/吨,,MEG_Domestic,3
2026/06/17,乙二醇,华东地区,福建,,,4700,-50,-1.05%,元/吨,,MEG_Domestic,3
2026/06/16,乙二醇,华东地区,福建,,,4750,-50,-1.04%,元/吨,,MEG_Domestic,3
2026/06/15,乙二醇,华东地区,福建,,,4800,-150,-3.03%,元/吨,,MEG_Domestic,3
2026/06/12,乙二醇,华东地区,福建,,,4950,-30,-0.6%,元/吨,,MEG_Domestic,3
2026/06/11,乙二醇,华东地区,福建,,,4980,80,1.63%,元/吨,,MEG_Domestic,3
2026/06/10,乙二醇,华东地区,福建,,,4900,-20,-0.41%,元/吨,,MEG_Domestic,3
2026/06/09,乙二醇,华东地区,福建,,,4920,100,2.07%,元/吨,,MEG_Domestic,3
2026/06/08,乙二醇,华东地区,福建,,,4820,20,0.42%,元/吨,,MEG_Domestic,3
2026/06/05,乙二醇,华东地区,福建,,,4800,-50,-1.03%,元/吨,,MEG_Domestic,3
2026/06/04,乙二醇,华东地区,福建,,,4850,-50,-1.02%,元/吨,,MEG_Domestic,3
2026/06/03,乙二醇,华东地区,福建,,,4900,20,0.41%,元/吨,,MEG_Domestic,3
2026/06/02,乙二醇,华东地区,福建,,,4880,30,0.62%,元/吨,,MEG_Domestic,3
2026/06/01,乙二醇,华东地区,福建,,,4850,50,1.04%,元/吨,,MEG_Domestic,3
2026/05/29,乙二醇,华东地区,福建,,,4800,-100,-2.04%,元/吨,,MEG_Domestic,3
2026/05/28,乙二醇,华东地区,福建,,,4900,0,0%,元/吨,,MEG_Domestic,3
2026/05/27,乙二醇,华东地区,福建,,,4900,0,0%,元/吨,,MEG_Domestic,3
2026/05/26,乙二醇,华东地区,福建,,,4900,-80,-1.61%,元/吨,,MEG_Domestic,3
2026/05/25,乙二醇,华东地区,福建,,,4980,-20,-0.4%,元/吨,,MEG_Domestic,3
2026/05/22,乙二醇,华东地区,福建,,,5000,-50,-0.99%,元/吨,,MEG_Domestic,3
2026/05/21,乙二醇,华东地区,福建,,,5050,-100,-1.94%,元/吨,,MEG_Domestic,3
2026/05/20,乙二醇,华东地区,福建,,,5150,0,0%,元/吨,,MEG_Domestic,3
2026/05/19,乙二醇,华东地区,福建,,,5150,-100,-1.9%,元/吨,,MEG_Domestic,3
2026/05/18,乙二醇,华东地区,福建,,,5250,100,1.94%,元/吨,,MEG_Domestic,3
2026/05/15,乙二醇,华东地区,福建,,,5150,0,0%,元/吨,,MEG_Domestic,3
2026/05/14,乙二醇,华东地区,福建,,,5150,-80,-1.53%,元/吨,,MEG_Domestic,3
2026/05/13,乙二醇,华东地区,福建,,,5230,-20,-0.38%,元/吨,,MEG_Domestic,3
2026/05/12,乙二醇,华东地区,福建,,,5250,50,0.96%,元/吨,,MEG_Domestic,3
2026/05/11,乙二醇,华东地区,福建,,,5200,0,0%,元/吨,,MEG_Domestic,3
2026/05/09,乙二醇,华东地区,福建,,,5200,-50,-0.95%,元/吨,,MEG_Domestic,3
2026/05/08,乙二醇,华东地区,福建,,,5250,-100,-1.87%,元/吨,,MEG_Domestic,3
2026/05/07,乙二醇,华东地区,福建,,,5350,-200,-3.6%,元/吨,,MEG_Domestic,3
2026/05/06,乙二醇,华东地区,福建,,,5550,100,1.83%,元/吨,,MEG_Domestic,3
2026/04/30,乙二醇,华东地区,福建,,,5450,50,0.93%,元/吨,,MEG_Domestic,3
2026/04/29,乙二醇,华东地区,福建,,,5400,50,0.93%,元/吨,,MEG_Domestic,3
2026/04/28,乙二醇,华东地区,福建,,,5350,150,2.88%,元/吨,,MEG_Domestic,3
2026/04/27,乙二醇,华东地区,福建,,,5200,0,0%,元/吨,,MEG_Domestic,3
2026/04/24,乙二醇,华东地区,福建,,,5200,0,0%,元/吨,,MEG_Domestic,3
2026/04/23,乙二醇,华东地区,福建,,,5200,50,0.97%,元/吨,,MEG_Domestic,3
2026/04/22,乙二醇,华东地区,福建,,,5150,0,0%,元/吨,,MEG_Domestic,3
2026/04/21,乙二醇,华东地区,福建,,,5150,-100,-1.9%,元/吨,,MEG_Domestic,3
2026/04/20,乙二醇,华东地区,福建,,,5250,-50,-0.94%,元/吨,,MEG_Domestic,3
2026/04/17,乙二醇,华东地区,福建,,,5300,150,2.91%,元/吨,,MEG_Domestic,3
2026/04/16,乙二醇,华东地区,福建,,,5150,0,0%,元/吨,,MEG_Domestic,3
2026/04/15,乙二醇,华东地区,福建,,,5150,-50,-0.96%,元/吨,,MEG_Domestic,3
2026/04/14,乙二醇,华东地区,福建,,,5200,-150,-2.8%,元/吨,,MEG_Domestic,3
2026/04/13,乙二醇,华东地区,福建,,,5350,50,0.94%,元/吨,,MEG_Domestic,3
2026/04/10,乙二醇,华东地区,福建,,,5300,-200,-3.64%,元/吨,,MEG_Domestic,3
2026/04/09,乙二醇,华东地区,福建,,,5500,-50,-0.9%,元/吨,,MEG_Domestic,3
2026/04/08,乙二醇,华东地区,福建,,,5550,-250,-4.31%,元/吨,,MEG_Domestic,3
2026/04/07,乙二醇,华东地区,福建,,,5800,450,8.41%,元/吨,,MEG_Domestic,3
2026/04/03,乙二醇,华东地区,福建,,,5350,0,0%,元/吨,,MEG_Domestic,3
2026/04/02,乙二醇,华东地区,福建,,,5350,-100,-1.83%,元/吨,,MEG_Domestic,3
2026/04/01,乙二醇,华东地区,福建,,,5450,-150,-2.68%,元/吨,,MEG_Domestic,3
2026/03/31,乙二醇,华东地区,福建,,,5600,-80,-1.41%,元/吨,,MEG_Domestic,3
2026/03/30,乙二醇,华东地区,福建,,,5680,180,3.27%,元/吨,,MEG_Domestic,3
2026/03/27,乙二醇,华东地区,福建,,,5500,250,4.76%,元/吨,,MEG_Domestic,3
