数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/24,丁酮,华东地区,宁波,8100,8200,8150,0,0%,元/吨,,MEK_Domestic,3
2026/07/23,丁酮,华东地区,宁波,8100,8200,8150,300,3.82%,元/吨,,MEK_Domestic,3
2026/07/22,丁酮,华东地区,宁波,7800,7900,7850,0,0%,元/吨,,MEK_Domestic,3
2026/07/21,丁酮,华东地区,宁波,7800,7900,7850,25,0.32%,元/吨,,MEK_Domestic,3
2026/07/20,丁酮,华东地区,宁波,7800,7850,7825,175,2.29%,元/吨,,MEK_Domestic,3
2026/07/17,丁酮,华东地区,宁波,7600,7700,7650,0,0%,元/吨,,MEK_Domestic,3
2026/07/16,丁酮,华东地区,宁波,7600,7700,7650,50,0.66%,元/吨,,MEK_Domestic,3
2026/07/15,丁酮,华东地区,宁波,7500,7700,7600,325,4.47%,元/吨,,MEK_Domestic,3
2026/07/14,丁酮,华东地区,宁波,7250,7300,7275,275,3.93%,元/吨,,MEK_Domestic,3
2026/07/13,丁酮,华东地区,宁波,7000,7000,7000,100,1.45%,元/吨,,MEK_Domestic,3
2026/07/10,丁酮,华东地区,宁波,6900,6900,6900,0,0%,元/吨,,MEK_Domestic,3
2026/07/09,丁酮,华东地区,宁波,6900,6900,6900,300,4.55%,元/吨,,MEK_Domestic,3
2026/07/08,丁酮,华东地区,宁波,6600,6600,6600,25,0.38%,元/吨,,MEK_Domestic,3
2026/07/07,丁酮,华东地区,宁波,6550,6600,6575,-25,-0.38%,元/吨,,MEK_Domestic,3
2026/07/06,丁酮,华东地区,宁波,6550,6650,6600,-50,-0.75%,元/吨,,MEK_Domestic,3
2026/07/03,丁酮,华东地区,宁波,6600,6700,6650,0,0%,元/吨,,MEK_Domestic,3
2026/07/02,丁酮,华东地区,宁波,6600,6700,6650,-25,-0.37%,元/吨,,MEK_Domestic,3
2026/07/01,丁酮,华东地区,宁波,6650,6700,6675,-25,-0.37%,元/吨,,MEK_Domestic,3
2026/06/30,丁酮,华东地区,宁波,6650,6750,6700,-50,-0.74%,元/吨,,MEK_Domestic,3
2026/06/29,丁酮,华东地区,宁波,6700,6800,6750,50,0.75%,元/吨,,MEK_Domestic,3
2026/06/26,丁酮,华东地区,宁波,6600,6800,6700,75,1.13%,元/吨,,MEK_Domestic,3
2026/06/25,丁酮,华东地区,宁波,6600,6650,6625,-100,-1.49%,元/吨,,MEK_Domestic,3
2026/06/24,丁酮,华东地区,宁波,6700,6750,6725,-125,-1.82%,元/吨,,MEK_Domestic,3
2026/06/23,丁酮,华东地区,宁波,6800,6900,6850,-75,-1.08%,元/吨,,MEK_Domestic,3
