数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,MMA,华东地区,华东,10300,10450,10375,175,1.72%,元/吨,,MMA_Domestic,3
2026/07/22,MMA,华东地区,华东,10150,10250,10200,0,0%,元/吨,,MMA_Domestic,3
2026/07/21,MMA,华东地区,华东,10150,10250,10200,0,0%,元/吨,,MMA_Domestic,3
2026/07/20,MMA,华东地区,华东,10150,10250,10200,-125,-1.21%,元/吨,,MMA_Domestic,3
2026/07/17,MMA,华东地区,华东,10300,10350,10325,0,0%,元/吨,,MMA_Domestic,3
2026/07/16,MMA,华东地区,华东,10300,10350,10325,0,0%,元/吨,,MMA_Domestic,3
2026/07/15,MMA,华东地区,华东,10300,10350,10325,75,0.73%,元/吨,,MMA_Domestic,3
2026/07/14,MMA,华东地区,华东,10200,10300,10250,150,1.49%,元/吨,,MMA_Domestic,3
2026/07/13,MMA,华东地区,华东,10000,10200,10100,0,0%,元/吨,,MMA_Domestic,3
2026/07/10,MMA,华东地区,华东,10000,10200,10100,75,0.75%,元/吨,,MMA_Domestic,3
2026/07/09,MMA,华东地区,华东,9950,10100,10025,125,1.26%,元/吨,,MMA_Domestic,3
2026/07/08,MMA,华东地区,华东,9800,10000,9900,50,0.51%,元/吨,,MMA_Domestic,3
2026/07/07,MMA,华东地区,华东,9800,9900,9850,0,0%,元/吨,,MMA_Domestic,3
2026/07/06,MMA,华东地区,华东,9800,9900,9850,-350,-3.43%,元/吨,,MMA_Domestic,3
2026/07/03,MMA,华东地区,华东,10100,10300,10200,-300,-2.86%,元/吨,,MMA_Domestic,3
2026/07/02,MMA,华东地区,华东,10400,10600,10500,-350,-3.23%,元/吨,,MMA_Domestic,3
2026/07/01,MMA,华东地区,华东,10800,10900,10850,-200,-1.81%,元/吨,,MMA_Domestic,3
2026/06/30,MMA,华东地区,华东,11000,11100,11050,-50,-0.45%,元/吨,,MMA_Domestic,3
2026/06/29,MMA,华东地区,华东,11000,11200,11100,-600,-5.13%,元/吨,,MMA_Domestic,3
2026/06/26,MMA,华东地区,华东,11600,11800,11700,-350,-2.9%,元/吨,,MMA_Domestic,3
2026/06/25,MMA,华东地区,华东,12000,12100,12050,-200,-1.63%,元/吨,,MMA_Domestic,3
2026/06/24,MMA,华东地区,华东,12200,12300,12250,-100,-0.81%,元/吨,,MMA_Domestic,3
2026/06/23,MMA,华东地区,华东,12300,12400,12350,-25,-0.2%,元/吨,,MMA_Domestic,3
2026/06/22,MMA,华东地区,华东,12350,12400,12375,0,0%,元/吨,,MMA_Domestic,3
2026/06/18,MMA,华东地区,华东,12350,12400,12375,25,0.2%,元/吨,,MMA_Domestic,3
2026/06/17,MMA,华东地区,华东,12300,12400,12350,0,0%,元/吨,,MMA_Domestic,3
2026/06/16,MMA,华东地区,华东,12300,12400,12350,0,0%,元/吨,,MMA_Domestic,3
2026/06/15,MMA,华东地区,华东,12300,12400,12350,0,0%,元/吨,,MMA_Domestic,3
2026/06/12,MMA,华东地区,华东,12300,12400,12350,0,0%,元/吨,,MMA_Domestic,3
