数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,MMA,华南地区,华南,10400,10700,10550,0,0%,元/吨,,MMA_Domestic,3
2026/07/10,MMA,华南地区,华南,10400,10700,10550,0,0%,元/吨,,MMA_Domestic,3
2026/07/09,MMA,华南地区,华南,10400,10700,10550,0,0%,元/吨,,MMA_Domestic,3
2026/07/08,MMA,华南地区,华南,10400,10700,10550,0,0%,元/吨,,MMA_Domestic,3
2026/07/07,MMA,华南地区,华南,10400,10700,10550,-100,-0.94%,元/吨,,MMA_Domestic,3
2026/07/06,MMA,华南地区,华南,10500,10800,10650,-400,-3.62%,元/吨,,MMA_Domestic,3
2026/07/03,MMA,华南地区,华南,10900,11200,11050,-250,-2.21%,元/吨,,MMA_Domestic,3
2026/07/02,MMA,华南地区,华南,11100,11500,11300,-200,-1.74%,元/吨,,MMA_Domestic,3
2026/07/01,MMA,华南地区,华南,11300,11700,11500,-250,-2.13%,元/吨,,MMA_Domestic,3
2026/06/30,MMA,华南地区,华南,11500,12000,11750,-50,-0.42%,元/吨,,MMA_Domestic,3
2026/06/29,MMA,华南地区,华南,11600,12000,11800,-700,-5.6%,元/吨,,MMA_Domestic,3
2026/06/26,MMA,华南地区,华南,12400,12600,12500,-150,-1.19%,元/吨,,MMA_Domestic,3
2026/06/25,MMA,华南地区,华南,12500,12800,12650,-100,-0.78%,元/吨,,MMA_Domestic,3
2026/06/24,MMA,华南地区,华南,12600,12900,12750,-100,-0.78%,元/吨,,MMA_Domestic,3
2026/06/23,MMA,华南地区,华南,12700,13000,12850,0,0%,元/吨,,MMA_Domestic,3
2026/06/22,MMA,华南地区,华南,12700,13000,12850,-100,-0.77%,元/吨,,MMA_Domestic,3
2026/06/18,MMA,华南地区,华南,12800,13100,12950,0,0%,元/吨,,MMA_Domestic,3
2026/06/17,MMA,华南地区,华南,12800,13100,12950,0,0%,元/吨,,MMA_Domestic,3
2026/06/16,MMA,华南地区,华南,12800,13100,12950,0,0%,元/吨,,MMA_Domestic,3
