数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,顺酐,西北地区,西北,7900,8300,8100,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/16,顺酐,西北地区,西北,7900,8300,8100,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/15,顺酐,西北地区,西北,7900,8300,8100,100,1.25%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/14,顺酐,西北地区,西北,7900,8100,8000,300,3.9%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/13,顺酐,西北地区,西北,7600,7800,7700,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/10,顺酐,西北地区,西北,7600,7800,7700,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/09,顺酐,西北地区,西北,7600,7800,7700,300,4.05%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/08,顺酐,西北地区,西北,7300,7500,7400,50,0.68%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/07,顺酐,西北地区,西北,7200,7500,7350,250,3.52%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/06,顺酐,西北地区,西北,7000,7200,7100,100,1.43%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/03,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/02,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/07/01,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/30,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/29,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/26,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/25,顺酐,西北地区,西北,6900,7100,7000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/24,顺酐,西北地区,西北,6900,7100,7000,-350,-4.76%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/23,顺酐,西北地区,西北,7300,7400,7350,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/22,顺酐,西北地区,西北,7300,7400,7350,-350,-4.55%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/18,顺酐,西北地区,西北,7500,7900,7700,-350,-4.35%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/17,顺酐,西北地区,西北,7900,8200,8050,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/16,顺酐,西北地区,西北,7900,8200,8050,-50,-0.62%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/15,顺酐,西北地区,西北,8000,8200,8100,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/12,顺酐,西北地区,西北,8000,8200,8100,100,1.25%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/11,顺酐,西北地区,西北,7900,8100,8000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/10,顺酐,西北地区,西北,7900,8100,8000,50,0.63%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/09,顺酐,西北地区,西北,7800,8100,7950,50,0.63%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/08,顺酐,西北地区,西北,7700,8100,7900,50,0.64%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/05,顺酐,西北地区,西北,7700,8000,7850,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/04,顺酐,西北地区,西北,7700,8000,7850,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/03,顺酐,西北地区,西北,7700,8000,7850,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/02,顺酐,西北地区,西北,7700,8000,7850,150,1.95%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/06/01,顺酐,西北地区,西北,7600,7800,7700,150,1.99%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/05/29,顺酐,西北地区,西北,7300,7800,7550,-200,-2.58%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/05/28,顺酐,西北地区,西北,7600,7900,7750,-100,-1.27%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/05/27,顺酐,西北地区,西北,7700,8000,7850,-150,-1.88%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
2026/05/26,顺酐,西北地区,西北,7900,8100,8000,0,0%,元/吨,送到现汇,Maleic_Anhydride_Domestic,3
