数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/12,顺酐,山东省,鲁东,7300,7300,7300,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/11,顺酐,山东省,鲁东,7300,7300,7300,150,2.1%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/10,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/09,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/08,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/05,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/04,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/03,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/02,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/06/01,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/05/29,顺酐,山东省,鲁东,7150,7150,7150,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/05/28,顺酐,山东省,鲁东,7150,7150,7150,-400,-5.3%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/05/27,顺酐,山东省,鲁东,7550,7550,7550,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/05/26,顺酐,山东省,鲁东,7550,7550,7550,0,0%,元/吨,厂提现汇,Maleic_Anhydride_Domestic,3
2026/05/25,顺酐,山东省,鲁东,7550,7550,7550,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/22,顺酐,山东省,鲁东,7550,7550,7550,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/21,顺酐,山东省,鲁东,7550,7550,7550,250,3.42%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/20,顺酐,山东省,鲁东,7300,7300,7300,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/19,顺酐,山东省,鲁东,7300,7300,7300,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/18,顺酐,山东省,鲁东,7300,7300,7300,50,0.69%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/15,顺酐,山东省,鲁东,7250,7250,7250,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/14,顺酐,山东省,鲁东,7250,7250,7250,200,2.84%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/13,顺酐,山东省,鲁东,7050,7050,7050,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/12,顺酐,山东省,鲁东,7050,7050,7050,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/11,顺酐,山东省,鲁东,7050,7050,7050,-50,-0.7%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/09,顺酐,山东省,鲁东,7000,7200,7100,-50,-0.7%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/08,顺酐,山东省,鲁东,7100,7200,7150,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/07,顺酐,山东省,鲁东,7100,7200,7150,-75,-1.04%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/05/06,顺酐,山东省,鲁东,7200,7250,7225,125,1.76%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/30,顺酐,山东省,鲁东,7100,7100,7100,400,5.97%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/29,顺酐,山东省,鲁东,6700,6700,6700,175,2.68%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/28,顺酐,山东省,鲁东,6500,6550,6525,50,0.77%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/27,顺酐,山东省,鲁东,6400,6550,6475,-25,-0.38%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/24,顺酐,山东省,鲁东,6450,6550,6500,-25,-0.38%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/23,顺酐,山东省,鲁东,6500,6550,6525,-200,-2.97%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/22,顺酐,山东省,鲁东,6700,6750,6725,-175,-2.54%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/21,顺酐,山东省,鲁东,6800,7000,6900,-75,-1.08%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/20,顺酐,山东省,鲁东,6950,7000,6975,-25,-0.36%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/17,顺酐,山东省,鲁东,7000,7000,7000,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/16,顺酐,山东省,鲁东,7000,7000,7000,-100,-1.41%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/15,顺酐,山东省,鲁东,7000,7200,7100,-225,-3.07%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/14,顺酐,山东省,鲁东,7300,7350,7325,-50,-0.68%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/13,顺酐,山东省,鲁东,7350,7400,7375,-425,-5.45%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/10,顺酐,山东省,鲁东,7700,7900,7800,-150,-1.89%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/09,顺酐,山东省,鲁东,7900,8000,7950,-100,-1.24%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/08,顺酐,山东省,鲁东,8000,8100,8050,-50,-0.62%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/07,顺酐,山东省,鲁东,8100,8100,8100,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/03,顺酐,山东省,鲁东,8100,8100,8100,200,2.53%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/02,顺酐,山东省,鲁东,7900,7900,7900,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/04/01,顺酐,山东省,鲁东,7900,7900,7900,300,3.95%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
2026/03/31,顺酐,山东省,鲁东,7550,7650,7600,0,0%,元/吨,现汇出库,Maleic_Anhydride_Domestic,3
