数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,甲醇,山东省,临沂,2600,2610,2605,-35,-1.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/20,甲醇,山东省,临沂,2630,2640,2640,110,4.35%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/17,甲醇,山东省,临沂,2525,2535,2530,-15,-0.59%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/16,甲醇,山东省,临沂,2535,2555,2545,10,0.39%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/15,甲醇,山东省,临沂,2520,2550,2535,20,0.8%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/14,甲醇,山东省,临沂,2500,2530,2515,60,2.44%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/13,甲醇,山东省,临沂,2450,2460,2455,45,1.87%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/10,甲醇,山东省,临沂,2410,2410,2410,-49,-1.99%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/09,甲醇,山东省,临沂,2450,2468,2459,29,1.19%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/08,甲醇,山东省,临沂,2430,2430,2430,37.5,1.57%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/07,甲醇,山东省,临沂,2390,2395,2392.5,7.5,0.31%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/06,甲醇,山东省,临沂,2380,2390,2385,-20,-0.83%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/03,甲醇,山东省,临沂,2400,2410,2405,35,1.48%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/02,甲醇,山东省,临沂,2360,2385,2370,-105,-4.24%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/01,甲醇,山东省,临沂,2460,2490,2475,-17.5,-0.7%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/30,甲醇,山东省,临沂,2490,2495,2492.5,-37.5,-1.48%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/29,甲醇,山东省,临沂,2530,2530,2530,5,0.2%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/26,甲醇,山东省,临沂,2520,2550,2525,2.5,0.1%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/25,甲醇,山东省,临沂,2510,2535,2522.5,-77.5,-2.98%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/24,甲醇,山东省,临沂,2600,2600,2600,-100,-3.7%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/23,甲醇,山东省,临沂,2690,2720,2700,-75,-2.7%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/22,甲醇,山东省,临沂,2770,2780,2775,-25,-0.89%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/18,甲醇,山东省,临沂,2800,2800,2800,-20,-0.71%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/17,甲醇,山东省,临沂,2820,2820,2820,-70,-2.42%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/16,甲醇,山东省,临沂,2880,2900,2890,-90,-3.02%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/15,甲醇,山东省,临沂,2970,2990,2980,-60,-1.97%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/12,甲醇,山东省,临沂,3040,3040,3040,-45,-1.46%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/11,甲醇,山东省,临沂,3085,3085,3085,15,0.49%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/10,甲醇,山东省,临沂,3070,3070,3070,-15,-0.49%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/09,甲醇,山东省,临沂,3080,3090,3085,-15,-0.48%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/08,甲醇,山东省,临沂,3095,3105,3100,35,1.14%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/05,甲醇,山东省,临沂,3060,3070,3065,-10,-0.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/04,甲醇,山东省,临沂,3070,3080,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/03,甲醇,山东省,临沂,3070,3080,3075,12.5,0.41%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/02,甲醇,山东省,临沂,3055,3070,3062.5,17.5,0.57%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/01,甲醇,山东省,临沂,3040,3050,3045,22.5,0.74%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/29,甲醇,山东省,临沂,3015,3030,3022.5,2.5,0.08%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/28,甲醇,山东省,临沂,3010,3030,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/27,甲醇,山东省,临沂,3010,3030,3020,17.5,0.58%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/26,甲醇,山东省,临沂,2995,3040,3002.5,-32.5,-1.07%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/25,甲醇,山东省,临沂,3020,3050,3035,-2.5,-0.08%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/22,甲醇,山东省,临沂,3035,3040,3037.5,-5,-0.16%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/21,甲醇,山东省,临沂,3015,3070,3042.5,-7.5,-0.25%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/20,甲醇,山东省,临沂,3040,3060,3050,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/19,甲醇,山东省,临沂,3025,3060,3050,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/18,甲醇,山东省,临沂,3040,3055,3050,65,2.18%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/15,甲醇,山东省,临沂,2970,3000,2985,20,0.67%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/14,甲醇,山东省,临沂,2960,2970,2965,-5,-0.17%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/13,甲醇,山东省,临沂,2970,2970,2970,-25,-0.83%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/12,甲醇,山东省,临沂,2980,3010,2995,2.5,0.08%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/11,甲醇,山东省,临沂,2990,2995,2992.5,-37.5,-1.24%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/09,甲醇,山东省,临沂,3030,3030,3030,7.5,0.25%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/08,甲醇,山东省,临沂,3010,3035,3022.5,-25,-0.82%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/07,甲醇,山东省,临沂,3040,3055,3047.5,-45,-1.46%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/06,甲醇,山东省,临沂,3080,3105,3092.5,22.5,0.73%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/30,甲醇,山东省,临沂,3060,3080,3070,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/29,甲醇,山东省,临沂,3060,3090,3070,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/28,甲醇,山东省,临沂,3070,3070,3070,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/27,甲醇,山东省,临沂,3060,3080,3070,25,0.82%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/24,甲醇,山东省,临沂,3040,3050,3045,-5,-0.16%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/23,甲醇,山东省,临沂,3040,3060,3050,10,0.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/22,甲醇,山东省,临沂,3030,3050,3040,-10,-0.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/21,甲醇,山东省,临沂,3030,3070,3050,-25,-0.81%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/20,甲醇,山东省,临沂,3060,3090,3075,-12.5,-0.4%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/17,甲醇,山东省,临沂,3075,3100,3087.5,-10,-0.32%,元/吨,送到现汇，高端含部分送到承兑,Methanol_Domestic,3
2026/04/16,甲醇,山东省,临沂,3085,3110,3097.5,20,0.65%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/15,甲醇,山东省,临沂,3065,3090,3077.5,2.5,0.08%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/14,甲醇,山东省,临沂,3060,3090,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/13,甲醇,山东省,临沂,3060,3090,3075,20,0.65%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/10,甲醇,山东省,临沂,3040,3070,3055,-10,-0.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/09,甲醇,山东省,临沂,3050,3080,3065,30,0.99%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/08,甲醇,山东省,临沂,3020,3050,3035,-125,-3.96%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/07,甲醇,山东省,临沂,3160,3160,3160,50,1.61%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/03,甲醇,山东省,临沂,3090,3130,3110,25,0.81%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/02,甲醇,山东省,临沂,3060,3110,3085,55,1.82%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/01,甲醇,山东省,临沂,3020,3040,3030,-45,-1.46%,元/吨,送到现汇,Methanol_Domestic,3
