数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/09/23,甲醇,西北地区,乌海,3270,3310,3290,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/22,甲醇,西北地区,乌海,3270,3310,3290,60,1.86%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/21,甲醇,西北地区,乌海,3220,3240,3230,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/20,甲醇,西北地区,乌海,3220,3240,3230,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/18,甲醇,西北地区,乌海,3220,3240,3230,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/17,甲醇,西北地区,乌海,3220,3240,3230,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/16,甲醇,西北地区,乌海,3220,3240,3230,-190,-5.56%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/15,甲醇,西北地区,乌海,3410,3430,3420,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/14,甲醇,西北地区,乌海,3410,3430,3420,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/11,甲醇,西北地区,乌海,3410,3430,3420,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/10,甲醇,西北地区,乌海,3410,3430,3420,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/09/09,甲醇,西北地区,乌海,3410,3430,3420,,,元/吨,厂提现汇,Methanol_Domestic,3
