数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,甲醇,西南地区,云南中东部地区,2400,2600,2500,35,1.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/20,甲醇,西南地区,云南中东部地区,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/17,甲醇,西南地区,云南中东部地区,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/16,甲醇,西南地区,云南中东部地区,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/15,甲醇,西南地区,云南中东部地区,2400,2530,2465,205,9.07%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/14,甲醇,西南地区,云南中东部地区,2150,2370,2260,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/13,甲醇,西南地区,云南中东部地区,2150,2370,2260,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/10,甲醇,西南地区,云南中东部地区,2150,2370,2260,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/09,甲醇,西南地区,云南中东部地区,2150,2370,2260,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/08,甲醇,西南地区,云南中东部地区,2150,2370,2260,-345,-13.24%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,西南地区,云南中东部地区,2500,2710,2605,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,西南地区,云南中东部地区,2500,2710,2605,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,西南地区,云南中东部地区,2500,2710,2605,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,西南地区,云南中东部地区,2500,2710,2605,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,西南地区,云南中东部地区,2500,2710,2605,-115,-4.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,西南地区,云南中东部地区,2630,2810,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,西南地区,云南中东部地区,2630,2810,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,西南地区,云南中东部地区,2630,2810,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,西南地区,云南中东部地区,2630,2810,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,西南地区,云南中东部地区,2630,2810,2720,-210,-7.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,西南地区,云南中东部地区,2850,3010,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,西南地区,云南中东部地区,2850,3010,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,西南地区,云南中东部地区,2850,3010,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,西南地区,云南中东部地区,2850,3010,2930,-200,-6.39%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,西南地区,云南中东部地区,3050,3210,3130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,西南地区,云南中东部地区,3050,3210,3130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,西南地区,云南中东部地区,3050,3210,3130,35,1.13%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,西南地区,云南中东部地区,3000,3190,3095,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,西南地区,云南中东部地区,3000,3190,3095,65,2.15%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,西南地区,云南中东部地区,2930,3130,3030,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,西南地区,云南中东部地区,2930,3130,3030,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西南地区,云南中东部地区,2930,3130,3030,20,0.66%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西南地区,云南中东部地区,2930,3090,3010,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西南地区,云南中东部地区,2930,3090,3010,30,1.01%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西南地区,云南中东部地区,2900,3060,2980,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西南地区,云南中东部地区,2900,3060,2980,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西南地区,云南中东部地区,2900,3060,2980,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西南地区,云南中东部地区,2900,3060,2980,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西南地区,云南中东部地区,2900,3060,2980,25,0.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西南地区,云南中东部地区,2880,3030,2955,25,0.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西南地区,云南中东部地区,2830,3030,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西南地区,云南中东部地区,2830,3030,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,西南地区,云南中东部地区,2830,3030,2930,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,西南地区,云南中东部地区,2830,3030,2930,30,1.03%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/19,甲醇,西南地区,云南中东部地区,2800,3000,2900,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/18,甲醇,西南地区,云南中东部地区,2800,3000,2900,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/15,甲醇,西南地区,云南中东部地区,2800,3000,2900,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/14,甲醇,西南地区,云南中东部地区,2800,3000,2900,-85,-2.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/13,甲醇,西南地区,云南中东部地区,2800,3170,2985,-40,-1.32%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/12,甲醇,西南地区,云南中东部地区,2880,3170,3025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/11,甲醇,西南地区,云南中东部地区,2880,3170,3025,-45,-1.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/09,甲醇,西南地区,云南中东部地区,2970,3170,3070,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,西南地区,云南中东部地区,2970,3170,3070,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,西南地区,云南中东部地区,2970,3170,3070,35,1.15%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,西南地区,云南中东部地区,2970,3100,3035,50,1.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/30,甲醇,西南地区,云南中东部地区,2870,3100,2985,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,西南地区,云南中东部地区,2870,3100,2985,110,3.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,西南地区,云南中东部地区,2750,3000,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/27,甲醇,西南地区,云南中东部地区,2750,3000,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/24,甲醇,西南地区,云南中东部地区,2750,3000,2875,-50,-1.71%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,西南地区,云南中东部地区,2750,3100,2925,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,西南地区,云南中东部地区,2750,3100,2925,-20,-0.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/21,甲醇,西南地区,云南中东部地区,2790,3100,2945,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/20,甲醇,西南地区,云南中东部地区,2790,3100,2945,-55,-1.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/17,甲醇,西南地区,云南中东部地区,2900,3100,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,西南地区,云南中东部地区,2900,3100,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,西南地区,云南中东部地区,2900,3100,3000,-115,-3.69%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/14,甲醇,西南地区,云南中东部地区,3030,3200,3115,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/13,甲醇,西南地区,云南中东部地区,3030,3200,3115,-100,-3.11%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/10,甲醇,西南地区,云南中东部地区,3130,3300,3215,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/09,甲醇,西南地区,云南中东部地区,3130,3300,3215,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/08,甲醇,西南地区,云南中东部地区,3130,3300,3215,-25,-0.77%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/07,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/03,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/02,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/01,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/31,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/30,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/27,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/26,甲醇,西南地区,云南中东部地区,3180,3300,3240,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/25,甲醇,西南地区,云南中东部地区,3180,3300,3240,90,2.86%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/24,甲醇,西南地区,云南中东部地区,3000,3300,3150,260,9%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/23,甲醇,西南地区,云南中东部地区,2780,3000,2890,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/20,甲醇,西南地区,云南中东部地区,2780,3000,2890,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/19,甲醇,西南地区,云南中东部地区,2780,3000,2890,140,5.09%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/18,甲醇,西南地区,云南中东部地区,2700,2800,2750,50,1.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/17,甲醇,西南地区,云南中东部地区,2600,2800,2700,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/16,甲醇,西南地区,云南中东部地区,2600,2800,2700,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/13,甲醇,西南地区,云南中东部地区,2600,2800,2700,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/12,甲醇,西南地区,云南中东部地区,2600,2800,2700,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/11,甲醇,西南地区,云南中东部地区,2600,2800,2700,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/10,甲醇,西南地区,云南中东部地区,2600,2800,2700,110,4.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/09,甲醇,西南地区,云南中东部地区,2380,2800,2590,150,6.15%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/06,甲醇,西南地区,云南中东部地区,2380,2500,2440,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/05,甲醇,西南地区,云南中东部地区,2380,2500,2440,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/04,甲醇,西南地区,云南中东部地区,2380,2500,2440,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/03,甲醇,西南地区,云南中东部地区,2380,2500,2440,315,14.82%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/02,甲醇,西南地区,云南中东部地区,2050,2200,2125,60,2.91%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/28,甲醇,西南地区,云南中东部地区,2000,2130,2065,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/27,甲醇,西南地区,云南中东部地区,2000,2130,2065,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/26,甲醇,西南地区,云南中东部地区,2000,2130,2065,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/25,甲醇,西南地区,云南中东部地区,2000,2130,2065,-15,-0.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/24,甲醇,西南地区,云南中东部地区,2030,2130,2080,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/14,甲醇,西南地区,云南中东部地区,2030,2130,2080,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/13,甲醇,西南地区,云南中东部地区,2030,2130,2080,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/12,甲醇,西南地区,云南中东部地区,2030,2130,2080,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/11,甲醇,西南地区,云南中东部地区,2030,2130,2080,10,0.48%,元/吨,厂提现汇,Methanol_Domestic,3
