数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/02,甲醇,西北地区,内蒙古,2680,2780,2730,5,0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西北地区,内蒙古,2665,2785,2725,50,1.87%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西北地区,内蒙古,2650,2700,2675,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西北地区,内蒙古,2650,2700,2675,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西北地区,内蒙古,2650,2700,2675,-5,-0.19%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西北地区,内蒙古,2650,2710,2680,-15,-0.56%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西北地区,内蒙古,2670,2720,2695,-17.5,-0.65%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西北地区,内蒙古,2680,2745,2712.5,-7.5,-0.28%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/21,甲醇,西北地区,内蒙古,2695,2745,2720,5,0.18%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/20,甲醇,西北地区,内蒙古,2685,2745,2715,25,0.93%,元/吨,出厂价,Methanol_Domestic,3
2026/05/19,甲醇,西北地区,内蒙古,2660,2720,2690,2.5,0.09%,元/吨,出厂价,Methanol_Domestic,3
2026/05/18,甲醇,西北地区,内蒙古,2660,2715,2687.5,25,0.94%,元/吨,出厂价,Methanol_Domestic,3
2026/05/15,甲醇,西北地区,内蒙古,2645,2680,2662.5,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/05/14,甲醇,西北地区,内蒙古,2645,2680,2662.5,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/05/13,甲醇,西北地区,内蒙古,2645,2680,2662.5,-5,-0.19%,元/吨,出厂价,Methanol_Domestic,3
