数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/09,甲醇,华北地区,唐山,2955,2955,2955,30,1.03%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/08,甲醇,华北地区,唐山,2925,2925,2925,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/05,甲醇,华北地区,唐山,2925,2925,2925,5,0.17%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/04,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/03,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/02,甲醇,华北地区,唐山,2920,2920,2920,10,0.34%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/01,甲醇,华北地区,唐山,2910,2910,2910,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/29,甲醇,华北地区,唐山,2910,2910,2910,5,0.17%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/28,甲醇,华北地区,唐山,2905,2905,2905,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/27,甲醇,华北地区,唐山,2905,2905,2905,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/26,甲醇,华北地区,唐山,2905,2905,2905,-10,-0.34%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/25,甲醇,华北地区,唐山,2915,2915,2915,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/22,甲醇,华北地区,唐山,2915,2915,2915,15,0.52%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/21,甲醇,华北地区,唐山,2900,2900,2900,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/20,甲醇,华北地区,唐山,2900,2900,2900,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/19,甲醇,华北地区,唐山,2900,2900,2900,-30,-1.02%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/18,甲醇,华北地区,唐山,2930,2930,2930,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/15,甲醇,华北地区,唐山,2930,2930,2930,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/14,甲醇,华北地区,唐山,2930,2930,2930,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/13,甲醇,华北地区,唐山,2930,2930,2930,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/12,甲醇,华北地区,唐山,2930,2930,2930,-20,-0.68%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/11,甲醇,华北地区,唐山,2950,2950,2950,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/09,甲醇,华北地区,唐山,2950,2950,2950,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/08,甲醇,华北地区,唐山,2950,2950,2950,30,1.03%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/07,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/06,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/30,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/29,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/28,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/27,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/24,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/23,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/22,甲醇,华北地区,唐山,2920,2920,2920,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/21,甲醇,华北地区,唐山,2920,2920,2920,10,0.34%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/20,甲醇,华北地区,唐山,2910,2910,2910,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/17,甲醇,华北地区,唐山,2910,2910,2910,50,1.75%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/16,甲醇,华北地区,唐山,2860,2860,2860,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/15,甲醇,华北地区,唐山,2860,2860,2860,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/14,甲醇,华北地区,唐山,2860,2860,2860,-20,-0.69%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/13,甲醇,华北地区,唐山,2880,2880,2880,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/10,甲醇,华北地区,唐山,2880,2880,2880,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/09,甲醇,华北地区,唐山,,,,,,元/吨,暂无新价,Methanol_Domestic,3
2026/04/08,甲醇,华北地区,唐山,,,,,,元/吨,暂无新价,Methanol_Domestic,3
2026/04/07,甲醇,华北地区,唐山,,,,,,元/吨,暂无新价,Methanol_Domestic,3
2026/04/03,甲醇,华北地区,唐山,2880,2880,2880,-70,-2.37%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/02,甲醇,华北地区,唐山,2950,2950,2950,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/04/01,甲醇,华北地区,唐山,2950,2950,2950,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/31,甲醇,华北地区,唐山,2950,2950,2950,125,4.42%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/30,甲醇,华北地区,唐山,2800,2850,2825,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/27,甲醇,华北地区,唐山,2800,2850,2825,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/26,甲醇,华北地区,唐山,2800,2850,2825,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/25,甲醇,华北地区,唐山,2800,2850,2825,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/24,甲醇,华北地区,唐山,2800,2850,2825,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/23,甲醇,华北地区,唐山,2800,2850,2825,125,4.63%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/20,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/19,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/18,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/17,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/16,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/13,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/12,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/11,甲醇,华北地区,唐山,2700,2700,2700,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/10,甲醇,华北地区,唐山,2700,2700,2700,330,13.92%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/09,甲醇,华北地区,唐山,2370,2370,2370,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/06,甲醇,华北地区,唐山,2370,2370,2370,105,4.64%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/05,甲醇,华北地区,唐山,2250,2280,2265,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/04,甲醇,华北地区,唐山,2250,2280,2265,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/03,甲醇,华北地区,唐山,2250,2280,2265,105,4.86%,元/吨,出厂现汇,Methanol_Domestic,3
2026/03/02,甲醇,华北地区,唐山,2160,2160,2160,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/28,甲醇,华北地区,唐山,2160,2160,2160,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/27,甲醇,华北地区,唐山,2160,2160,2160,-45,-2.04%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/26,甲醇,华北地区,唐山,2205,2205,2205,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/25,甲醇,华北地区,唐山,2205,2205,2205,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/24,甲醇,华北地区,唐山,2205,2205,2205,40,1.85%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/14,甲醇,华北地区,唐山,2165,2165,2165,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/13,甲醇,华北地区,唐山,2165,2165,2165,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/12,甲醇,华北地区,唐山,2165,2165,2165,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/11,甲醇,华北地区,唐山,2165,2165,2165,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/10,甲醇,华北地区,唐山,2165,2165,2165,75,3.59%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/09,甲醇,华北地区,唐山,2090,2090,2090,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/06,甲醇,华北地区,唐山,2090,2090,2090,5,0.24%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/05,甲醇,华北地区,唐山,2085,2085,2085,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/04,甲醇,华北地区,唐山,2085,2085,2085,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/03,甲醇,华北地区,唐山,2085,2085,2085,-10,-0.48%,元/吨,出厂现汇,Methanol_Domestic,3
2026/02/02,甲醇,华北地区,唐山,2095,2095,2095,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
