数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/23,甲醇,华北地区,天津,2920,2970,2945,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/22,甲醇,华北地区,天津,2920,2970,2945,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/18,甲醇,华北地区,天津,2920,2970,2945,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/17,甲醇,华北地区,天津,2920,2970,2945,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/16,甲醇,华北地区,天津,2920,2970,2945,-130,-4.23%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/15,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/12,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/11,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/10,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/09,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/08,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/05,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/04,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/03,甲醇,华北地区,天津,3050,3100,3075,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/02,甲醇,华北地区,天津,3050,3100,3075,55,1.82%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/01,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/29,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/28,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/27,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/26,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/25,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/22,甲醇,华北地区,天津,2990,3050,3020,0,0%,元/吨,送到现汇,Methanol_Domestic,3
