数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/18,甲醇,山东省,山东中部,3030,3050,3040,-50,-1.62%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/17,甲醇,山东省,山东中部,3080,3100,3090,-50,-1.59%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/16,甲醇,山东省,山东中部,3130,3150,3140,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/15,甲醇,山东省,山东中部,3130,3150,3140,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/12,甲醇,山东省,山东中部,3130,3150,3140,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/11,甲醇,山东省,山东中部,3130,3150,3140,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/10,甲醇,山东省,山东中部,3130,3150,3140,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/09,甲醇,山东省,山东中部,3130,3150,3140,15,0.48%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/08,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/05,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/04,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/03,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/02,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/06/01,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/29,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/28,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/27,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/26,甲醇,山东省,山东中部,3100,3150,3125,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/25,甲醇,山东省,山东中部,3100,3150,3125,45,1.46%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/22,甲醇,山东省,山东中部,3060,3100,3080,0,0%,元/吨,出厂自提,Methanol_Domestic,3
2026/05/21,甲醇,山东省,山东中部,3060,3100,3080,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/20,甲醇,山东省,山东中部,3060,3100,3080,80,2.67%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/19,甲醇,山东省,山东中部,2990,3010,3000,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/18,甲醇,山东省,山东中部,2990,3010,3000,-30,-0.99%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/15,甲醇,山东省,山东中部,3020,3040,3030,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/14,甲醇,山东省,山东中部,3020,3040,3030,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/13,甲醇,山东省,山东中部,3020,3040,3030,-70,-2.26%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/12,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/11,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/09,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/08,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/07,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/05/06,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/30,甲醇,山东省,山东中部,3100,3100,3100,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/29,甲醇,山东省,山东中部,3100,3100,3100,40,1.31%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/28,甲醇,山东省,山东中部,3050,3070,3060,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/27,甲醇,山东省,山东中部,3050,3070,3060,10,0.33%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/24,甲醇,山东省,山东中部,3050,3050,3050,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/23,甲醇,山东省,山东中部,3050,3050,3050,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/22,甲醇,山东省,山东中部,3050,3050,3050,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/21,甲醇,山东省,山东中部,3050,3050,3050,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/20,甲醇,山东省,山东中部,3050,3050,3050,15,0.49%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/17,甲醇,山东省,山东中部,3020,3050,3035,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/16,甲醇,山东省,山东中部,3020,3050,3035,10,0.33%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/15,甲醇,山东省,山东中部,3000,3050,3025,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/14,甲醇,山东省,山东中部,3000,3050,3025,25,0.83%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/13,甲醇,山东省,山东中部,3000,3000,3000,-120,-3.85%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/10,甲醇,山东省,山东中部,3120,3120,3120,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/09,甲醇,山东省,山东中部,3120,3120,3120,-10,-0.32%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/08,甲醇,山东省,山东中部,3120,3140,3130,130,4.33%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/07,甲醇,山东省,山东中部,3000,3000,3000,-40,-1.32%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/03,甲醇,山东省,山东中部,3020,3060,3040,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/02,甲醇,山东省,山东中部,3020,3060,3040,0,0%,元/吨,自提出厂,Methanol_Domestic,3
2026/04/01,甲醇,山东省,山东中部,3020,3060,3040,-20,-0.65%,元/吨,自提出厂,Methanol_Domestic,3
2026/03/31,甲醇,山东省,山东中部,3060,3060,3060,160,5.52%,元/吨,自提出厂,Methanol_Domestic,3
2026/03/30,甲醇,山东省,山东中部,2900,2900,2900,50,1.75%,元/吨,自提出厂,Methanol_Domestic,3
