数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/08,甲醇,西南地区,川渝,2860,2890,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西南地区,川渝,2860,2890,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西南地区,川渝,2860,2890,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西南地区,川渝,2860,2890,2875,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西南地区,川渝,2860,2890,2875,5,0.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西南地区,川渝,2860,2880,2870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西南地区,川渝,2860,2880,2870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西南地区,川渝,2860,2880,2870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西南地区,川渝,2860,2880,2870,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西南地区,川渝,2860,2880,2870,50,1.77%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西南地区,川渝,2800,2840,2820,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西南地区,川渝,2800,2840,2820,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,西南地区,川渝,2800,2840,2820,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,西南地区,川渝,2800,2840,2820,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/19,甲醇,西南地区,川渝,2800,2840,2820,75,2.73%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/18,甲醇,西南地区,川渝,2730,2760,2745,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/15,甲醇,西南地区,川渝,2730,2760,2745,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/14,甲醇,西南地区,川渝,2730,2760,2745,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/13,甲醇,西南地区,川渝,2730,2760,2745,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/12,甲醇,西南地区,川渝,2730,2760,2745,-30,-1.08%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/11,甲醇,西南地区,川渝,2760,2790,2775,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/09,甲醇,西南地区,川渝,2760,2790,2775,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,西南地区,川渝,2760,2790,2775,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,西南地区,川渝,2760,2790,2775,55,2.02%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,西南地区,川渝,2700,2740,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/30,甲醇,西南地区,川渝,2700,2740,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,西南地区,川渝,2700,2740,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,西南地区,川渝,2700,2740,2720,-50,-1.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/27,甲醇,西南地区,川渝,2750,2790,2770,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/24,甲醇,西南地区,川渝,2750,2790,2770,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,西南地区,川渝,2750,2790,2770,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,西南地区,川渝,2750,2790,2770,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/21,甲醇,西南地区,川渝,2750,2790,2770,-145,-4.97%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/20,甲醇,西南地区,川渝,2900,2930,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/17,甲醇,西南地区,川渝,2900,2930,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,西南地区,川渝,2900,2930,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,西南地区,川渝,2900,2930,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/14,甲醇,西南地区,川渝,2900,2930,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/13,甲醇,西南地区,川渝,2900,2930,2915,-120,-3.95%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/10,甲醇,西南地区,川渝,3030,3040,3035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/09,甲醇,西南地区,川渝,3030,3040,3035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/08,甲醇,西南地区,川渝,3030,3040,3035,35,1.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/07,甲醇,西南地区,川渝,2980,3020,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/03,甲醇,西南地区,川渝,2980,3020,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/02,甲醇,西南地区,川渝,2980,3020,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/01,甲醇,西南地区,川渝,2980,3020,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/31,甲醇,西南地区,川渝,2980,3020,3000,115,3.99%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/30,甲醇,西南地区,川渝,2870,2900,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/27,甲醇,西南地区,川渝,2870,2900,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/26,甲醇,西南地区,川渝,2870,2900,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/25,甲醇,西南地区,川渝,2870,2900,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/24,甲醇,西南地区,川渝,2870,2900,2885,110,3.96%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/23,甲醇,西南地区,川渝,2750,2800,2775,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/20,甲醇,西南地区,川渝,2750,2800,2775,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/19,甲醇,西南地区,川渝,2750,2800,2775,215,8.4%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/18,甲醇,西南地区,川渝,2470,2650,2560,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/17,甲醇,西南地区,川渝,2470,2650,2560,-5,-0.19%,元/吨,厂提现汇,Methanol_Domestic,3
