数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,甲醇,华南地区,广东,2700,2740,2720,-65,-2.33%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/20,甲醇,华南地区,广东,2770,2800,2785,130,4.9%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/17,甲醇,华南地区,广东,2650,2660,2655,-25,-0.93%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/16,甲醇,华南地区,广东,2660,2700,2680,-35,-1.29%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/15,甲醇,华南地区,广东,2700,2730,2715,-35,-1.27%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/14,甲醇,华南地区,广东,2720,2780,2750,25,0.92%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/13,甲醇,华南地区,广东,2700,2750,2725,-70,-2.5%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/10,甲醇,华南地区,广东,2790,2800,2795,30,1.08%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/09,甲醇,华南地区,广东,2750,2780,2765,0,0%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/08,甲醇,华南地区,广东,2750,2780,2765,10,0.36%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/07,甲醇,华南地区,广东,2740,2770,2755,20,0.73%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/06,甲醇,华南地区,广东,2720,2750,2735,20,0.74%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/03,甲醇,华南地区,广东,2700,2730,2715,25,0.93%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/02,甲醇,华南地区,广东,2670,2710,2690,-25,-0.92%,元/吨,库提现汇,Methanol_Domestic,3
2026/07/01,甲醇,华南地区,广东,2700,2730,2715,-35,-1.27%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/30,甲醇,华南地区,广东,2730,2770,2750,-5,-0.18%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/29,甲醇,华南地区,广东,2730,2780,2755,10,0.36%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/26,甲醇,华南地区,广东,2720,2770,2745,10,0.37%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/25,甲醇,华南地区,广东,2720,2750,2735,-120,-4.2%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/24,甲醇,华南地区,广东,2800,2910,2855,-80,-2.73%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/23,甲醇,华南地区,广东,2900,2970,2935,-30,-1.01%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/22,甲醇,华南地区,广东,2940,2990,2965,-55,-1.82%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/18,甲醇,华南地区,广东,2980,3060,3020,-135,-4.28%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/17,甲醇,华南地区,广东,3120,3190,3155,-65,-2.02%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/16,甲醇,华南地区,广东,3200,3240,3220,-45,-1.38%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/15,甲醇,华南地区,广东,3230,3300,3265,-180,-5.22%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/12,甲醇,华南地区,广东,3420,3470,3445,-10,-0.29%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/11,甲醇,华南地区,广东,3420,3490,3455,80,2.37%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/10,甲醇,华南地区,广东,3350,3400,3375,40,1.2%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/09,甲醇,华南地区,广东,3320,3350,3335,-35,-1.04%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/08,甲醇,华南地区,广东,3320,3420,3370,65,1.97%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/05,甲醇,华南地区,广东,3290,3320,3305,5,0.15%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/04,甲醇,华南地区,广东,3280,3320,3300,-10,-0.3%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/03,甲醇,华南地区,广东,3290,3330,3310,25,0.76%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/02,甲醇,华南地区,广东,3270,3300,3285,55,1.7%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/01,甲醇,华南地区,广东,3200,3260,3230,45,1.41%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/29,甲醇,华南地区,广东,3170,3200,3185,-45,-1.39%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/28,甲醇,华南地区,广东,3220,3240,3230,5,0.16%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/27,甲醇,华南地区,广东,3200,3250,3225,-25,-0.77%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/26,甲醇,华南地区,广东,3240,3260,3250,-20,-0.61%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/25,甲醇,华南地区,广东,3220,3320,3270,-15,-0.46%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/22,甲醇,华南地区,广东,3250,3320,3285,-20,-0.61%,元/吨,库提现汇,Methanol_Domestic,3
