数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,甲醇,西南地区,广西,2730,2750,2740,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/22,甲醇,西南地区,广西,2730,2750,2740,60,2.24%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/21,甲醇,西南地区,广西,2670,2690,2680,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/20,甲醇,西南地区,广西,2670,2690,2680,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/17,甲醇,西南地区,广西,2670,2690,2680,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/16,甲醇,西南地区,广西,2670,2690,2680,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/15,甲醇,西南地区,广西,2670,2690,2680,260,10.74%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/14,甲醇,西南地区,广西,2410,2430,2420,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/13,甲醇,西南地区,广西,2410,2430,2420,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/10,甲醇,西南地区,广西,2410,2430,2420,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/09,甲醇,西南地区,广西,2410,2430,2420,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/08,甲醇,西南地区,广西,2410,2430,2420,-330,-12%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/07,甲醇,西南地区,广西,2740,2760,2750,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/06,甲醇,西南地区,广西,2740,2760,2750,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/03,甲醇,西南地区,广西,2740,2760,2750,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/02,甲醇,西南地区,广西,2740,2760,2750,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/07/01,甲醇,西南地区,广西,2740,2760,2750,-80,-2.83%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/30,甲醇,西南地区,广西,2820,2840,2830,-150,-5.03%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/29,甲醇,西南地区,广西,2970,2990,2980,0,0%,元/吨,送到现汇,Methanol_Domestic,3
