数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/05,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西北地区,新疆南疆,2670,2670,2670,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西北地区,新疆南疆,2670,2670,2670,50,1.91%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西北地区,新疆南疆,2620,2620,2620,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西北地区,新疆南疆,2620,2620,2620,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西北地区,新疆南疆,2620,2620,2620,350,15.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/19,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/18,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/15,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/14,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/13,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/12,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/11,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/05/09,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,西北地区,新疆南疆,2270,2270,2270,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,西北地区,新疆南疆,2270,2270,2270,50,2.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/30,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/27,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/24,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/21,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/20,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/17,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/14,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
2026/04/13,甲醇,西北地区,新疆南疆,2220,2220,2220,0,0%,元/吨,厂提现汇，延续上周,Methanol_Domestic,3
