数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/14,甲醇,华北地区,晋城,2400,2420,2410,50,2.12%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/13,甲醇,华北地区,晋城,2360,2360,2360,35,1.51%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/10,甲醇,华北地区,晋城,2320,2330,2325,-25,-1.06%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/09,甲醇,华北地区,晋城,2340,2360,2350,80,3.52%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/08,甲醇,华北地区,晋城,2260,2280,2270,55,2.48%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,华北地区,晋城,2200,2230,2215,-45,-1.99%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,华北地区,晋城,2250,2270,2260,-30,-1.31%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,华北地区,晋城,2280,2300,2290,65,2.92%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,华北地区,晋城,2200,2250,2225,-75,-3.26%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,华北地区,晋城,2300,2300,2300,-55,-2.34%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,华北地区,晋城,2350,2360,2355,-30,-1.26%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,华北地区,晋城,2370,2400,2385,30,1.27%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,华北地区,晋城,2340,2370,2355,-20,-0.84%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,华北地区,晋城,2350,2400,2375,-100,-4.04%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,华北地区,晋城,2450,2500,2475,-135,-5.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,华北地区,晋城,2600,2620,2610,-60,-2.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,华北地区,晋城,2640,2700,2670,-45,-1.66%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,华北地区,晋城,2710,2720,2715,-30,-1.09%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,华北地区,晋城,2740,2750,2745,-20,-0.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,华北地区,晋城,2760,2770,2765,-25,-0.9%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,华北地区,晋城,2780,2800,2790,-115,-3.96%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,华北地区,晋城,2900,2910,2905,12.5,0.43%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,华北地区,晋城,2870,2915,2892.5,27.5,0.96%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,华北地区,晋城,2860,2870,2865,-5,-0.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,华北地区,晋城,2860,2880,2870,15,0.53%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,华北地区,晋城,2830,2880,2855,20,0.71%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,华北地区,晋城,2830,2840,2835,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,华北地区,晋城,2830,2840,2835,10,0.35%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,华北地区,晋城,2820,2830,2825,5,0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,华北地区,晋城,2820,2820,2820,10,0.36%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,华北地区,晋城,2800,2820,2810,15,0.54%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,华北地区,晋城,2790,2800,2795,20,0.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,华北地区,晋城,2760,2790,2775,10,0.36%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,华北地区,晋城,2760,2770,2765,10,0.36%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,华北地区,晋城,2750,2760,2755,-20,-0.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,华北地区,晋城,2770,2780,2775,15,0.54%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,华北地区,晋城,2760,2760,2760,-30,-1.08%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,华北地区,晋城,2780,2800,2790,-5,-0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,华北地区,晋城,2790,2800,2795,0,0%,元/吨,出厂,Methanol_Domestic,3
2026/05/19,甲醇,华北地区,晋城,2790,2800,2795,0,0%,元/吨,出厂,Methanol_Domestic,3
2026/05/18,甲醇,华北地区,晋城,2790,2800,2795,55,2.01%,元/吨,出厂,Methanol_Domestic,3
2026/05/15,甲醇,华北地区,晋城,2730,2750,2740,15,0.55%,元/吨,出厂,Methanol_Domestic,3
2026/05/14,甲醇,华北地区,晋城,2720,2730,2725,-20,-0.73%,元/吨,出厂,Methanol_Domestic,3
2026/05/13,甲醇,华北地区,晋城,2740,2750,2745,-20,-0.72%,元/吨,出厂,Methanol_Domestic,3
2026/05/12,甲醇,华北地区,晋城,2760,2770,2765,-5,-0.18%,元/吨,出厂,Methanol_Domestic,3
2026/05/11,甲醇,华北地区,晋城,2760,2780,2770,0,0%,元/吨,出厂,Methanol_Domestic,3
2026/05/09,甲醇,华北地区,晋城,2760,2780,2770,-20,-0.72%,元/吨,出厂,Methanol_Domestic,3
2026/05/08,甲醇,华北地区,晋城,2780,2800,2790,-20,-0.71%,元/吨,出厂,Methanol_Domestic,3
2026/05/07,甲醇,华北地区,晋城,2800,2820,2810,-45,-1.58%,元/吨,出厂,Methanol_Domestic,3
2026/05/06,甲醇,华北地区,晋城,2850,2860,2855,45,1.6%,元/吨,出厂,Methanol_Domestic,3
2026/04/30,甲醇,华北地区,晋城,2800,2820,2810,-12.5,-0.44%,元/吨,出厂,Methanol_Domestic,3
2026/04/29,甲醇,华北地区,晋城,2820,2825,2822.5,12.5,0.44%,元/吨,出厂,Methanol_Domestic,3
2026/04/28,甲醇,华北地区,晋城,2800,2820,2810,0,0%,元/吨,出厂,Methanol_Domestic,3
2026/04/27,甲醇,华北地区,晋城,2800,2820,2810,0,0%,元/吨,出厂,Methanol_Domestic,3
