数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/14,甲醇,华北地区,河北,2300,2320,2310,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/13,甲醇,华北地区,河北,2300,2320,2310,-10,-0.43%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/10,甲醇,华北地区,河北,2300,2340,2320,-5,-0.22%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/09,甲醇,华北地区,河北,2300,2350,2325,40,1.75%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/08,甲醇,华北地区,河北,2280,2290,2285,10,0.44%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,华北地区,河北,2270,2280,2275,-105,-4.41%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,华北地区,河北,2380,2380,2380,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,华北地区,河北,2380,2380,2380,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,华北地区,河北,2380,2380,2380,-10,-0.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,华北地区,河北,2380,2400,2390,-10,-0.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,华北地区,河北,2400,2400,2400,-30,-1.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,华北地区,河北,2430,2430,2430,-45,-1.82%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,华北地区,河北,2450,2500,2475,-25,-1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,华北地区,河北,2500,2500,2500,-65,-2.53%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,华北地区,河北,2550,2580,2565,-30,-1.16%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,华北地区,河北,2590,2600,2595,-175,-6.32%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,华北地区,河北,2760,2780,2770,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,华北地区,河北,2760,2780,2770,-20,-0.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,华北地区,河北,2780,2800,2790,-65,-2.28%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,华北地区,河北,2850,2860,2855,-80,-2.73%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,华北地区,河北,2920,2950,2935,-20,-0.68%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,华北地区,河北,2950,2960,2955,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,华北地区,河北,2950,2960,2955,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,华北地区,河北,2950,2960,2955,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,华北地区,河北,2950,2960,2955,40,1.37%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,华北地区,河北,2900,2930,2915,5,0.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,华北地区,河北,2900,2920,2910,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,华北地区,河北,2900,2920,2910,10,0.34%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,华北地区,河北,2880,2920,2900,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,华北地区,河北,2880,2920,2900,45,1.58%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,华北地区,河北,2850,2860,2855,15,0.53%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,华北地区,河北,2830,2850,2840,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,华北地区,河北,2830,2850,2840,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,华北地区,河北,2830,2850,2840,-10,-0.35%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,华北地区,河北,2850,2850,2850,-35,-1.21%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,华北地区,河北,2880,2890,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,华北地区,河北,2880,2890,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,华北地区,河北,2880,2890,2885,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,华北地区,河北,2880,2890,2885,5,0.17%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/19,甲醇,华北地区,河北,2880,2880,2880,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/18,甲醇,华北地区,河北,2870,2890,2880,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/15,甲醇,华北地区,河北,2870,2890,2880,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
