数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,甲醇,山东省,济宁,2420,2420,2420,55,2.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,山东省,济宁,2365,2370,2365,-15,-0.63%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,山东省,济宁,2380,2380,2380,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,山东省,济宁,2380,2380,2380,-20,-0.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,山东省,济宁,2400,2400,2400,-40,-1.64%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,山东省,济宁,2440,2440,2440,-40,-1.61%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,山东省,济宁,2480,2480,2480,-12.5,-0.5%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,山东省,济宁,2490,2495,2492.5,10,0.4%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,山东省,济宁,2480,2485,2482.5,-17.5,-0.7%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,山东省,济宁,2500,2500,2500,-100,-3.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,山东省,济宁,2600,2600,2600,-120,-4.41%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,山东省,济宁,2720,2720,2720,-30,-1.09%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,山东省,济宁,2750,2750,2750,-30,-1.08%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,山东省,济宁,2760,2800,2780,-55,-1.94%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,山东省,济宁,2835,2835,2835,-95,-3.24%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,山东省,济宁,2930,2930,2930,-32.5,-1.1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,山东省,济宁,2960,2965,2962.5,-57.5,-1.9%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,山东省,济宁,3020,3020,3020,-20,-0.66%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,山东省,济宁,3040,3040,3040,20,0.66%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,山东省,济宁,3020,3020,3020,-7.5,-0.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,山东省,济宁,3025,3030,3027.5,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,山东省,济宁,3025,3030,3027.5,10,0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,山东省,济宁,3000,3035,3017.5,-15,-0.49%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,山东省,济宁,3030,3035,3032.5,12.5,0.41%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,山东省,济宁,3020,3020,3020,20,0.67%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,山东省,济宁,3000,3000,3000,30,1.01%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,山东省,济宁,2970,2970,2970,-2.5,-0.08%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,山东省,济宁,2970,2975,2972.5,-7.5,-0.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,山东省,济宁,2980,2980,2980,-10,-0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,山东省,济宁,2990,2990,2990,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,山东省,济宁,2990,2990,2990,-17.5,-0.58%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,山东省,济宁,3005,3010,3007.5,-5,-0.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,山东省,济宁,3010,3015,3012.5,17.5,0.58%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,山东省,济宁,2995,2995,2995,5,0.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/19,甲醇,山东省,济宁,2990,2990,2990,12.5,0.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/18,甲醇,山东省,济宁,2975,2980,2977.5,65,2.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/15,甲醇,山东省,济宁,2910,2915,2912.5,12.5,0.43%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/14,甲醇,山东省,济宁,2900,2900,2900,-10,-0.34%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/13,甲醇,山东省,济宁,2910,2910,2910,-35,-1.19%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/12,甲醇,山东省,济宁,2945,2945,2945,-25,-0.84%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/11,甲醇,山东省,济宁,2960,2980,2970,-30,-1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/09,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,山东省,济宁,3000,3000,3000,-50,-1.64%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,山东省,济宁,3050,3050,3050,50,1.67%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/30,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,山东省,济宁,3000,3000,3000,-12.5,-0.41%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,山东省,济宁,3010,3015,3012.5,-7.5,-0.25%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/27,甲醇,山东省,济宁,3020,3020,3020,20,0.67%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/24,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,山东省,济宁,3000,3000,3000,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,山东省,济宁,3000,3000,3000,-25,-0.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/21,甲醇,山东省,济宁,3020,3030,3025,-25,-0.82%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/20,甲醇,山东省,济宁,3050,3050,3050,10,0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/17,甲醇,山东省,济宁,3030,3050,3040,-30,-0.98%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,山东省,济宁,3070,3070,3070,10,0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,山东省,济宁,3060,3060,3060,55,1.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/14,甲醇,山东省,济宁,3000,3010,3005,-45,-1.48%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/13,甲醇,山东省,济宁,3050,3050,3050,30,0.99%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/10,甲醇,山东省,济宁,3020,3020,3020,-10,-0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/09,甲醇,山东省,济宁,3025,3030,3030,30,1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/08,甲醇,山东省,济宁,3000,3000,3000,-120,-3.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/07,甲醇,山东省,济宁,3120,3120,3120,20,0.65%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/03,甲醇,山东省,济宁,3100,3100,3100,60,1.97%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/02,甲醇,山东省,济宁,3040,3040,3040,55,1.84%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/01,甲醇,山东省,济宁,2980,2990,2985,-30,-1%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/31,甲醇,山东省,济宁,3010,3020,3015,-80,-2.58%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/30,甲醇,山东省,济宁,3090,3095,3095,190,6.54%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/27,甲醇,山东省,济宁,2905,2905,2905,40,1.4%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/26,甲醇,山东省,济宁,2860,2870,2865,70,2.5%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/25,甲醇,山东省,济宁,2790,2800,2795,-50,-1.76%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/24,甲醇,山东省,济宁,2840,2850,2845,-25,-0.87%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/23,甲醇,山东省,济宁,2870,2870,2870,175,6.49%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/20,甲醇,山东省,济宁,2690,2700,2695,-15,-0.55%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/19,甲醇,山东省,济宁,2710,2710,2710,60,2.26%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/18,甲醇,山东省,济宁,2650,2650,2650,30,1.15%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/17,甲醇,山东省,济宁,2620,2620,2620,50,1.95%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/16,甲醇,山东省,济宁,2570,2570,2570,65,2.59%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/13,甲醇,山东省,济宁,2500,2510,2505,-10,-0.4%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/12,甲醇,山东省,济宁,2515,2515,2515,65,2.65%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/11,甲醇,山东省,济宁,2450,2450,2450,65,2.73%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/10,甲醇,山东省,济宁,2380,2390,2385,-265,-10%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/09,甲醇,山东省,济宁,2650,2650,2650,345,14.97%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/06,甲醇,山东省,济宁,2300,2310,2305,-15,-0.65%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/05,甲醇,山东省,济宁,2320,2320,2320,30,1.31%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/04,甲醇,山东省,济宁,2290,2290,2290,-7.5,-0.33%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/03,甲醇,山东省,济宁,2295,2300,2297.5,117.5,5.39%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/02,甲醇,山东省,济宁,2175,2185,2180,60,2.83%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/28,甲醇,山东省,济宁,2120,2120,2120,10,0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/27,甲醇,山东省,济宁,2110,2110,2110,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/26,甲醇,山东省,济宁,2120,2120,2120,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/25,甲醇,山东省,济宁,2130,2130,2130,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/24,甲醇,山东省,济宁,2140,2140,2140,20,0.94%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/14,甲醇,山东省,济宁,2120,2120,2120,0,0%,元/吨,厂提现汇，参考价格,Methanol_Domestic,3
2026/02/13,甲醇,山东省,济宁,2120,2120,2120,0,0%,元/吨,厂提现汇，参考价格,Methanol_Domestic,3
2026/02/12,甲醇,山东省,济宁,2120,2120,2120,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/11,甲醇,山东省,济宁,2130,2130,2130,-5,-0.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/10,甲醇,山东省,济宁,2135,2135,2135,5,0.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/09,甲醇,山东省,济宁,2130,2130,2130,20,0.95%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/06,甲醇,山东省,济宁,2110,2110,2110,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
