数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/16,甲醇,华南地区,福建,3220,3250,3235,-85,-2.56%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/15,甲醇,华南地区,福建,3300,3340,3320,-230,-6.48%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/12,甲醇,华南地区,福建,3530,3570,3550,-5,-0.14%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/11,甲醇,华南地区,福建,3530,3580,3555,75,2.16%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/10,甲醇,华南地区,福建,3460,3500,3480,25,0.72%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/09,甲醇,华南地区,福建,3440,3470,3455,-25,-0.72%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/08,甲醇,华南地区,福建,3440,3520,3480,75,2.2%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/05,甲醇,华南地区,福建,3390,3420,3405,5,0.15%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/04,甲醇,华南地区,福建,3380,3420,3400,-10,-0.29%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/03,甲醇,华南地区,福建,3380,3440,3410,30,0.89%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/02,甲醇,华南地区,福建,3360,3400,3380,35,1.05%,元/吨,库提现汇,Methanol_Domestic,3
2026/06/01,甲醇,华南地区,福建,3330,3360,3345,40,1.21%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/29,甲醇,华南地区,福建,3290,3320,3305,-10,-0.3%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/28,甲醇,华南地区,福建,3300,3330,3315,10,0.3%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/27,甲醇,华南地区,福建,3280,3330,3305,-20,-0.6%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/26,甲醇,华南地区,福建,3300,3350,3325,10,0.3%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/25,甲醇,华南地区,福建,3280,3350,3315,-15,-0.45%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/22,甲醇,华南地区,福建,3310,3350,3330,-25,-0.75%,元/吨,库提现汇,Methanol_Domestic,3
2026/05/21,甲醇,华南地区,福建,3330,3380,3355,-20,-0.59%,元/吨,出罐价,Methanol_Domestic,3
2026/05/20,甲醇,华南地区,福建,3350,3400,3375,30,0.9%,元/吨,出罐价,Methanol_Domestic,3
2026/05/19,甲醇,华南地区,福建,3330,3360,3345,-10,-0.3%,元/吨,出罐价,Methanol_Domestic,3
2026/05/18,甲醇,华南地区,福建,3330,3380,3355,60,1.82%,元/吨,出罐价,Methanol_Domestic,3
2026/05/15,甲醇,华南地区,福建,3260,3330,3295,50,1.54%,元/吨,出罐价,Methanol_Domestic,3
2026/05/14,甲醇,华南地区,福建,3210,3280,3245,-65,-1.96%,元/吨,出罐价,Methanol_Domestic,3
2026/05/13,甲醇,华南地区,福建,3260,3360,3310,10,0.3%,元/吨,出罐价,Methanol_Domestic,3
2026/05/12,甲醇,华南地区,福建,3270,3330,3300,-10,-0.3%,元/吨,出罐价,Methanol_Domestic,3
2026/05/11,甲醇,华南地区,福建,3260,3360,3310,-55,-1.63%,元/吨,出罐价,Methanol_Domestic,3
2026/05/09,甲醇,华南地区,福建,3350,3380,3365,10,0.3%,元/吨,出罐价,Methanol_Domestic,3
2026/05/08,甲醇,华南地区,福建,3330,3380,3355,-55,-1.61%,元/吨,出罐价,Methanol_Domestic,3
2026/05/07,甲醇,华南地区,福建,3370,3450,3410,-135,-3.81%,元/吨,出罐价,Methanol_Domestic,3
2026/05/06,甲醇,华南地区,福建,3530,3560,3545,30,0.85%,元/吨,出罐价,Methanol_Domestic,3
2026/04/30,甲醇,华南地区,福建,3500,3530,3515,0,0%,元/吨,出罐价,Methanol_Domestic,3
2026/04/29,甲醇,华南地区,福建,3500,3530,3515,10,0.29%,元/吨,出罐价,Methanol_Domestic,3
2026/04/28,甲醇,华南地区,福建,3460,3550,3505,70,2.04%,元/吨,出罐价,Methanol_Domestic,3
2026/04/27,甲醇,华南地区,福建,3400,3470,3435,110,3.31%,元/吨,出罐价,Methanol_Domestic,3
2026/04/24,甲醇,华南地区,福建,3300,3350,3325,10,0.3%,元/吨,出罐价,Methanol_Domestic,3
2026/04/23,甲醇,华南地区,福建,3290,3340,3315,5,0.15%,元/吨,出罐价,Methanol_Domestic,3
2026/04/22,甲醇,华南地区,福建,3280,3340,3310,0,0%,元/吨,出罐价,Methanol_Domestic,3
2026/04/21,甲醇,华南地区,福建,3290,3330,3310,-55,-1.63%,元/吨,出罐价,Methanol_Domestic,3
2026/04/20,甲醇,华南地区,福建,3340,3390,3365,-30,-0.88%,元/吨,出罐价,Methanol_Domestic,3
2026/04/17,甲醇,华南地区,福建,3370,3420,3395,-5,-0.15%,元/吨,出罐价,Methanol_Domestic,3
2026/04/16,甲醇,华南地区,福建,3370,3430,3400,80,2.41%,元/吨,出罐价,Methanol_Domestic,3
2026/04/15,甲醇,华南地区,福建,3270,3370,3320,15,0.45%,元/吨,出罐价,Methanol_Domestic,3
2026/04/14,甲醇,华南地区,福建,3280,3330,3305,-80,-2.36%,元/吨,出罐价,Methanol_Domestic,3
