数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/10,甲醇,西南地区,贵州,3060,3060,3060,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/09,甲醇,西南地区,贵州,3060,3060,3060,5,0.16%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/08,甲醇,西南地区,贵州,2960,3150,3055,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/05,甲醇,西南地区,贵州,2960,3150,3055,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/04,甲醇,西南地区,贵州,2960,3150,3055,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/03,甲醇,西南地区,贵州,2960,3150,3055,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/02,甲醇,西南地区,贵州,2960,3150,3055,90,3.04%,元/吨,送到现汇,Methanol_Domestic,3
2026/06/01,甲醇,西南地区,贵州,2930,3000,2965,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/29,甲醇,西南地区,贵州,2930,3000,2965,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/28,甲醇,西南地区,贵州,2930,3000,2965,25,0.85%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/27,甲醇,西南地区,贵州,2880,3000,2940,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/26,甲醇,西南地区,贵州,2880,3000,2940,25,0.86%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西南地区,贵州,2830,3000,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西南地区,贵州,2830,3000,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/21,甲醇,西南地区,贵州,2830,3000,2915,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/20,甲醇,西南地区,贵州,2830,3000,2915,25,0.87%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/19,甲醇,西南地区,贵州,2830,2950,2890,60,2.12%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/18,甲醇,西南地区,贵州,2760,2900,2830,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/15,甲醇,西南地区,贵州,2760,2900,2830,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/14,甲醇,西南地区,贵州,2760,2900,2830,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/13,甲醇,西南地区,贵州,2760,2900,2830,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/12,甲醇,西南地区,贵州,2760,2900,2830,-50,-1.74%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/11,甲醇,西南地区,贵州,2810,2950,2880,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/09,甲醇,西南地区,贵州,2810,2950,2880,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/08,甲醇,西南地区,贵州,2810,2950,2880,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/07,甲醇,西南地区,贵州,2810,2950,2880,145,5.3%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/06,甲醇,西南地区,贵州,2700,2770,2735,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/30,甲醇,西南地区,贵州,2700,2770,2735,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/29,甲醇,西南地区,贵州,2700,2770,2735,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/28,甲醇,西南地区,贵州,2700,2770,2735,-75,-2.67%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/27,甲醇,西南地区,贵州,2800,2820,2810,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/24,甲醇,西南地区,贵州,2800,2820,2810,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/23,甲醇,西南地区,贵州,2800,2820,2810,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/22,甲醇,西南地区,贵州,2800,2820,2810,-40,-1.4%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/21,甲醇,西南地区,贵州,2800,2900,2850,-85,-2.9%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/20,甲醇,西南地区,贵州,2900,2970,2935,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/17,甲醇,西南地区,贵州,2900,2970,2935,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/16,甲醇,西南地区,贵州,2900,2970,2935,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/15,甲醇,西南地区,贵州,2900,2970,2935,-40,-1.34%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/14,甲醇,西南地区,贵州,2900,3050,2975,-155,-4.95%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/13,甲醇,西南地区,贵州,3060,3200,3130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/10,甲醇,西南地区,贵州,3060,3200,3130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/09,甲醇,西南地区,贵州,3060,3200,3130,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/08,甲醇,西南地区,贵州,3060,3200,3130,70,2.29%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/07,甲醇,西南地区,贵州,2950,3170,3060,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/03,甲醇,西南地区,贵州,2950,3170,3060,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/02,甲醇,西南地区,贵州,2950,3170,3060,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/04/01,甲醇,西南地区,贵州,2950,3170,3060,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/31,甲醇,西南地区,贵州,2950,3170,3060,35,1.16%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/30,甲醇,西南地区,贵州,2950,3100,3025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/27,甲醇,西南地区,贵州,2950,3100,3025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/26,甲醇,西南地区,贵州,2950,3100,3025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/25,甲醇,西南地区,贵州,2950,3100,3025,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/24,甲醇,西南地区,贵州,2950,3100,3025,235,8.42%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/23,甲醇,西南地区,贵州,2780,2800,2790,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/20,甲醇,西南地区,贵州,2780,2800,2790,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/19,甲醇,西南地区,贵州,2780,2800,2790,200,7.72%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/18,甲醇,西南地区,贵州,2530,2650,2590,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/17,甲醇,西南地区,贵州,2530,2650,2590,125,5.07%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/16,甲醇,西南地区,贵州,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/13,甲醇,西南地区,贵州,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/12,甲醇,西南地区,贵州,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/11,甲醇,西南地区,贵州,2400,2530,2465,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/10,甲醇,西南地区,贵州,2400,2530,2465,140,6.02%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/09,甲醇,西南地区,贵州,2260,2390,2325,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/06,甲醇,西南地区,贵州,2260,2390,2325,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/05,甲醇,西南地区,贵州,2260,2390,2325,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/04,甲醇,西南地区,贵州,2260,2390,2325,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/03,甲醇,西南地区,贵州,2260,2390,2325,160,7.39%,元/吨,厂提现汇,Methanol_Domestic,3
2026/03/02,甲醇,西南地区,贵州,2120,2210,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/28,甲醇,西南地区,贵州,2120,2210,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/27,甲醇,西南地区,贵州,2120,2210,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/26,甲醇,西南地区,贵州,2120,2210,2165,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/25,甲醇,西南地区,贵州,2120,2210,2165,55,2.61%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/24,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/14,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/13,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/12,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/11,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/10,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/09,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/06,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/05,甲醇,西南地区,贵州,2110,2110,2110,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/02/04,甲醇,西南地区,贵州,2110,2110,2110,-10,-0.47%,元/吨,厂提现汇,Methanol_Domestic,3
