数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/02,甲醇,西北地区,鄂尔多斯南线,2200,2200,2200,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,西北地区,鄂尔多斯南线,2200,2200,2200,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,西北地区,鄂尔多斯南线,2200,2200,2200,-50,-2.22%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,西北地区,鄂尔多斯南线,2250,2250,2250,-130,-5.46%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,西北地区,鄂尔多斯南线,2380,2380,2380,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,西北地区,鄂尔多斯南线,2380,2380,2380,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,西北地区,鄂尔多斯南线,2380,2380,2380,-50,-2.06%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,西北地区,鄂尔多斯南线,2430,2430,2430,-20,-0.82%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,西北地区,鄂尔多斯南线,2450,2450,2450,-50,-2%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,西北地区,鄂尔多斯南线,2500,2500,2500,-100,-3.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,西北地区,鄂尔多斯南线,2600,2600,2600,-150,-5.45%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,西北地区,鄂尔多斯南线,2750,2750,2750,20,0.73%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,西北地区,鄂尔多斯南线,2730,2730,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西北地区,鄂尔多斯南线,2730,2730,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西北地区,鄂尔多斯南线,2730,2730,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西北地区,鄂尔多斯南线,2730,2730,2730,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西北地区,鄂尔多斯南线,2730,2730,2730,50,1.87%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,-40,-1.47%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/25,甲醇,西北地区,鄂尔多斯南线,2720,2720,2720,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/22,甲醇,西北地区,鄂尔多斯南线,2720,2720,2720,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/21,甲醇,西北地区,鄂尔多斯南线,2720,2720,2720,0,0%,元/吨,出厂现汇,Methanol_Domestic,3
2026/05/20,甲醇,西北地区,鄂尔多斯南线,2720,2720,2720,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/05/19,甲醇,西北地区,鄂尔多斯南线,2720,2720,2720,40,1.49%,元/吨,出厂价,Methanol_Domestic,3
2026/05/18,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,出厂价，暂维持上周,Methanol_Domestic,3
2026/05/15,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/05/14,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,出厂价,Methanol_Domestic,3
2026/05/13,甲醇,西北地区,鄂尔多斯南线,2680,2680,2680,0,0%,元/吨,出厂价,Methanol_Domestic,3
