数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/09,甲醇,西南地区,重庆,3090,3110,3100,95,3.16%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/27,甲醇,西南地区,重庆,2980,3030,3005,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/26,甲醇,西南地区,重庆,2980,3030,3005,65,2.21%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/25,甲醇,西南地区,重庆,2930,2950,2940,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/22,甲醇,西南地区,重庆,2930,2950,2940,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/21,甲醇,西南地区,重庆,2930,2950,2940,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/20,甲醇,西南地区,重庆,2930,2950,2940,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/19,甲醇,西南地区,重庆,2930,2950,2940,90,3.16%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/18,甲醇,西南地区,重庆,2830,2870,2850,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/15,甲醇,西南地区,重庆,2830,2870,2850,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/14,甲醇,西南地区,重庆,2830,2870,2850,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/13,甲醇,西南地区,重庆,2830,2870,2850,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/12,甲醇,西南地区,重庆,2830,2870,2850,-10,-0.35%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/11,甲醇,西南地区,重庆,2830,2890,2860,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/09,甲醇,西南地区,重庆,2830,2890,2860,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/08,甲醇,西南地区,重庆,2830,2890,2860,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/07,甲醇,西南地区,重庆,2830,2890,2860,20,0.7%,元/吨,送到现汇,Methanol_Domestic,3
2026/05/06,甲醇,西南地区,重庆,2820,2860,2840,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/30,甲醇,西南地区,重庆,2820,2860,2840,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/29,甲醇,西南地区,重庆,2820,2860,2840,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/28,甲醇,西南地区,重庆,2820,2860,2840,-50,-1.73%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/27,甲醇,西南地区,重庆,2870,2910,2890,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/24,甲醇,西南地区,重庆,2870,2910,2890,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/23,甲醇,西南地区,重庆,2870,2910,2890,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/22,甲醇,西南地区,重庆,2870,2910,2890,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/21,甲醇,西南地区,重庆,2870,2910,2890,-140,-4.62%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/20,甲醇,西南地区,重庆,3010,3050,3030,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/17,甲醇,西南地区,重庆,3010,3050,3030,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/16,甲醇,西南地区,重庆,3010,3050,3030,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/15,甲醇,西南地区,重庆,3010,3050,3030,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/14,甲醇,西南地区,重庆,3010,3050,3030,-100,-3.19%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/13,甲醇,西南地区,重庆,3110,3150,3130,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/10,甲醇,西南地区,重庆,3110,3150,3130,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/09,甲醇,西南地区,重庆,3110,3150,3130,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/08,甲醇,西南地区,重庆,3110,3150,3130,20,0.64%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/07,甲醇,西南地区,重庆,3100,3120,3110,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/03,甲醇,西南地区,重庆,3100,3120,3110,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/02,甲醇,西南地区,重庆,3100,3120,3110,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/04/01,甲醇,西南地区,重庆,3100,3120,3110,-20,-0.64%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/31,甲醇,西南地区,重庆,3120,3140,3130,170,5.74%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/30,甲醇,西南地区,重庆,2920,3000,2960,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/27,甲醇,西南地区,重庆,2920,3000,2960,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/26,甲醇,西南地区,重庆,2920,3000,2960,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/25,甲醇,西南地区,重庆,2920,3000,2960,-90,-2.95%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/24,甲醇,西南地区,重庆,3000,3100,3050,40,1.33%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/23,甲醇,西南地区,重庆,3000,3020,3010,50,1.69%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/20,甲醇,西南地区,重庆,2870,3050,2960,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/19,甲醇,西南地区,重庆,2870,3050,2960,320,12.12%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/18,甲醇,西南地区,重庆,2630,2650,2640,15,0.57%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/17,甲醇,西南地区,重庆,2600,2650,2625,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/16,甲醇,西南地区,重庆,2600,2650,2625,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/13,甲醇,西南地区,重庆,2600,2650,2625,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/12,甲醇,西南地区,重庆,2600,2650,2625,125,5%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/11,甲醇,西南地区,重庆,2480,2520,2500,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/10,甲醇,西南地区,重庆,2480,2520,2500,185,7.99%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/09,甲醇,西南地区,重庆,2250,2380,2315,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/06,甲醇,西南地区,重庆,2250,2380,2315,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/05,甲醇,西南地区,重庆,2250,2380,2315,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/04,甲醇,西南地区,重庆,2250,2380,2315,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/03,甲醇,西南地区,重庆,2250,2380,2315,55,2.43%,元/吨,送到现汇,Methanol_Domestic,3
2026/03/02,甲醇,西南地区,重庆,2240,2280,2260,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/28,甲醇,西南地区,重庆,2240,2280,2260,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/27,甲醇,西南地区,重庆,2240,2280,2260,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/26,甲醇,西南地区,重庆,2240,2280,2260,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/25,甲醇,西南地区,重庆,2240,2280,2260,10,0.44%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/24,甲醇,西南地区,重庆,2230,2270,2250,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/14,甲醇,西南地区,重庆,2230,2270,2250,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/13,甲醇,西南地区,重庆,2230,2270,2250,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/12,甲醇,西南地区,重庆,2230,2270,2250,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/11,甲醇,西南地区,重庆,2230,2270,2250,40,1.81%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/10,甲醇,西南地区,重庆,2190,2230,2210,30,1.38%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/09,甲醇,西南地区,重庆,2160,2200,2180,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/06,甲醇,西南地区,重庆,2160,2200,2180,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/05,甲醇,西南地区,重庆,2160,2200,2180,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/04,甲醇,西南地区,重庆,2160,2200,2180,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/03,甲醇,西南地区,重庆,2160,2200,2180,-40,-1.8%,元/吨,送到现汇,Methanol_Domestic,3
2026/02/02,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/30,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/29,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/28,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/27,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/26,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/23,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/22,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/21,甲醇,西南地区,重庆,2150,2290,2220,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/20,甲醇,西南地区,重庆,2150,2290,2220,-15,-0.67%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/19,甲醇,西南地区,重庆,2150,2320,2235,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/16,甲醇,西南地区,重庆,2150,2320,2235,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/15,甲醇,西南地区,重庆,2150,2320,2235,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/14,甲醇,西南地区,重庆,2150,2320,2235,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/13,甲醇,西南地区,重庆,2150,2320,2235,-5,-0.22%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/12,甲醇,西南地区,重庆,2160,2320,2240,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/09,甲醇,西南地区,重庆,2160,2320,2240,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/08,甲醇,西南地区,重庆,2160,2320,2240,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/07,甲醇,西南地区,重庆,2160,2320,2240,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/06,甲醇,西南地区,重庆,2160,2320,2240,-35,-1.54%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/05,甲醇,西南地区,重庆,2130,2420,2275,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2026/01/04,甲醇,西南地区,重庆,2130,2420,2275,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/31,甲醇,西南地区,重庆,2130,2420,2275,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/30,甲醇,西南地区,重庆,2130,2420,2275,75,3.41%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/29,甲醇,西南地区,重庆,2120,2280,2200,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/26,甲醇,西南地区,重庆,2120,2280,2200,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/25,甲醇,西南地区,重庆,2120,2280,2200,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/24,甲醇,西南地区,重庆,2120,2280,2200,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/23,甲醇,西南地区,重庆,2120,2280,2200,-10,-0.45%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/22,甲醇,西南地区,重庆,2200,2220,2210,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/19,甲醇,西南地区,重庆,2200,2220,2210,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/18,甲醇,西南地区,重庆,2200,2220,2210,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/17,甲醇,西南地区,重庆,2200,2220,2210,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/16,甲醇,西南地区,重庆,2200,2220,2210,-60,-2.64%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/15,甲醇,西南地区,重庆,2260,2280,2270,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/12,甲醇,西南地区,重庆,2260,2280,2270,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/11,甲醇,西南地区,重庆,2260,2280,2270,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/10,甲醇,西南地区,重庆,2260,2280,2270,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/09,甲醇,西南地区,重庆,2260,2280,2270,20,0.89%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/08,甲醇,西南地区,重庆,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/05,甲醇,西南地区,重庆,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/04,甲醇,西南地区,重庆,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2025/12/03,甲醇,西南地区,重庆,2240,2260,2250,0,0%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/02,甲醇,西南地区,重庆,2240,2260,2250,110,5.14%,元/吨,送到现汇,Methanol_Domestic,3
2025/12/01,甲醇,西南地区,重庆,2120,2160,2140,0,0%,元/吨,送到现汇,Methanol_Domestic,3
