数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,甲醇,西北地区,银川,2310,2320,2315,-5,-0.22%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/22,甲醇,西北地区,银川,2320,2320,2320,70,3.11%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/21,甲醇,西北地区,银川,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/20,甲醇,西北地区,银川,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/17,甲醇,西北地区,银川,2240,2260,2250,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/16,甲醇,西北地区,银川,2240,2260,2250,-5,-0.22%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/15,甲醇,西北地区,银川,2250,2260,2255,220,10.81%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/14,甲醇,西北地区,银川,2030,2040,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/13,甲醇,西北地区,银川,2030,2040,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/10,甲醇,西北地区,银川,2030,2040,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/09,甲醇,西北地区,银川,2030,2040,2035,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/08,甲醇,西北地区,银川,2030,2040,2035,-120,-5.57%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/07,甲醇,西北地区,银川,2150,2160,2155,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/06,甲醇,西北地区,银川,2150,2160,2155,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/03,甲醇,西北地区,银川,2150,2160,2155,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/02,甲醇,西北地区,银川,2150,2160,2155,-5,-0.23%,元/吨,厂提现汇,Methanol_Domestic,3
2026/07/01,甲醇,西北地区,银川,2160,2160,2160,-180,-7.69%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/30,甲醇,西北地区,银川,2320,2360,2340,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/29,甲醇,西北地区,银川,2320,2360,2340,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/26,甲醇,西北地区,银川,2320,2360,2340,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/25,甲醇,西北地区,银川,2320,2360,2340,-20,-0.85%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/24,甲醇,西北地区,银川,2360,2360,2360,-210,-8.17%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/23,甲醇,西北地区,银川,2560,2580,2570,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/22,甲醇,西北地区,银川,2560,2580,2570,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/18,甲醇,西北地区,银川,2560,2580,2570,-10,-0.39%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/17,甲醇,西北地区,银川,2580,2580,2580,-130,-4.8%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/16,甲醇,西北地区,银川,2700,2720,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/15,甲醇,西北地区,银川,2700,2720,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/12,甲醇,西北地区,银川,2700,2720,2710,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/11,甲醇,西北地区,银川,2700,2720,2710,-5,-0.18%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/10,甲醇,西北地区,银川,2710,2720,2715,40,1.5%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/09,甲醇,西北地区,银川,2670,2680,2675,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/08,甲醇,西北地区,银川,2670,2680,2675,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/05,甲醇,西北地区,银川,2670,2680,2675,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/04,甲醇,西北地区,银川,2670,2680,2675,-5,-0.19%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/03,甲醇,西北地区,银川,2680,2680,2680,45,1.71%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/02,甲醇,西北地区,银川,2630,2640,2635,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/06/01,甲醇,西北地区,银川,2630,2640,2635,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/29,甲醇,西北地区,银川,2630,2640,2635,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
2026/05/28,甲醇,西北地区,银川,2630,2640,2635,0,0%,元/吨,厂提现汇,Methanol_Domestic,3
